source,wavelength_air_A,elo_cm1,eup_cm1,elo_eV,eup_eV,loggf,e_loggf_dex,lower_level,upper_level
DenHartog2023,3905.523,15394.370,40991.884,1.9087,5.0823,-1.077,0.04139,3s23p4s 1S0,3s23p4p 1Po1
DenHartog2023,4102.936,15394.370,39760.285,1.9087,4.9296,-3.026,0.07188,3s23p4s 1S0,3s23p4s 3Po1
