element,model,grid,solar_delta,n_lines
Na,Amarsi2020_MARCS,Na_Amarsi2020_PySME.csv,-0.1293,2
Na,Lind2011_INSPECT_MARCS,Na_Lind2011_INSPECT.csv,-0.1068,2
Na,SPREAD,,0.0226,AGREE
Mg,Amarsi2020_MARCS,Mg_Amarsi2020_PySME.csv,-0.0216,2
Mg,Bergemann_MAFAGS-OS,Mg_Bergemann_MPIA.csv,0.0132,3
Mg,SPREAD,,0.0348,AGREE
Si,Amarsi2020_MARCS,Si_Amarsi2020_PySME.csv,-0.0109,7
Si,Bergemann_MAFAGS-OS,Si_Bergemann_MPIA.csv,-0.004,6
Si,SPREAD,,0.0069,AGREE
