target,a_before,chi2r_before,resid_peak,resid_dcore,n_pull_lines,n_core_candidates,tested_line,a_after,chi2r_after,absorber_found,verdict
5234.623,7.492,124.2,5234.62,-0.003,16,0,,,,False,no-absorber → Fe II atomic-data audit
5991.371,7.586,213.3,5991.329,-0.042,1,0,,,,False,no-absorber → Fe II atomic-data audit
6084.102,7.634,133.8,6083.969,-0.133,0,0,,,,False,no-absorber → Fe II atomic-data audit
6247.557,7.552,180.2,6247.538,-0.019,0,0,,,,False,no-absorber → Fe II atomic-data audit
6456.38,7.684,133.1,6456.548,0.168,0,0,,,,False,no-absorber → Fe II atomic-data audit
