key,element,role,A_X,A_corr,corr_kind,red_chi2,sigma_fit,n_pix,status
CH_Gband,C,primary,8.324,8.324,3d_offset_owed,19.012,0.002,600,ok
CI_5052,C,cross_check,8.526,8.501,amarsi2019_grid,60.748,0.008,170,ok
CI_5380,C,cross_check,8.32,8.304,amarsi2019_grid,53.971,0.007,200,ok
C2_Swan,C,cross_check,8.557,8.557,3d_offset_owed,16.434,0.008,600,ok
CN_red,N,primary,9.788,9.788,3d_offset_owed,28.599,0.052,1000,ok
OI_6300,O,primary,9.417,8.73,cited_3d_anchor,58.722,0.015,150,ok
