line,synth_gf,llsolar_gf,dgf,synth_stark,synth_waals,transition_type,waals_single_gamma,llsolar_stark,llsolar_vdw
5234.623,-2.18,-2.23,0.05,-6.53,180.249,AO,-7.88,-6.53,-7.88
5991.371,-3.647,-3.54,-0.107,-6.53,172.221,AO,-7.895,-6.53,-7.895
6084.102,-3.881,-3.78,-0.101,-6.53,173.223,AO,-7.892,-6.53,-7.892
6247.557,-2.435,-2.31,-0.125,-6.53,186.272,AO,-7.87,-6.53,-7.87
6456.38,-2.185,-2.1,-0.085,-6.53,185.276,AO,-7.873,-6.53,-7.873
