line,synth_gf,llsolar_gf,nist_gf,nist_grade,best_gf,source
5234.623,-2.18,-2.23,,—,,NO local graded source → flag for manual NIST/M&B 2009 pull
5991.371,-3.647,-3.54,,—,,NO local graded source → flag for manual NIST/M&B 2009 pull
6084.102,-3.881,-3.78,,—,,NO local graded source → flag for manual NIST/M&B 2009 pull
6247.557,-2.435,-2.31,-2.329,B,-2.329,NIST ASD v5.11
6456.38,-2.185,-2.1,,—,,NO local graded source → flag for manual NIST/M&B 2009 pull
