model,vmic,n_fe1_full,A_fe1_full,redEW_slope_lte,redEW_slope_lte_err,redEW_slope_nlte,redEW_slope_nlte_err,n_fe1_weak,A_fe1_weak,A_fe1_weak_median,feh,feh_resid_vs_gbs,prod_A_fe1_1dlte,prod_A_fe1_nlte,prod_A_fe2_nlte,prod_feI_minus_feII_nlte
amarsi,1.66,52,7.3844,0.5436,0.1516,0.408,0.1715,32,7.304157398024207,7.26846989409275,-0.2412,-0.2712,7.606,7.62,7.621,-0.001
amarsi,1.8,52,7.3358,0.4627,0.1506,0.2873,0.1724,32,7.277714942379037,7.25167124611092,-0.2677,-0.2977,7.573,7.593,7.573,0.02
amarsi,2.0,52,7.2779,0.358,0.1499,0.1476,0.1734,32,7.245184638732448,7.229770469809347,-0.3002,-0.3302,7.536,7.565,7.518,0.047
mpia,1.66,32,7.6237,0.5436,0.1516,0.5542,0.1783,17,7.503351764705882,7.495675,0.0135,-0.0165,7.606,7.62,7.621,-0.001
mpia,1.8,32,7.5877,0.4627,0.1506,0.4712,0.1763,17,7.486292941176471,7.48277,-0.0036,-0.0336,7.573,7.593,7.573,0.02
mpia,2.0,32,7.541,0.358,0.1499,0.3635,0.1753,17,7.464351764705882,7.46577,-0.0255,-0.0555,7.536,7.565,7.518,0.047
