key,role,A_lte,A_corr,delta,chi2r,corr_kind,flag,source
OI_777,primary,9.506,8.961,-0.545,147.17,amarsi2019_grid,3d_nlte_amarsi2019,"Amarsi, Nissen & Skuladottir 2019 A&A 630 A104, OI 777nm 3D-NLTE leg (1D)"
OI_6300,cross_check,8.807,8.73,-0.077,162.24,cited_3d_anchor,3d_lte_caffau2015,"Caffau et al. 2015, A&A 579 A88 (POSP III): [O I] 630 nm CO5BOLD full-3D, Ni I -2.11 (Johansson 2003) + [O I] -9.717 (Storey & Zeippen 2000) = our atomic data; in gate 8.69+/-0.05. RYA-367 (no hardcoded 3D-1D offset)."
