file,target,region_lo,region_hi,n_selected,n_processed,n_parsed,n_fail,not_truncated,covers_window,verdict
fe2_diag_5234.txt,5234.623,5234.42,5234.82,17,2443,17,0,True,True,OK
fe2_diag_5991.txt,5991.371,5991.17,5991.57,2,2206,2,0,True,True,OK
fe2_diag_6084.txt,6084.102,6083.9,6084.3,1,2097,1,0,True,True,OK
fe2_diag_6247.txt,6247.557,6247.36,6247.76,1,2494,1,0,True,True,OK
fe2_diag_6456.txt,6456.38,6456.18,6456.58,1,1938,1,0,True,True,OK
