target,cand_wave,species,central_depth,log_gf,ep_eV,loggf_source,in_synth_list,synth_wave,dist_to_resid,score,fit_a_synth,fit_chi2r,resid_centroid
5234.623,5234.679,Co I,0.007,-2.65,4.175,VALD3,True,5234.72,0.05,0.0047,7.492,124.2,5234.629
5234.623,5234.68,Co I,0.007,-2.451,4.1751,VALD3,True,5234.72,0.051,0.0046,7.492,124.2,5234.629
5234.623,5234.684,Co I,0.007,-2.387,4.1751,VALD3,True,5234.72,0.055,0.0045,7.492,124.2,5234.629
5234.623,5234.688,Co I,0.007,-2.905,4.175,VALD3,True,5234.72,0.059,0.0044,7.492,124.2,5234.629
5234.623,5234.691,Co I,0.007,-2.418,4.1751,VALD3,True,5234.72,0.062,0.0043,7.492,124.2,5234.629
5234.623,5234.694,Co I,0.007,-4.558,4.1751,VALD3,True,5234.72,0.065,0.0042,7.492,124.2,5234.629
5234.623,5234.7,Co I,0.007,-2.599,4.1751,VALD3,True,5234.72,0.071,0.0041,7.492,124.2,5234.629
5234.623,5234.703,Co I,0.007,-3.315,4.1751,VALD3,True,5234.72,0.073,0.004,7.492,124.2,5234.629
5234.623,5234.703,Co I,0.007,-2.65,4.1751,VALD3,True,5234.72,0.074,0.004,7.492,124.2,5234.629
5234.623,5234.714,Co I,0.007,-2.598,4.1751,VALD3,True,5234.72,0.085,0.0038,7.492,124.2,5234.629
5234.623,5234.717,Co I,0.007,-2.451,4.1751,VALD3,True,5234.72,0.087,0.0037,7.492,124.2,5234.629
5234.623,5234.728,Co I,0.007,-2.192,4.1751,VALD3,True,5234.72,0.098,0.0035,7.492,124.2,5234.629
5234.623,5234.732,Co I,0.007,-2.387,4.1751,VALD3,True,5234.72,0.103,0.0034,7.492,124.2,5234.629
5234.623,5234.744,Co I,0.007,-1.9,4.1751,VALD3,True,5234.72,0.114,0.0033,7.492,124.2,5234.629
5234.623,5234.751,Co I,0.007,-2.418,4.1751,VALD3,True,5234.72,0.121,0.0032,7.492,124.2,5234.629
5234.623,5234.771,Co I,0.007,-2.599,4.1751,VALD3,False,,0.142,0.0029,7.492,124.2,5234.629
6247.557,6247.553,V I,0.001,-2.476,2.5805,VALD3,False,,0.005,0.001,7.552,180.2,6247.558
6247.557,6247.586,V I,0.001,-2.362,2.5805,VALD3,True,6247.615,0.028,0.0008,7.552,180.2,6247.558
6247.557,6247.588,V I,0.001,-2.065,2.5805,VALD3,True,6247.615,0.03,0.0008,7.552,180.2,6247.558
6247.557,6247.614,V I,0.001,-2.487,2.5805,VALD3,True,6247.615,0.056,0.0006,7.552,180.2,6247.558
6247.557,6247.614,V I,0.001,-2.681,2.5805,VALD3,True,6247.615,0.056,0.0006,7.552,180.2,6247.558
6247.557,6247.635,V I,0.001,-21.459,2.5805,VALD3,True,6247.615,0.077,0.0006,7.552,180.2,6247.558
6247.557,6247.649,V I,0.001,-2.476,2.5805,VALD3,True,6247.615,0.091,0.0005,7.552,180.2,6247.558
6247.557,6247.651,V I,0.001,-2.663,2.5805,VALD3,True,6247.615,0.092,0.0005,7.552,180.2,6247.558
6247.557,6247.663,V I,0.001,-2.362,2.5805,VALD3,True,6247.615,0.105,0.0005,7.552,180.2,6247.558
6247.557,6247.671,V I,0.001,-2.487,2.5805,VALD3,False,,0.113,0.0005,7.552,180.2,6247.558
5991.371,5991.26,Fe I,0.017,-2.358,5.0638,VALD3,True,5991.212,0.053,0.0111,7.586,213.3,5991.313
5991.371,5991.33,CN I,0.002,-2.009,0.7919,VALD3,False,,0.017,0.0017,7.586,213.3,5991.313
