element,A_X,value_state,sigma_stat,sigma_sys,sigma_tot,sigma_stat_state
C,8.46,PINNED_INPUT_NOT_MEASURED,0.028,0.0,0.028,MEASURED
N,8.55,MEASURED,0.149,0.0,0.149,MEASURED
O,8.907,MEASURED,0.25,0.0,0.25,MEASURED
C/O,0.357,,,,,NOT_PROPAGATED
