wave_A,a_synth,red_chi2,cont_ratio,own_depth,blend_depth,depth_frac,depth_frac_core,n_in_core,n_in_window,nn_sep_A,nn_depth,resid,pool
3000.468,8.307,88.024,0.9135658235860395,0.899,25.134,0.034533092613221676,0.4754098360655738,2,85,0.0039999999999054126,0.003,0.8200000000000003,rya832
3006.605,6.837,305.409,0.7144410423072728,0.896,14.571,0.05792978599599147,0.3123039386545835,6,57,0.003000000000156433,0.004,0.6500000000000004,rya832
3031.476,7.458,77.687,0.8424624480030258,0.898,18.653,0.04593115441665389,0.560199625701809,15,65,0.013999999999668944,0.648,0.028999999999999915,rya832
3087.431,7.392,891.296,1.6617122837833165,0.898,7.144,0.11166376523252923,0.9403141361256544,6,71,0.0010000000002037268,0.003,0.09499999999999975,rya832
3099.921,8.284,122.235,1.0946959024455438,0.9,9.293,0.08829588933581871,0.2915451895043732,5,56,0.0019999999999527063,0.002,0.7970000000000006,rya832
3110.108,7.069,394.27,1.0727254520662344,0.897,18.801,0.04553761803228755,0.24171382376717865,13,51,0.009999999999763531,0.017,0.41800000000000015,rya832
3123.199,7.022,999.515,1.3248291220528268,0.9,5.135,0.1491300745650373,0.9183673469387755,1,32,0.005000000000109139,0.08,0.46499999999999986,rya832
3162.329,7.506,64.406,1.129554701791753,0.898,7.157999999999999,0.11146971201588879,0.46504401864319006,4,52,0.0009999999997489795,0.948,0.019000000000000128,rya832
3175.31,8.04,528.855,1.5090442493508407,0.9,7.107999999999999,0.1123876123876124,0.9278350515463918,1,29,0.008000000000265572,0.07,0.552999999999999,rya832
3225.606,8.198,77.471,1.0127468304095704,0.898,9.546000000000001,0.08598238222903101,0.9079878665318504,2,51,0.02999999999974534,0.074,0.7110000000000003,rya832
3249.191,8.047,126.31,1.037876553953382,0.898,10.889000000000001,0.07618562823449562,0.7054202670856244,6,65,0.009999999999763531,0.007,0.5600000000000005,rya832
3253.942,7.249,119.781,1.084164906234272,0.896,33.503,0.026047268815953952,0.8801571709233792,4,82,0.012000000000170985,0.086,0.23800000000000043,rya832
3261.325,7.51,62.337,1.0775077137908935,0.9,6.471999999999999,0.12208355941399894,1.0,0,59,0.05600000000004002,0.027,0.022999999999999687,rya832
3292.033,8.38,142.707,1.0547537356353696,0.898,11.099999999999998,0.07484580763460578,0.138473400154202,28,78,0.0019999999999527063,0.045,0.8930000000000007,rya832
3312.698,8.165,258.988,0.9944056592999716,0.899,21.032999999999998,0.04099033375889112,0.36441021483583297,5,48,0.007999999999810825,0.545,0.677999999999999,rya832
3334.218,7.558,462.217,1.3229634058720077,0.898,24.7,0.03508086569263224,0.34982469809115696,3,59,0.03500000000030923,0.722,0.07099999999999973,rya832
3387.405,7.719,78.383,1.032042411524266,0.899,9.808,0.08396376202484356,0.5822538860103627,26,66,0.0009999999997489795,0.007,0.2320000000000002,rya832
3393.588,7.328,82.845,0.9138277730063888,0.899,5.915,0.1319342530085119,0.3758361204013378,4,30,0.018000000000029104,0.593,0.1589999999999998,rya832
3439.035,7.535,51.808,0.993299691287767,0.899,39.02600000000001,0.02251721978710081,0.24489239989103787,3,98,0.032999999999901775,0.924,0.04800000000000004,rya832
3457.086,7.223,44.509,1.0736858378032634,0.896,21.575999999999993,0.03987184051263796,0.9481481481481481,2,82,0.018999999999778083,0.003,0.26400000000000023,rya832
3469.83,7.469,79.51,1.03504337009278,0.9,15.647,0.0543905239620475,0.995575221238938,1,99,0.027000000000043656,0.004,0.017999999999999794,rya832
3476.344,7.293,61.261,0.9789150881387552,0.9,17.755,0.04824443848834094,0.0854214123006834,55,105,0.0019999999999527063,0.003,0.19399999999999995,rya832
3509.862,6.998,81.941,0.9023525336020748,0.897,24.067,0.03593174170805961,0.046002359095338244,27,95,0.0009999999997489795,0.963,0.4889999999999999,rya832
3559.503,7.746,124.533,1.025155887779219,0.9,3.1079999999999997,0.2245508982035928,0.9846827133479212,6,43,0.02999999999974534,0.001,0.25900000000000034,rya832
3572.59,7.199,79.704,0.9953654208158618,0.898,23.062,0.03747913188647746,0.28717620722737447,9,104,0.023000000000138243,0.041,0.28800000000000026,rya832
3576.758,8.4,405.872,1.181500480022905,0.896,3.975,0.18394580168343255,0.4012539184952978,4,29,0.006000000000312866,0.822,0.9130000000000003,rya832
3599.625,7.607,523.518,1.2065362715347168,0.896,2.009,0.30843373493975906,0.9032258064516129,11,24,0.009000000000014552,0.001,0.1200000000000001,rya832
3617.318,7.476,136.719,0.941227819662206,0.9,3.5020000000000002,0.2044525215810995,0.872093023255814,3,22,0.03899999999975989,0.01,0.01100000000000012,rya832
3624.28,7.406,131.901,1.0244951996111211,0.899,7.665000000000001,0.10497431106959365,0.3763080786940142,3,38,0.013000000000374712,0.101,0.0810000000000004,rya832
3632.555,7.648,137.384,1.0078535900229106,0.899,9.494000000000003,0.0865005292023477,0.987912087912088,2,42,0.005000000000109139,0.002,0.1609999999999996,rya832
3636.994,7.247,103.95,0.9480662286260856,0.899,14.084,0.06000133484615898,0.777681660899654,2,46,0.012999999999919964,0.161,0.2400000000000002,rya832
3643.715,7.252,27.68,0.9972202061969614,0.898,4.444,0.16810183451890678,0.7694944301628106,11,37,0.03899999999975989,0.028,0.23500000000000032,rya832
3650.098,7.048,307.509,0.8502486591745332,0.899,9.401,0.08728155339805825,0.909919028340081,3,49,0.010999999999967258,0.015,0.43900000000000006,rya832
3656.21,7.498,61.788,1.089537585221246,0.047,5.882999999999998,0.007925801011804387,0.017400962606442052,28,63,0.0,0.899,0.01100000000000012,rya832
3664.537,7.638,282.26,1.2394935956940123,0.899,10.484,0.07897742247210754,0.6674090571640683,1,54,0.0010000000002037268,0.448,0.1509999999999998,rya832
3680.784,7.781,137.521,1.0068858327823973,0.898,3.439,0.20705556836522943,0.653090909090909,11,44,0.0,0.004,0.2939999999999996,rya832
3703.821,7.39,41.999,0.8527827923965873,0.898,41.02499999999999,0.021420222789399618,0.6787603930461074,2,77,0.0019999999999527063,0.295,0.09700000000000042,rya832
3731.373,7.772,116.145,0.9820497069644212,0.898,5.685999999999999,0.13639125151883358,0.9708108108108108,3,49,0.038000000000010914,0.002,0.28500000000000014,rya832
3756.937,7.397,63.957,1.008870375793978,0.9,1.9660000000000002,0.314026517794836,0.8341056533827619,2,16,0.007999999999810825,0.173,0.08999999999999986,rya832
3778.793,7.005,66.93,0.9447380831478476,0.898,11.366000000000001,0.07322243966079582,1.0,0,50,0.09000000000014552,0.005,0.4820000000000002,rya832
3026.056,8.498,,,0.033,19.432,0.0016953506293347035,0.28448275862068967,23,65,0.005000000000109139,0.002,0.903999999999999,rya836
3067.244,8.458,,,0.994,8.813,0.10135617416131334,0.9576107899807321,3,30,0.0029999999997016857,0.004,0.8639999999999999,rya836
3083.741,8.568,,,0.992,7.022999999999999,0.12376793512164692,0.24048484848484844,13,51,0.0010000000002037268,0.22,0.9739999999999993,rya836
3099.895,8.28,,,0.991,8.779,0.10143295803480042,0.4716801523084246,7,56,0.018000000000029104,0.12,0.685999999999999,rya836
3100.665,8.3,,,0.992,10.465999999999996,0.08657706406004542,0.21612200435729848,19,111,0.0019999999999527063,0.866,0.7060000000000004,rya836
3125.651,7.655,,,0.987,17.324,0.05390202610452733,0.19486673247778874,6,47,0.00400000000036016,0.97,0.06099999999999994,rya836
3125.683,7.673,,,0.961,14.382,0.0626344261226618,0.18869035931670922,8,44,0.016000000000076398,0.892,0.07899999999999974,rya836
3211.9873,7.285,,,0.979,8.804999999999998,0.10006132461161082,0.29067695961995255,31,51,0.0052999999998064595,0.009,0.30900000000000016,rya836
3217.3772,7.56,,,0.97,11.024,0.08087377021844255,0.4862155388471178,2,84,0.003200000000106229,0.07,0.034000000000000696,rya836
3225.7872,7.766,,,0.986,24.721000000000007,0.03835531178278289,1.0,0,102,0.0842000000002372,0.001,0.1719999999999997,rya836
3227.7955,7.468,,,0.977,23.193000000000005,0.04042201075713694,0.15694779116465865,12,55,0.014500000000225555,0.515,0.12600000000000033,rya836
3228.249,7.301,,,0.965,19.492,0.04717211712372293,0.867026055705301,8,57,0.005000000000109139,0.002,0.29300000000000015,rya836
3228.8987,7.556,,,0.951,31.692,0.029133351713996874,0.8946378174976481,2,42,0.011299999999664578,0.002,0.038000000000000256,rya836
3230.9636,7.463,,,0.972,21.236000000000004,0.04376801152737751,0.9126760563380282,1,77,0.0014000000001033186,0.093,0.13100000000000023,rya836
