3p^2^ ^1^D_2_ 3p ^1^P^o^_1_ 3900.675* 0.79  13  1.84E-4     
3p^2^ ^1^D_2_ 3p ^3^P^o^_1_ 2081.481  0.08  48  0.19E-4     
3p^2^ ^1^D_2_ 3p ^3^P^o^_2_ 2086.864  0.13  42  0.30E-4     
3d ^3^F^o_2_  3d ^3^D_1_    2195.502  0.70  13 <2.           2.14  
3d ^3^F^o_2_  4d ^3^D_1_    5100.34   0.30  31 <0.85         0.012  
3d ^3^F^o_3_  3d ^3^D_2_    2194.245  0.76  13 <2.2          2.25  
3d ^3^F^o_3_  4d ^3^D_2_    5093.65   0.24  40 <0.7          0.013  
3d ^3^F^o_4_  3d ^3^D_3_    2192.604  0.72  10 <2.1          2.54  
3d ^3^F^o_4_  4d ^3^D_3_    5085.02   0.28  26 <0.8          0.015  
4f ^3^F^o_2_  3d ^3^D_1_    3587.450  0.98   3 <1.55     >11 1.98  
4f ^3^F^o_2_  3d ^3^D_2_    3587.3    0.02 100              
4f ^3^F^o_2_  3d ^3^D_3_    3587.1   ~0.                    
4f ^3^F^o_3_  3d ^3^D_2_    3587.068  0.96   5 <1.55     >13 2.07  
4f ^3^F^o_3_  3d ^3^D_3_    3587.9    0.04 100              
4f ^3^F^o_3_  3p^2^ ^1^D_2_ 2635.020 ~0.                    
4f ^3^F^o_4_  3d ^3^D_3_    3586.557           <1.55         2.33   
5f ^3^F^o_2_  3d ^3^D_1_    2638.690 ~1.00     <0.7          0.25   
5f ^3^F^o_3_  3d ^3^D_2_    2638.255 ~1.00     <0.7         
5f ^3^F^o_4_  3d ^3^D_3_    2637.689 ~1.00     <0.7          0.29  
6f ^3^F^o_2_  3d ^3^D_1_    2326.496  0.18  26 <0.12         0.31  
6f ^3^F^o_2_  4d ^3^D_1_    5867.81   0.82   6 <0.54         0.10  
6f ^3^F^o_3_  3d ^3^D_2_    2325.494  0.32  15 <0.21         0.33  
6f ^3^F^o_3_  4d ^3^D_2_    5861.53   0.68   7 <0.45         0.11  
6f ^3^F^o_4_  3d ^3^D_3_    2324.199  0.41  20 <0.27         0.37  
6f ^3^F^o_4_  4d ^3^D_3_    5853.62   0.59  20 <0.39         0.12  
7f ^3^F^o_2_  3d ^3^D_1_    2095.140  0.97   7 <2.           1.47  
7f ^3^F^o_2_  4d ^3^D_1_    4589.742  0.03 100              
7f ^3^F^o_3_  3d ^3^D_2_    2094.790  0.98   4 <2.           1.57  
7f ^3^F^o_3_  4d ^3^D_2_    4588.191  0.02 100              
7f ^3^F^o_4_  3d ^3^D_3_    2094.264  0.98   3 <2.           1.74  
7f ^3^F^o_4_  4d ^3^D_3_    4585.817  0.02 100              
