3p^2^ ^1^D_2_       3p ^1^P^o^_1_   3900.675 8.04   
3p^2^ ^1^D_2_       3p ^3^P^o^_1_   2081.481 0.68  9 0.6 
3p^2^ ^1^D_2_       3p ^3^P^o^_2_   2086.864 1.    5 1.0
3d' ^3^F^o^_2_      3d ^3^D_1_      2195.502 0.42  9 0.47 
3d' ^3^F^o^_3_      3d ^3^D_2_      2194.245 0.65 11 0.69 
3d' ^3^F^o^_4_      3d ^3^D_3_      2192.604 1.    8 1.00
3d' ^3^F^o^_2_      4d ^3^D_1_      5100.34  0.44 19 0.47
3d' ^3^F^o^_3_      4d ^3^D_2_      5093.65  0.63 13 0.69 
3d' ^3^F^o^_4_      4d ^3^D_3_      5085.02  1.    8 1.00
4f  ^3^F^o^_2_      3d ^3^D_1_      3587.450 0.46 13 0.47
4f  ^3^F^o^_3_      3d ^3^D_2_      3587.068 0.71 10 0.69
4f  ^3^F^o^_4_      3d ^3^D_3_      3586.557 1.    4 1.00
5f  ^3^F^o^_2_      3d ^3^D_1_      2638.690 0.51 12 0.47
5f  ^3^F^o^_3_      3d ^3^D_2_      2638.155 0.60 18 0.69
5f  ^3^F^o^_4_      3d ^3^D_3_      2637.689 1.    8 1.00
6f  ^3^F^o^_2_      3d ^3^D_1_      2326.406 0.43 24 0.47
6f  ^3^F^o^_3_      3d ^3^D_2_      2325.494 0.68 16 0.69
6f  ^3^F^o^_4_      3d ^3^D_3_      2324.199 1.   13 1.00
6f  ^3^F^o^_2_      4d ^3^D_1_      5867.81  0.48 39 0.47 
6f  ^3^F^o^_3_      4d ^3^D_2_      5861.53  0.62 39 0.69
6f  ^3^F^o^_4_      4d ^3^D_3_      5853.62  1.   26 1.00
7f  ^3^F^o^_2_      3d ^3^D_1_      2095.140 0.48 19 0.47 
7f  ^3^F^o^_3_      3d ^3^D_2_      2094.790 0.67 13 0.69 
7f  ^3^F^o^_4_      3d ^3^D_3_      2094.264 1.   10 1.00
