3s3p4s ^4^P^o^1_/2_ 2p^2^ ^4^P_1/2_ 3059.924 0.01 67 0.08
3s3p4s ^4^P^o^1_/2_ 2p^2^ ^4^P_3/2_ 3064.290 0.14 43 0.40
3s3p4s ^4^P^o^3_/2_ 2p^2^ ^4^P_1/2_ 3054.679 0.02 53 0.04
3s3p4s ^4^P^o^3_/2_ 2p^2^ ^4^P_3/2_ 3059.029 0.01 40 0.13
3s3p4s ^4^P^o^3_/2_ 2p^2^ ^4^P_5/2_ 3066.145 0.14 24 0.43 
3s3p4s ^4^P^o^5_/2_ 2p^2^ ^4^P_3/2_ 3050.073 0.41 11 0.43
3s3p4s ^4^P^o^5_/2_ 2p^2^ ^4^P_5/2_ 3057.144 1.   25 1.00
3s3p3d ^4^P^o^1_/2_ 2p^2^ ^4^P_1/2_ 2311.035 0.11 21 0.08
3s3p3d ^4^P^o^1_/2_ 2p^2^ ^4^P_3/2_ 2313.526 0.34 19 0.40 
3s3p3d ^4^P^o^3_/2_ 2p^2^ ^4^P_1/2_ 2312.491 0.22 23 0.40
3s3p3d ^4^P^o^3_/2_ 2p^2^ ^4^P_3/2_ 2314.983 0.09 36 0.13 
3s3p3d ^4^P^o^3_/2_ 2p^2^ ^4^P_5/2_ 2319.057 0.25 21 0.43 
3s3p3d ^4^P^o^5_/2_ 2p^2^ ^4^P_3/2_ 2317.482 0.35 21 0.43
3s3p3d ^4^P^o^5_/2_ 2p^2^ ^4^P_5/2_ 2321.562 1.   16 1.00
3s3p3d ^4^D^o^1_/2_ 2p^2^ ^4^P_1/2_ 2368.112 0.20 24 0.21
3s3p3d ^4^D^o^1_/2_ 2p^2^ ^4^P_3/2_ 2370.726 0.05 39 0.04 
3s3p3d ^4^D^o^3_/2_ 2p^2^ ^4^P_1/2_ 2367.611 0.23 35 0.21
3s3p3d ^4^D^o^3_/2_ 2p^2^ ^4^P_3/2_ 2370.225 0.27 30 0.27 
3s3p3d ^4^D^o^3_/2_ 2p^2^ ^4^P_5/2_ 2374.496 0.03 44 0.03 
3s3p3d ^4^D^o^5_/2_ 2p^2^ ^4^P_3/2_ 2369.304 0.57 15 0.52
3s3p3d ^4^D^o^5_/2_ 2p^2^ ^4^P_5/2_ 2373.571 0.22 30 0.23 
3s3p3d ^4^D^o^7_/2_ 2p^2^ ^4^P_5/2_ 2372.070 0.50 17 1.00
