3s^2^4s ^2^S_1/2_    3p ^2^P^o^_1/2_  3944.006  0.48  9 0.5  0.325 9  0.47   10 0.493 Wiese & Martin (1980)
3s^2^4s ^2^S_1/2_    3p ^2^P^o^_3/2_  3961.520  1.    5 1.0  0.675 5  0.99    6 0.98  Wiese & Martin (1980)
3s^2^5s ^2^S_1/2_    3p ^2^P^o^_1/2_  2652.484  0.50  2 0.5           0.142  12 0.133 Wiese & Martin (1980)
3s^2^5s ^2^S_1/2_    3p ^2^P^o^_3/2_  2660.393  1.    1 1.0           0.284  11 0.264 Wiese & Martin (1980)
3s^2^5s ^2^S_1/2_    4p ^2^P^o^_1/2_ 21093.04           0.5           0.030 >30 
3s^2^5s ^2^S_1/2_    4p ^2^P^o^_3/2_ 21163.75           1.0           0.060 >30 
3s^2^4p ^2^P^o^_1/2_ 4s ^2^S_1/2_    13150.76           0.5           0.160   3 0.169 Buurman et al. (1986)
3s^2^4p ^2^P^o^_3/2_ 4s ^2^S_1/2_    13123.41           1.0           0.150   5 0.169 Buurman et al. (1986)
3s^2^3d ^2^D_3/2_    3p ^2^P^o^_1/2_  3082.153  0.53 10 0.56 0.83 10  0.59   12 0.63  Wiese & Martin (1980)
3s^2^3d ^2^D_3/2_    3p ^2^P^o^_3/2_  3092.839 ~0.      0.11 0.17     0.12 )   
3s^2^3d ^2^D_5/2_    3p ^2^P^o^_3/2_  3092.710  1.    5 1.   1.00     0.71    2 0.74  Wiese & Martin (1980)
y ^2^D_3/2_          3p ^2^P^o^_1/2_  2567.984  0.51  9 0.56         <0.28      0.23  Wiese & Martin (1980)
y ^2^D_3/2_          3p ^2^P^o^_1/2_  2567.984  0.51  9 0.56         <0.28      0.192 Davidson et al. (1990) 
y ^2^D_3/2_          3p ^2^P^o^_3/2_  2575.393  0.12 25 0.11         <0.05      0.044 Wiese & Martin (1980)
y ^2^D_3/2_          3p ^2^P^o^_3/2_  2575.393  0.12 25 0.11         <0.05      0.038 Davidson et al. (1990)
y ^2^D_5/2_          3p ^2^P^o^_3/2_  2575.094  1.    6 1.           <0.34      0.28  Wiese & Martin (1980)
y ^2^D_5/2_          3p ^2^P^o^_3/2_  2575.094  1.    6 1.           <0.34      0.230 Davidson et al. (1990)
3s^2^5d ^2^D_3/2_    3p ^2^P^o^_1/2_  2367.025  0.75  8 0.56         <0.63      0.72  Wiese & Martin (1980)
3s^2^5d ^2^D_3/2_    3p ^2^P^o^_1/2_  2367.025  0.75  8 0.56         <0.63      0.526 Davidson et al. (1990) 
(4d)                 3p ^2^P^o^_3/2_  2373.349  0.13 37 0.11         <0.13      0.14  Wiese & Martin (1980)
(4d)                 3p ^2^P^o^_3/2_  2373.349  0.13 37 0.11         <0.13      0.105 Davidson et al. (1990) 
3s^2^5d ^2^D_5/2_    3p ^2^P^o^_3/2_  2373.124  1.    7 1.00         <0.76      0.86  Wiese & Martin (1980)
3s^2^5d ^2^D_5/2_    3p ^2^P^o^_3/2_  2373.124  1.    7 1.00         <0.76      0.631 Davidson et al. (1990)
3s^2^6d ^2^D_3/2_    3p ^2^P^o^_1/2_  2263.462  0.50 14 0.56         <0.59      0.66  Wiese & Martin (1980)
3s^2^6d ^2^D_3/2_    3p ^2^P^o^_1/2_  2263.462  0.50 14 0.56         <0.59      0.576 Davidson et al. (1990)
3s^2^6d ^2^D_3/2_    3p ^2^P^o^_3/2_  2269.220 ~0.      0.11         <0.12      0.13  Wiese & Martin (1980)
3s^2^6d ^2^D_3/2_    3p ^2^P^o^_3/2_  2269.220 ~0.      0.11         <0.12      0.115 Davidson et al. (1990)
3s^2^6d ^2^D_5/2_    3p ^2^P^o^_3/2_  2269.096  1.    7 1.00         <0.71      0.79  Wiese & Martin (1980)
3s^2^6d ^2^D_5/2_    3p ^2^P^o^_3/2_  2269.096  1.    7 1.00         <0.71      0.691 Davidson et al. (1990)
