canonical_line_id,wavelength_air,gf_source,gf_grade,tier
alphys_I_6696.7880_0354,6696.788,SEMIEMP-K75,CANDIDATE-BLENDED,CANDIDATE-BLENDED
alphys_I_6784.2560_0357,6784.256,SEMIEMP-K75,CANDIDATE-BLENDED,CANDIDATE-BLENDED
alphys_I_6905.6460_0358,6905.646,NIST-D,D,CANDIDATE-BLENDED
alphys_I_6906.2870_0359,6906.287,NIST-C,C,CANDIDATE-BLENDED
alphys_I_7835.3090_0386,7835.309,NIST-B,B,CANDIDATE-BLENDED
alphys_I_8772.8650_0393,8772.865,NIST-B+,B+,CANDIDATE-BLENDED
alphys_I_11253.1890_0406,11253.189,EXP-BURHEIM23,GF-LAB,CANDIDATE-BLENDED
alphys_I_15956.6750_0449,15956.675,UNGRADED,CANDIDATE-BLENDED,CANDIDATE-BLENDED
