holding_id,instrument_id,manifest_path,outcome,reaches_coverage_module
solar_harps,harps,data/catalog/solar_reference_holdings_rya708.csv,RESOLVED_1_ROWS,True
solar_kpno,kpno_solar_atlas,data/catalog/solar_reference_holdings_rya708.csv,RESOLVED_1_ROWS,True
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,data/audit/rya929_kurucz2005/intake_manifest.json,SKIPPED_BY_SUFFIX_JSON,False
solar_iag,iag_fts_solar_atlas,data/catalog/solar_reference_holdings_rya708.csv,RESOLVED_2_ROWS,True
elgueta2026_vizier,crires_plus,data/reference/elgueta2026_vizier/MD5SUMS.txt,SKIPPED_BY_SUFFIX_TXT,False
solar_crires_plus_y_rya794,crires_plus,data/results/rya794/vesta_crires_plus_Y_10280_10680_normalized.csv,SKIPPED_NO_LOADER_COLUMN,False
solar_vesta_crires_plus_idp,crires_plus,data/audit/vesta_crires_plus/vesta_crires_plus_idp_manifest.csv,SKIPPED_NO_LOADER_COLUMN,False
solar_harps_molecfit_corrected,harps,data/audit/rya931_molecfit_runtime/intake_manifest.json,SKIPPED_BY_SUFFIX_JSON,False
solar_kpno_molecfit_corrected,kpno_solar_atlas,data/audit/rya940_kp1984_telluric/findings.md,SKIPPED_BY_SUFFIX_MD,False
solar_delbouille_liege,delbouille_liege_intensity,data/catalog/solar_reference_holdings_rya708.csv,RESOLVED_1_ROWS,True
solar_iag_reiners2016,iag_fts_solar_atlas,data/catalog/solar_reference_holdings_rya708.csv,RESOLVED_2_ROWS,True
solar_crires_plus_y_wide_rya1054,crires_plus,data/results/rya794/vesta_crires_plus_Y_9800_10796_normalized.csv,SKIPPED_NO_LOADER_COLUMN,False
solar_crires_plus_h_rya1094,crires_plus,data/results/rya1048/vesta_crires_plus_H_15007_17494_normalized.csv,SKIPPED_NO_LOADER_COLUMN,False
