canonical_line_id,wavelength_air,gf_grade,nist_grade,nist_grade_worst,nist_n_components,loggf_adopted,nist_log_gf,gf_sigma_dex
alphys_I_6905.6460_0358,6905.646,D,D,D,1.0,-1.3334820194,-1.3334820194451191,0.1760912591
alphys_I_6906.2870_0359,6906.287,C,C,E,2.0,-1.1592667654,-1.1592667653881932,0.1091444694
alphys_I_7083.9690_0367,7083.969,C+,C+,C+,1.0,-1.1573907604,-1.157390760389438,0.0718820073
alphys_I_7084.6430_0368,7084.643,C+,C+,E,2.0,-0.9805264467,-0.9805264467275834,0.0860366315
alphys_I_7327.4700_0376,7327.47,D,D,D,1.0,-1.9288547095,-1.9288547095489168,0.1760912591
alphys_I_7335.6480_0377,7335.648,C,C,C,1.0,-1.6744843366,-1.6744843366368518,0.096910013
alphys_I_7335.9870_0378,7335.987,E,E,E,1.0,-2.6285626826,-2.628562682595899,0.3010299957
alphys_I_7361.5680_0379,7361.568,C+,C+,C+,1.0,-0.9461535731,-0.9461535731477474,0.0718820073
alphys_I_7362.2960_0380,7362.296,C+,C+,D,2.0,-0.7692956864,-0.769295686387431,0.0774544267
alphys_I_7606.1600_0383,7606.16,D,D,D,1.0,-1.8204482088,-1.820448208834812,0.1760912591
alphys_I_7614.8200_0384,7614.82,C,C,C,1.0,-1.5660702344,-1.5660702343915358,0.096910013
alphys_I_7615.3370_0385,7615.337,E,E,E,1.0,-2.519993057,-2.519993057042849,0.3010299957
alphys_I_7835.3090_0386,7835.309,B,B,B,1.0,-0.6886700477,-0.6886700476962069,0.0413926852
alphys_I_7836.1340_0387,7836.134,B+,B+,C+,2.0,-0.5130880259,-0.5130880259260397,0.0315087799
alphys_I_8065.9680_0390,8065.968,C+,C+,C+,1.0,-1.7629592086,-1.7629592086208092,0.0718820073
alphys_I_8075.3530_0391,8075.353,C+,C+,C+,1.0,-1.5086383062,-1.5086383061657274,0.0718820073
alphys_I_8076.2890_0392,8076.289,C,C,C,1.0,-2.4624327428,-2.4624327428473247,0.096910013
alphys_I_8772.8650_0393,8772.865,B+,B+,B+,1.0,-0.348721986,-0.348721986001856,0.0293837777
alphys_I_8773.8961_0394,8773.8961,B+,B+,C+,2.0,-0.1713529907,-0.1713529907325012,0.0314971089
