species,level_1,level_2,dEP_eV
Al I,3p ^2^P^o^_1/2_,3p ^2^P^o^_3/2_,0.0139
Al I,3p ^2^P^o^_3/2_,4s ^2^S_1/2_,3.1288
Al I,4s ^2^S_1/2_,2p^2^ ^4^P_1/2_,0.4554
Al I,2p^2^ ^4^P_1/2_,2p^2^ ^4^P_3/2_,0.005700000000000038
Al I,2p^2^ ^4^P_3/2_,2p^2^ ^4^P_5/2_,0.009399999999999853
Al I,2p^2^ ^4^P_5/2_,4p ^2^P^o^_1/2_,0.4721000000000002
Al I,4p ^2^P^o^_1/2_,4p ^2^P^o^_3/2_,0.0019000000000000128
Al II,3p ^1^P^o^_1_,3d ^3^D_3_,4.4259
Al II,3d ^3^D_3_,3d ^3^D_2_,0.00019999999999953388
Al II,3d ^3^D_2_,3d ^3^D_1_,9.999999999976694e-05
