wavelength_air_A,census_hfs_n,canonical_gf_hfs_n,census_log_gf_sum,canonical_log_gf,still_wrong,manifest_HFS_status,manifest_gf_grade,manifest_gf_source
3944.006,4,1,-0.6227,-0.6227,True,COMPONENT_SUM_VERIFIED,GF-LAB,EXP-VUJNOVIC2002
3961.52,6,1,-0.3228,-0.3228,True,COMPONENT_SUM_VERIFIED,GF-LAB,EXP-VUJNOVIC2002
