k,size,min,max
"('Al', 'I', 2378.394, 0.014)",2,-3.134,-2.703
"('Al', 'I', 2378.395, 0.014)",3,-2.687,-2.59
"('Al', 'I', 2567.981, 0.0)",2,-1.947,-1.85
"('Al', 'I', 2567.984, 0.0)",2,-2.394,-1.85
"('Al', 'I', 2575.095, 0.014)",2,-1.858,-1.8
"('Al', 'I', 2575.096, 0.014)",4,-2.958,-1.879
"('Al', 'I', 2575.097, 0.014)",3,-2.578,-2.356
"('Al', 'I', 2575.395, 0.014)",3,-3.186,-2.818
"('Al', 'I', 2575.396, 0.014)",3,-4.395,-2.686
"('Al', 'I', 2575.398, 0.014)",3,-2.788,-2.311
"('Al', 'I', 2652.473, 0.0)",2,-2.583,-2.039
"('Al', 'I', 2660.385, 0.014)",2,-2.584,-2.153
"('Al', 'I', 2660.386, 0.014)",4,-2.137,-1.676
"('Al', 'I', 3082.149, 0.0)",2,-1.35,-1.237
"('Al', 'I', 3092.711, 0.014)",2,-1.245,-1.187
"('Al', 'I', 3092.712, 0.014)",2,-1.597,-1.266
"('Al', 'I', 3092.713, 0.014)",3,-2.345,-1.421
"('Al', 'I', 3092.714, 0.014)",2,-1.789,-1.743
"('Al', 'I', 3092.836, 0.014)",3,-2.573,-2.205
"('Al', 'I', 3092.838, 0.014)",2,-2.073,-2.073
"('Al', 'I', 3092.84, 0.014)",2,-2.175,-2.175
"('Al', 'I', 4876.578, 3.143)",3,-3.596,-3.483
"('Al', 'I', 4876.588, 3.143)",3,-4.027,-3.119
"('Al', 'I', 5107.514, 3.143)",3,-3.298,-3.185
"('Al', 'I', 5107.525, 3.143)",2,-3.729,-3.185
"('Al', 'I', 5107.937, 3.143)",2,-3.73,-3.186
"('Al', 'I', 5107.948, 3.143)",2,-3.283,-3.186
"('Al', 'I', 5557.056, 3.143)",2,-3.013,-2.9
"('Al', 'I', 5557.068, 3.143)",2,-2.9,-2.536
"('Al', 'I', 6631.809, 4.022)",2,-2.85,-1.55
"('Al', 'I', 6696.005, 3.143)",2,-2.363,-2.25
"('Al', 'I', 6696.023, 3.143)",2,-2.794,-2.25
"('Al', 'I', 6696.788, 4.022)",2,-2.722,-1.421
"('Al', 'I', 6698.662, 3.143)",2,-2.793,-2.249
"('Al', 'I', 6784.256, 4.022)",2,-2.586,-1.285
"('Al', 'I', 6906.287, 4.022)",2,-2.433,-1.132
"('Al', 'I', 7084.643, 4.022)",2,-2.257,-0.956
"('Al', 'I', 7362.296, 4.022)",2,-2.049,-0.748
"('Al', 'I', 7554.16, 4.085)",2,-3.461,-2.917
"('Al', 'I', 7563.212, 4.087)",2,-3.462,-3.031
"('Al', 'I', 7563.214, 4.087)",2,-3.015,-2.918
"('Al', 'I', 7836.134, 4.022)",2,-1.795,-0.494
"('Al', 'I', 8003.182, 4.087)",2,-3.213,-2.782
"('Al', 'I', 8003.184, 4.087)",2,-2.669,-2.669
"('Al', 'I', 8841.274, 4.087)",2,-2.924,-2.493
"('Al', 'I', 8841.276, 4.087)",2,-2.38,-2.38
"('Al', 'I', 9170.831, 4.022)",2,-4.69,-4.322
"('Al', 'I', 9170.841, 4.022)",3,-4.866,-4.167
"('Al', 'I', 9170.856, 4.022)",2,-4.146,-4.088
"('Al', 'I', 9170.876, 4.022)",2,-4.292,-3.815
"('Al', 'I', 10872.973, 4.085)",2,-2.433,-1.986
"('Al', 'I', 11655.222, 4.827)",2,-2.3,-0.999
"('Al', 'I', 12253.379, 4.673)",2,-3.131,-3.018
"('Al', 'I', 12253.398, 4.673)",2,-3.018,-2.654
"('Al', 'I', 13823.904, 4.673)",2,-2.718,-2.605
"('Al', 'I', 13823.929, 4.673)",2,-3.149,-2.605
"('Al', 'I', 14116.854, 4.827)",2,-2.647,-1.346
"('Al', 'I', 14458.902, 4.827)",2,-3.948,-3.617
"('Al', 'I', 14458.944, 4.827)",2,-3.596,-3.538
"('Al', 'I', 15968.287, 4.827)",3,-2.544,-1.243
"('Al', 'I', 16684.746, 4.827)",2,-5.796,-4.219
"('Al', 'I', 19280.142, 4.993)",2,-2.748,-2.301
"('Al', 'I', 19302.128, 4.994)",2,-2.318,-2.205
"('Al', 'I', 23194.757, 5.237)",2,-1.493,-1.49
"('Al', 'II', 1721.24, 4.644)",2,-1.038,-1.029
"('Al', 'II', 1721.269, 4.644)",3,-0.926,-0.516
"('Al', 'II', 1721.272, 4.644)",2,-1.148,-0.227
"('Al', 'II', 1724.915, 4.659)",2,-3.199,-2.798
"('Al', 'II', 1724.942, 4.659)",2,-2.059,-1.515
"('Al', 'II', 1724.945, 4.659)",2,-1.515,-1.297
"('Al', 'II', 1724.947, 4.659)",2,-1.44,-1.327
"('Al', 'II', 1724.979, 4.659)",2,-1.008,-0.644
"('Al', 'II', 1724.981, 4.659)",2,-0.911,-0.192
"('Al', 'II', 1724.983, 4.659)",3,-1.455,-0.024
"('Al', 'II', 1724.985, 4.659)",2,-1.422,-0.67
"('Al', 'II', 1862.311, 4.659)",2,-1.496,-0.797
"('Al', 'II', 3586.553, 11.847)",3,-0.509,-0.2
"('Al', 'II', 3586.575, 11.847)",2,-1.831,-0.961
"('Al', 'II', 3587.067, 11.847)",2,-0.954,-0.687
"('Al', 'II', 3587.071, 11.847)",2,-0.703,-0.235
"('Al', 'II', 3587.075, 11.847)",2,-0.713,-0.067
