species,n_lines,split_fraction
Mn I,13213,0.813
Mn II,11363,0.765
Co I,66780,0.987
Co II,24004,0.995
Cu I,2735,0.822
Cu II,65,0.062
V I,30715,0.957
V II,12400,0.843
Sc I,6050,0.968
Sc II,1966,0.893
Ba I,48,0.0
Ba II,140,0.664
Eu II,822,0.852
Na I,1018,0.993
Al I,979,0.797
Al II,136,0.824
K I,265,0.74
La I,23,0.0
La II,3635,0.999
