canonical_line_id,wavelength_air,band,gf_grade,manifest_instrument_reach,measurement_suitability_status,n_catalog_instruments,catalog_instruments
alphys_II_1670.7870_0000,1670.787,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1719.4420_0001,1719.442,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1721.2440_0002,1721.244,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1721.2710_0003,1721.271,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1724.9220_0004,1724.922,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1724.9490_0005,1724.949,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1724.9820_0006,1724.982,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1727.2140_0007,1727.214,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1760.1060_0008,1760.106,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1761.9770_0009,1761.977,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1763.8690_0010,1763.869,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1763.9520_0011,1763.952,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1765.8160_0012,1765.816,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_1766.3810_0013,1766.381,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1767.7320_0014,1767.732,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_I_1769.1330_0015,1769.133,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
alphys_II_1772.8030_0016,1772.803,FUV,EXCLUDED-NO-HOME,,CANDIDATE_NOT_SELECTED,2,hst_cos|hst_stis
