source_row_id,canonical_line_id,wavelength_air,band,vujnovic_loggf,vujnovic_sigma_dex,adopted_loggf,adopted_source,adopted_grade,adopted_sigma_dex,delta_dex,n_sigma_on_adopted,in_conflict_ledger,named_in_competing_gf_summary
vuj2002_t2_005,alphys_I_21093.0290_0480,21093.029,K,-0.3977137205,0.1139433523,-0.3086613158,UNGRADED,GRADEABLE,0.2,-0.08905240469999998,0.4452620234999999,False,False
vuj2002_t2_006,alphys_I_21163.7550_0481,21163.755,K,-0.0937768318,0.1139433523,-0.0088160962,UNGRADED,GRADEABLE,0.2,-0.0849607356,0.424803678,False,False
vuj2002_t2_007,alphys_I_13150.7530_0425,13150.753,OUTSIDE_CURRENT_INSTRUMENT_REACH,-0.081091641,0.0128372247,-0.098,EXP-BURHEIM23,GF-LAB,0.0132586653,0.016908358999999998,1.275268559649062,False,False
vuj2002_t2_008,alphys_I_13123.4160_0423,13123.416,OUTSIDE_CURRENT_INSTRUMENT_REACH,0.1901013215,0.0211892991,0.232,EXP-BURHEIM23,GF-LAB,0.0064660422,-0.04189867850000001,6.47980282281486,False,False
vuj2002_t2_010,alphys_I_3092.8390_0331,3092.839,near-UV,-1.1621874598,,-1.1469563524,UNGRADED,EXCLUDED-SATURATED,0.2,-0.015231107399999999,0.076155537,False,False
vuj2002_t5_001,alphys_II_3900.6750_0334,3900.675,VIS,-3.6780759622,,-1.27,UNGRADED,GRADEABLE,0.2,-2.4080759622,12.040379811,False,False
