key_z,ion,element_raw,wavelength_air_A,excitation_potential_eV,gf_linelist_vald,reference_code,hfs_n_components,lab_log_gf,lab_sigma_dex,lab_source,lab_wavelength_A,n_lab_candidates,adjudicated,delta_lab_minus_vald,nist_log_gf,nist_grade,nist_ref_tp,delta_nist_minus_vald
26,1,Fe 1,9358.389,3.0469,-3.735,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9359.41,2.5592,-2.861,VALD3,1,,,,,0,False,,-2.8610660597430764,B,T5720,-6.605974307616336e-05
26,1,Fe 1,9362.36,2.2786,-3.152,VALD3,1,,,,,0,False,,-3.151810883008601,D+,T5720,0.00018911699139900762
26,1,Fe 1,9372.896,2.5592,-2.614,VALD3,1,,,,,0,False,,-2.614393726401688,C+,T5720,-0.00039372640168799933
26,1,Fe 1,9375.122,2.9904,-3.426,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9382.933,4.985,-1.591,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,9387.334,6.206,-1.541,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9387.514,5.9471,-0.876,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9388.184,4.988,-1.187,VALD3,1,-1.22,0.04,DenHartog2014,9388.1837,1,True,-0.03299999999999992,,,,
14,1,Si 1,9393.420000000002,6.1248,-1.533,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9394.675,4.9556,-1.058,VALD3,1,,,,,0,False,,,,,
28,1,Ni 1,9396.452,5.6141,-0.22299999999999998,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9401.113,5.0331,-0.415,VALD3,1,,,,,0,False,,-0.4153296155356512,C,T5720,-0.0003296155356511954
26,1,Fe 1,9404.333,4.988,-1.629,VALD3,1,,,,,0,False,,,,,
6,1,C 1,9405.73,7.6848,0.286,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9409.552,5.0331,-1.642,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9410.159,5.0995,-1.018,VALD3,1,-0.9,0.04,DenHartog2014,9410.1583,1,True,0.118,,,,
16,1,S 1,9413.274,8.4114,0.52,VALD3,1,,,,,0,False,,,,,
16,1,S 1,9413.46,8.4114,0.38,VALD3,1,,,,,0,False,,,,,
14,1,Si 1,9413.5,5.0823,-0.433,VALD3,1,,,,,0,False,,,,,
26,1,Fe 1,9414.042,5.0638,-0.323,VALD3,1,-0.27,0.02,Ruffoni2014,9414.0422,1,True,0.05299999999999999,-0.321754848072958,D+,T5720,0.0012451519270419986
