source_row_id,table,species,upper_level,lower_level,wavelength_A,intensity_ratio,intensity_unc_pct,branching_ratio,branching_unc_pct,aki_limit,aki_1e8_s-1,aki_unc_pct,upper_J,derived_loggf,derived_sigma_dex,doi,canonical_line_id,wavelength_delta_A,disposition
vuj2002_t2_001,2,Al I,3s^2^4s ^2^S_1/2_,3p ^2^P^o^_1/2_,3944.006,0.48,9.0,0.325,9.0,,0.47,10.0,0.5,-0.6591403358,0.0413926852,10.1051/0004-6361:20020560,alphys_I_3944.0060_0335,0.0,GF_LAB_PROMOTED
vuj2002_t2_002,2,Al I,3s^2^4s ^2^S_1/2_,3p ^2^P^o^_3/2_,3961.52,1.0,5.0,0.675,5.0,,0.99,6.0,0.5,-0.3317544274,0.0253058653,10.1051/0004-6361:20020560,alphys_I_3961.5200_0336,0.0,GF_LAB_PROMOTED
vuj2002_t2_003,2,Al I,3s^2^5s ^2^S_1/2_,3p ^2^P^o^_1/2_,2652.484,0.5,2.0,,,,0.142,12.0,0.5,-1.5235194375,0.0492180227,10.1051/0004-6361:20020560,alphys_I_2652.4750_0318,0.009,GF_LAB_PROMOTED
vuj2002_t2_004,2,Al I,3s^2^5s ^2^S_1/2_,3p ^2^P^o^_3/2_,2660.393,1.0,1.0,,,,0.284,11.0,0.5,-1.2199033947,0.0453229788,10.1051/0004-6361:20020560,alphys_I_2660.3860_0319,0.007,GF_LAB_PROMOTED
vuj2002_t2_005,2,Al I,3s^2^5s ^2^S_1/2_,4p ^2^P^o^_1/2_,21093.04,,,,,,0.03,30.0,0.5,-0.3977137205,0.1139433523,10.1051/0004-6361:20020560,alphys_I_21093.0290_0480,0.011,MATCHED_NOT_PROMOTED
vuj2002_t2_006,2,Al I,3s^2^5s ^2^S_1/2_,4p ^2^P^o^_3/2_,21163.75,,,,,,0.06,30.0,0.5,-0.0937768318,0.1139433523,10.1051/0004-6361:20020560,alphys_I_21163.7550_0481,0.005,MATCHED_NOT_PROMOTED
vuj2002_t2_007,2,Al I,3s^2^4p ^2^P^o^_1/2_,4s ^2^S_1/2_,13150.76,,,,,,0.16,3.0,0.5,-0.081091641,0.0128372247,10.1051/0004-6361:20020560,alphys_I_13150.7530_0425,0.007,MATCHED_NOT_PROMOTED
vuj2002_t2_008,2,Al I,3s^2^4p ^2^P^o^_3/2_,4s ^2^S_1/2_,13123.41,,,,,,0.15,5.0,1.5,0.1901013215,0.0211892991,10.1051/0004-6361:20020560,alphys_I_13123.4160_0423,0.006,MATCHED_NOT_PROMOTED
vuj2002_t2_009,2,Al I,3s^2^3d ^2^D_3/2_,3p ^2^P^o^_1/2_,3082.153,0.53,10.0,0.83,10.0,,0.59,12.0,1.5,-0.4735229332,0.0492180227,10.1051/0004-6361:20020560,alphys_I_3082.1530_0329,0.0,GF_LAB_PROMOTED
vuj2002_t2_010,2,Al I,3s^2^3d ^2^D_3/2_,3p ^2^P^o^_3/2_,3092.839,0.0,,0.17,,,0.12,,1.5,-1.1621874598,,10.1051/0004-6361:20020560,alphys_I_3092.8390_0331,0.0,MATCHED_NOT_PROMOTED
vuj2002_t2_011,2,Al I,3s^2^3d ^2^D_5/2_,3p ^2^P^o^_3/2_,3092.71,1.0,5.0,1.0,,,0.71,2.0,2.5,-0.214055327,0.0086001718,10.1051/0004-6361:20020560,alphys_I_3092.7100_0330,0.0,GF_LAB_PROMOTED
vuj2002_t2_012,2,Al I,y ^2^D_3/2_,3p ^2^P^o^_1/2_,2567.984,0.51,9.0,,,<,0.28,,1.5,,,10.1051/0004-6361:20020560,alphys_I_2567.9830_0315,0.001,MATCHED_NOT_PROMOTED
vuj2002_t2_013,2,Al I,y ^2^D_3/2_,3p ^2^P^o^_1/2_,2567.984,0.51,9.0,,,<,0.28,,1.5,,,10.1051/0004-6361:20020560,alphys_I_2567.9830_0315,0.001,MATCHED_NOT_PROMOTED
vuj2002_t2_014,2,Al I,y ^2^D_3/2_,3p ^2^P^o^_3/2_,2575.393,0.12,25.0,,,<,0.05,,1.5,,,10.1051/0004-6361:20020560,alphys_I_2575.3970_0317,0.004,MATCHED_NOT_PROMOTED
vuj2002_t2_015,2,Al I,y ^2^D_3/2_,3p ^2^P^o^_3/2_,2575.393,0.12,25.0,,,<,0.05,,1.5,,,10.1051/0004-6361:20020560,alphys_I_2575.3970_0317,0.004,MATCHED_NOT_PROMOTED
vuj2002_t2_016,2,Al I,y ^2^D_5/2_,3p ^2^P^o^_3/2_,2575.094,1.0,6.0,,,<,0.34,,2.5,,,10.1051/0004-6361:20020560,alphys_I_2575.0940_0316,0.0,MATCHED_NOT_PROMOTED
vuj2002_t2_017,2,Al I,y ^2^D_5/2_,3p ^2^P^o^_3/2_,2575.094,1.0,6.0,,,<,0.34,,2.5,,,10.1051/0004-6361:20020560,alphys_I_2575.0940_0316,0.0,MATCHED_NOT_PROMOTED
vuj2002_t2_018,2,Al I,3s^2^5d ^2^D_3/2_,3p ^2^P^o^_1/2_,2367.025,0.75,8.0,,,<,0.63,,1.5,,,10.1051/0004-6361:20020560,alphys_I_2367.0530_0302,0.028,MATCHED_NOT_PROMOTED
vuj2002_t2_019,2,Al I,3s^2^5d ^2^D_3/2_,3p ^2^P^o^_1/2_,2367.025,0.75,8.0,,,<,0.63,,1.5,,,10.1051/0004-6361:20020560,alphys_I_2367.0530_0302,0.028,MATCHED_NOT_PROMOTED
vuj2002_t2_020,2,Al I,(4d),3p ^2^P^o^_3/2_,2373.349,0.13,37.0,,,<,0.13,,,,,10.1051/0004-6361:20020560,alphys_I_2373.3510_0311,0.002,MATCHED_NOT_PROMOTED
vuj2002_t2_021,2,Al I,(4d),3p ^2^P^o^_3/2_,2373.349,0.13,37.0,,,<,0.13,,,,,10.1051/0004-6361:20020560,alphys_I_2373.3510_0311,0.002,MATCHED_NOT_PROMOTED
vuj2002_t2_022,2,Al I,3s^2^5d ^2^D_5/2_,3p ^2^P^o^_3/2_,2373.124,1.0,7.0,,,<,0.76,,2.5,,,10.1051/0004-6361:20020560,alphys_I_2373.1220_0310,0.002,MATCHED_NOT_PROMOTED
vuj2002_t2_023,2,Al I,3s^2^5d ^2^D_5/2_,3p ^2^P^o^_3/2_,2373.124,1.0,7.0,,,<,0.76,,2.5,,,10.1051/0004-6361:20020560,alphys_I_2373.1220_0310,0.002,MATCHED_NOT_PROMOTED
vuj2002_t2_024,2,Al I,3s^2^6d ^2^D_3/2_,3p ^2^P^o^_1/2_,2263.462,0.5,14.0,,,<,0.59,,1.5,,,10.1051/0004-6361:20020560,alphys_I_2263.4630_0291,0.001,MATCHED_NOT_PROMOTED
vuj2002_t2_025,2,Al I,3s^2^6d ^2^D_3/2_,3p ^2^P^o^_1/2_,2263.462,0.5,14.0,,,<,0.59,,1.5,,,10.1051/0004-6361:20020560,alphys_I_2263.4630_0291,0.001,MATCHED_NOT_PROMOTED
vuj2002_t2_026,2,Al I,3s^2^6d ^2^D_3/2_,3p ^2^P^o^_3/2_,2269.22,0.0,,,,<,0.12,,1.5,,,10.1051/0004-6361:20020560,alphys_I_2269.2210_0294,0.001,MATCHED_NOT_PROMOTED
vuj2002_t2_027,2,Al I,3s^2^6d ^2^D_3/2_,3p ^2^P^o^_3/2_,2269.22,0.0,,,,<,0.12,,1.5,,,10.1051/0004-6361:20020560,alphys_I_2269.2210_0294,0.001,MATCHED_NOT_PROMOTED
vuj2002_t2_028,2,Al I,3s^2^6d ^2^D_5/2_,3p ^2^P^o^_3/2_,2269.096,1.0,7.0,,,<,0.71,,2.5,,,10.1051/0004-6361:20020560,alphys_I_2269.0950_0293,0.001,MATCHED_NOT_PROMOTED
vuj2002_t2_029,2,Al I,3s^2^6d ^2^D_5/2_,3p ^2^P^o^_3/2_,2269.096,1.0,7.0,,,<,0.71,,2.5,,,10.1051/0004-6361:20020560,alphys_I_2269.0950_0293,0.001,MATCHED_NOT_PROMOTED
vuj2002_t3_001,3,Al I,3s3p4s ^4^P^o^1_/2_,2p^2^ ^4^P_1/2_,3059.924,0.01,67.0,,,,,,,,,10.1051/0004-6361:20020560,alphys_I_3059.9240_0326,0.0,MATCHED_NOT_PROMOTED
vuj2002_t3_002,3,Al I,3s3p4s ^4^P^o^1_/2_,2p^2^ ^4^P_3/2_,3064.29,0.14,43.0,,,,,,,,,10.1051/0004-6361:20020560,alphys_I_3064.2900_0327,0.0,MATCHED_NOT_PROMOTED
vuj2002_t3_003,3,Al I,3s3p4s ^4^P^o^3_/2_,2p^2^ ^4^P_1/2_,3054.679,0.02,53.0,,,,,,,,,10.1051/0004-6361:20020560,alphys_I_3054.6790_0323,0.0,MATCHED_NOT_PROMOTED
vuj2002_t3_004,3,Al I,3s3p4s ^4^P^o^3_/2_,2p^2^ ^4^P_3/2_,3059.029,0.01,40.0,,,,,,,,,10.1051/0004-6361:20020560,alphys_I_3059.0300_0325,0.001,MATCHED_NOT_PROMOTED
vuj2002_t3_005,3,Al I,3s3p4s ^4^P^o^3_/2_,2p^2^ ^4^P_5/2_,3066.145,0.14,24.0,,,,,,,,,10.1051/0004-6361:20020560,alphys_I_3066.1440_0328,0.001,MATCHED_NOT_PROMOTED
vuj2002_t3_006,3,Al I,3s3p4s ^4^P^o^5_/2_,2p^2^ ^4^P_3/2_,3050.073,0.41,11.0,,,,,,,,,10.1051/0004-6361:20020560,alphys_I_3050.0720_0322,0.001,MATCHED_NOT_PROMOTED
vuj2002_t3_007,3,Al I,3s3p4s ^4^P^o^5_/2_,2p^2^ ^4^P_5/2_,3057.144,1.0,25.0,,,,,,,,,10.1051/0004-6361:20020560,alphys_I_3057.1440_0324,0.0,MATCHED_NOT_PROMOTED
