band,instrument_reach,CRITICALLY_EVALUATED,FALLBACK,PRIMARY_LABORATORY,THEORETICAL
FUV,,0,32,0,0
H,,0,18,0,0
J,,0,18,0,0
K,,0,29,0,0
K,IGRINS,0,1,0,0
NIR,kpno_solar_atlas,0,18,3,0
NUV,,0,290,0,0
OUTSIDE_CURRENT_INSTRUMENT_REACH,,0,11,2,0
OUTSIDE_CURRENT_INSTRUMENT_REACH,OUTSIDE_CURRENT_REACH,0,0,4,0
VIS,harps|kpno_solar_atlas|delbouille_liege_intensity,0,3,0,0
VIS,harps|kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,2,18,2,1
near-UV,kpno_solar_atlas|delbouille_liege_intensity,0,12,0,0
red-optical,kpno_solar_atlas|iag_fts_solar_atlas|delbouille_liege_intensity,17,24,0,0
