band,CRITICALLY_EVALUATED,FALLBACK,PRIMARY_LABORATORY,THEORETICAL
FUV,0,32,0,0
H,0,18,0,0
J,0,18,0,0
K,0,30,0,0
NIR,0,18,3,0
NUV,0,290,0,0
OUTSIDE_CURRENT_INSTRUMENT_REACH,0,11,6,0
VIS,2,21,2,1
near-UV,0,12,0,0
red-optical,17,24,0,0
