band,species,elgueta_total,gd_robust,assessed_nonrobust,unassessed,implemented_production,implemented_candidate_rejected,gradeable_not_implemented,weak_gf_only,not_reached_unconditioned,unexplained_delta
H,FeI,677,53,73,551,0,0,23,654,677,0
J,FeI,104,21,33,50,0,0,8,96,104,0
Y,FeI,141,0,25,116,5,12,2,134,0,0
Y,FeII,5,0,1,4,0,0,0,5,0,0
