band,species,wavelength_A,lower_ep_eV,elgueta_loggf,gd_depth,gd_saturation,gd_purity,gd_gof,gd_robust,elgueta_status,failure_reasons,canonical_match,canonical_line_id,canonical_grade,canonical_gf_source,gf_sigma_dex,gradeable_currently,in_current_main_rya904,in_recent_rya1054_commit,implementation_artifact,conditioned_spectrum_reaches,coverage_note,gap_class,recommended_next_action
Y,FeI,9970.233,3.017,-4.818, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9977.641,5.064,-1.66, , , , , ,unassessed,,True,gf_167339,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9980.463,5.033,-1.379, , , , , ,unassessed,,True,gf_167340,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9987.868,2.176,-5.452, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9996.061,5.012,-2.155, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeII,9997.598,5.484,-1.867, , , , , ,unassessed,,True,gf_167343,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,9999.924,5.502,-1.421, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10007.281,3.018,-4.66, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10019.793,5.478,-1.455, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10026.08,4.593,-2.516, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10032.859,5.506,-1.718, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10041.472,5.012,-1.772, , , , , ,unassessed,,True,gf_167346,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10048.584,5.478,-1.737, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10049.591,4.58,-3.067, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10057.64,5.033,-1.435, , , , , ,unassessed,,True,gf_167347,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10058.253,2.198,-5.216, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10065.045,4.835,-0.289, , , , , ,unassessed,,True,gf_167350,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10070.52,5.512,-1.934, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10077.174,2.99,-4.274, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10081.393,2.424,-4.537, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10084.435,4.584,-2.552, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10085.071,4.584,-2.128, , , , , ,unassessed,,True,gf_167353,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10086.242,2.949,-4.054, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10089.775,5.446,-1.247, , , , , ,unassessed,,True,gf_167354,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10104.194,5.393,-1.851, , , , , ,unassessed,,False,,,,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
Y,FeI,10114.014,2.759,-3.692, , , , , ,unassessed,,True,gf_167355,VALD3,VALD3,,False,False,False,,True,Y wide derivative exists only on RYA-1054 commit 622c954,ELGUETA_UNASSESSED,preserve_existing
