element,line_A,A_X_lte,red_chi2,sigma_fit,n_pix,status
Cu,5105.537,4.488,8.484,0.01,90,ok
Cu,5218.198,4.328,127.323,0.011,90,ok
Cu,5220.066,4.365,114.589,0.018,90,ok
Cu,5700.237,4.342,109.534,0.014,90,ok
Cu,5782.122,4.103,112.204,0.007,90,ok
V,5727.048,3.887,106.288,0.007,60,ok
V,6039.722,3.95,164.742,0.017,60,ok
V,6081.441,3.936,161.358,1.0,60,ok
V,6090.214,3.905,167.834,0.008,60,ok
V,6251.827,3.928,100.279,0.016,60,ok
V,6531.415,3.876,167.536,0.033,60,ok
