holding,line_A,S0_prod,total_vs_A21,window,molecules,continuum,model_marcs,gf,final_S4,residual,window_alone,molecules_alone,continuum_alone,marcs_alone,continuum_p95,continuum_model_ratio,continuum_bracket_lo,continuum_bracket_hi,dA_per_0p1pct_cont,red_chi2_S0,red_chi2_S4,model_molecular_fraction,model_ni_fraction,model_feature_ew_mA,ni_ew_model_at_7813_mA,ni_ew_model_at_fit_mA,amarsi_ni_ew_I_mA,amarsi_feature_ew_I_mA,our_loggf,amarsi_loggf
IAG,7442.298,8.487,0.674,-0.032,-0.474,-0.443,0.023,-0.002,7.561,-0.25,-0.032,-0.369,-0.332,-0.03,0.9901,0.9902,-0.443,-0.425,0.0305,39.961,168.451,0.5061,0.3399,2.7515,1.6185,0.9351,2.35,3.1,-0.401,-0.403
IAG,8216.336,8.0,0.187,-0.013,-0.041,0.0,-0.017,0.0,7.929,0.116,-0.013,0.196,0.0,-0.033,1.0,1.0008,0.0,0.021,0.029,56.91,297.958,0.0433,0.4518,13.0833,4.6964,5.9112,7.7,7.7,0.138,0.138
IAG,8629.235,8.486,0.673,-0.069,-0.339,-0.127,-0.003,0.0007,7.948,0.1343,-0.069,-0.37,-0.149,-0.21,0.9943,0.9944,-0.127,-0.115,0.0235,51.359,232.298,0.5556,0.4307,7.4785,2.4116,3.2211,4.1,6.2,0.0763,0.077
IAG,8683.403,8.213,0.4,-0.056,-0.111,-0.144,-0.024,0.0001,7.878,0.0649,-0.056,-0.079,-0.158,-0.024,0.9934,0.9936,-0.144,-0.137,0.02,52.328,233.827,0.1448,0.7859,6.7813,4.651,5.3292,7.5,8.65,0.1059,0.106
KP-k05,7442.298,8.365,0.552,-0.087,-0.472,-0.268,0.019,-0.002,7.557,-0.254,-0.087,-0.436,-0.199,-0.04,0.9948,0.9963,-0.268,-0.162,0.042,39.592,202.131,0.5061,0.3399,2.7515,1.6185,0.9351,2.35,3.1,-0.401,-0.403
KP-k05,8216.336,8.176,0.363,-0.007,-0.033,-0.189,-0.02,0.0,7.927,0.114,-0.007,0.171,-0.186,-0.029,0.9922,0.9928,-0.189,-0.171,0.0205,55.593,200.774,0.0433,0.4518,13.0833,4.6964,5.9112,7.7,7.7,0.138,0.138
KP-k05,8629.235,8.479,0.666,-0.071,-0.335,-0.108,0.006,0.0007,7.971,0.1573,-0.071,-0.377,-0.133,-0.018,0.9953,0.995,-0.115,-0.108,0.021,45.744,203.533,0.5568,0.4301,7.7988,2.4116,3.3546,4.1,6.2,0.0763,0.077
KP-k05,8683.403,8.23,0.417,-0.065,-0.105,-0.184,-0.353,0.0001,7.523,-0.2901,-0.065,-0.072,-0.19,-0.034,0.9919,0.9924,-0.184,-0.166,0.019,29.263,168.111,0.1278,0.7378,3.4947,4.651,2.5784,7.5,8.65,0.1059,0.106
KP-mf,7442.298,8.387,0.574,-0.037,-0.543,-0.348,0.026,-0.002,7.485,-0.326,-0.037,-0.417,-0.177,-0.029,0.9947,0.9953,-0.348,-0.294,0.0415,45.511,151.812,0.4925,0.3318,2.4114,1.6185,0.8002,2.35,3.1,-0.401,-0.403
KP-mf,8216.336,7.899,0.086,-0.043,0.003,0.03,-0.028,0.0,7.861,0.048,-0.043,0.249,0.03,-0.06,1.0009,1.001,0.03,0.034,0.029,54.075,192.425,0.0395,0.4219,12.2631,4.6964,5.174,7.7,7.7,0.138,0.138
KP-mf,8629.235,8.39,0.577,-0.072,-0.323,-0.019,-0.003,0.0007,7.973,0.1593,-0.072,-0.361,-0.019,-0.042,0.9991,0.9986,-0.029,-0.019,0.023,28.226,216.364,0.5568,0.4301,7.7988,2.4116,3.3546,4.1,6.2,0.0763,0.077
KP-mf,8683.403,8.188,0.375,-0.055,-0.107,-0.14,-0.018,0.0001,7.868,0.0549,-0.055,-0.076,-0.169,-0.027,0.9939,0.9944,-0.14,-0.127,0.019,49.453,218.808,0.1444,0.785,6.659,4.651,5.2275,7.5,8.65,0.1059,0.106
