wavelength_air_A,ep_eV,log_gf,gf_grade,gf_grade_source,gf_sigma_dex,gf_reference_tag,gf_ref_loggf,gf_delta_dex
8324.1393,5.6207,-1.001,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.024,-0.02300000000000013
8328.9494,5.5869,-0.959,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.993,-0.03400000000000003
8340.5017,5.0674,-1.701,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.721,-0.020000000000000018
8342.2047,2.9488,-3.286,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-3.296,-0.009999999999999787
8342.8563,4.988,-1.468,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.488,-0.020000000000000018
8358.5202,2.9904,-3.145,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-3.151,-0.005999999999999783
8360.7934,4.4733,-1.688,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,GESHRL14,-1.1,0.5879999999999999
8365.6313,3.2515,-2.047,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BK+BWL,-1.997,0.050000000000000044
8382.2382,0.9901,-5.64,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-5.692,-0.05200000000000049
8446.3843,4.988,-1.199,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,2014MNRAS.,-0.92,0.279
8453.6566,5.5392,-1.043,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.135,-0.09200000000000008
8458.9751,4.988,-1.521,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,,,
8468.4059,2.2227,-2.072,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,GESB82c+BW,-2.071,0.0009999999999998899
8471.7428,4.9556,-1.019,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,2014MNRAS.,-0.91,0.10899999999999987
8480.6333,4.988,-1.805,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.818,-0.013000000000000123
8481.9803,4.1864,-1.999,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.988,0.01100000000000012
8515.1084,3.0176,-2.073,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BWL,-2.073,0.0
8517.305,6.1324,-0.259,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,,,
8518.4263,6.1502,-0.245,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,,,
8526.6689,4.913,-0.76,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BWL+GESHRL,-0.59,0.17000000000000004
8527.8522,5.0203,-1.607,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.625,-0.018000000000000016
8559.7378,5.1055,-1.51,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.509,0.001000000000000112
8571.8044,5.0095,-1.391,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,2014MNRAS.,-1.11,0.2809999999999999
8582.2574,2.9904,-2.134,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BWL,-2.133,0.0009999999999998899
8584.7932,5.0095,-1.468,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.466,0.0020000000000000018
8586.2309,5.8741,-0.737,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,,,
8592.9506,4.9556,-1.086,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.066,0.020000000000000018
8598.8187,4.3865,-1.089,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BWL+GESHRL,-1.2,-0.11099999999999999
8607.0802,5.0095,-1.557,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.615,-0.05800000000000005
8611.8031,2.845,-1.926,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BKK+BWL,-1.915,0.010999999999999899
8613.9394,4.988,-1.246,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.247,-0.001000000000000112
8615.3112,5.8279,-0.853,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,,,
8616.2653,4.913,-0.707,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.655,0.051999999999999935
8621.6006,2.9488,-2.321,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BWL,-2.32,0.001000000000000334
8632.4131,4.1034,-2.409,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,2014MNRAS.,-2.32,0.08899999999999997
8652.4802,4.1544,-2.654,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-2.589,0.06499999999999995
8671.8681,5.0203,-1.594,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.633,-0.038999999999999924
8679.632,4.9658,-1.276,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.286,-0.010000000000000009
8689.8579,5.1055,-1.032,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.03,0.0020000000000000018
8698.706,2.9904,-3.442,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-3.452,-0.009999999999999787
8699.454,4.9556,-0.38,GF-LAB,"Ruffoni et al. 2014, MNRAS 441, 3127 (DOI 10.1093/mnras/stu780)",0.02,BWL+2014MN,-0.37,0.010000000000000009
8710.3921,4.913,-0.532,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.541,-0.009000000000000008
8713.1976,2.9488,-1.01,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BKK,-2.467,-1.457
8729.1428,3.4149,-2.872,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-2.871,0.0009999999999998899
8747.4248,3.0176,-3.174,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-3.176,-0.002000000000000224
8755.7495,5.3484,-1.472,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.473,-0.001000000000000112
8757.1868,2.845,-2.059,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BKK+BWL,-2.035,0.02400000000000002
8772.5302,5.9464,-0.599,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,,,
8784.4404,4.9556,-1.593,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,GESHRL14,-1.14,0.45300000000000007
8790.5208,4.988,-0.586,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BWL,-0.586,0.0
8793.3414,4.6076,-0.092,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.092,0.0
8796.4835,4.9556,-1.229,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.275,-0.04599999999999982
8804.6242,2.2786,-3.234,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,GESB82c+BW,-3.231,0.0030000000000001137
8808.1701,5.0095,-1.083,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,GESHRL14,-0.92,0.16299999999999992
8814.508,5.0674,-1.665,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.793,-0.1279999999999999
8834.0162,4.2176,-2.59,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-2.558,0.03200000000000003
8838.4281,2.8581,-2.05,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BKK+BWL,-2.02,0.029999999999999805
8846.7398,5.0095,-0.781,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,GESHRL14,-0.56,0.22099999999999997
8862.0493,5.3574,-0.876,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.869,0.007000000000000006
8863.587,4.9658,-1.519,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.478,0.040999999999999925
8868.4297,3.0176,-2.909,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-2.907,0.0019999999999997797
8876.0059,4.5844,-1.052,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-3.901,-2.8489999999999998
8878.25,2.9904,-3.383,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-3.385,-0.0019999999999997797
8878.7483,4.1909,-2.422,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-2.401,0.02100000000000035
8891.4035,5.3342,-1.104,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.108,-0.0040000000000000036
8920.0267,4.913,-0.415,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-2.241,-1.826
8922.6503,4.9913,-1.698,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.61,0.08799999999999986
8929.0752,5.0856,-0.893,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BK,-0.893,0.0
8931.7756,3.0469,-3.216,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-3.221,-0.004999999999999893
8943.0646,2.8316,-3.346,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-3.471,-0.125
8945.1747,5.0331,-0.22,GF-LAB,"Ruffoni et al. 2014, MNRAS 441, 3127 (DOI 10.1093/mnras/stu780)",0.03,2014MNRAS.,-0.23,-0.010000000000000009
8950.1879,4.1544,-2.425,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-2.411,0.01399999999999979
8975.4007,2.9904,-2.233,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BKK+BWL,-2.229,0.0040000000000000036
8984.886,5.0995,-0.922,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,GESHRL14,-1.22,-0.29799999999999993
8994.6278,3.274,-3.189,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-3.189,0.0
9010.592,2.6085,-2.953,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BWL,-2.953,0.0
9013.9766,2.2786,-3.839,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-3.837,0.0019999999999997797
9019.7443,5.0995,-0.988,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-1.007,-0.018999999999999906
9030.7103,2.845,-3.642,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-3.77,-0.1280000000000001
9070.4161,4.2204,-1.907,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,GESHRL14,-1.76,0.14700000000000002
9084.1836,4.2562,-2.24,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-2.268,-0.02799999999999958
9088.3177,2.845,-1.986,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BKK,-1.986,0.0
9103.6349,4.1777,-1.921,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,2014MNRAS.,-2.19,-0.2689999999999999
9146.1275,2.5881,-2.804,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,BWL,-2.804,0.0
9147.7058,5.3204,-0.803,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-0.808,-0.0050000000000000044
9147.957,5.0638,-0.822,systematic:K07/SCALE-MISMATCH,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,2014MNRAS.,-0.87,-0.04800000000000004
9173.2072,2.6085,-2.581,systematic:K07,no-tie->K07 (RYA-161 semi-empirical Kurucz systematic),0.2,K07,-3.787,-1.206
