dp_id,dp_type,dp_tech
NIRPS.2023-04-29T14:23:21.229,"CONTAM,DARK,FP",ECHELLE
NIRPS.2023-04-29T13:31:31.183,DARK,IMAGE
NIRPS.2023-04-29T13:32:43.636,DARK,IMAGE
NIRPS.2023-04-29T13:33:56.089,DARK,IMAGE
NIRPS.2023-04-29T14:10:59.945,"FLAT,DARK,LAMP",ECHELLE
NIRPS.2023-04-29T14:11:50.105,"FLAT,DARK,LAMP",ECHELLE
NIRPS.2023-04-29T14:12:40.265,"FLAT,DARK,LAMP",ECHELLE
NIRPS.2023-04-29T14:13:30.426,"FLAT,DARK,LAMP",ECHELLE
NIRPS.2023-04-29T14:14:20.586,"FLAT,DARK,LAMP",ECHELLE
NIRPS.2023-04-29T14:15:10.746,"FLAT,DARK,LAMP",ECHELLE
NIRPS.2023-04-29T14:16:00.907,"FLAT,DARK,LAMP",ECHELLE
NIRPS.2023-04-29T14:16:51.067,"FLAT,DARK,LAMP",ECHELLE
NIRPS.2023-04-29T14:17:41.228,"FLAT,DARK,LAMP",ECHELLE
NIRPS.2023-04-29T14:18:31.388,"FLAT,DARK,LAMP",ECHELLE
NIRPS.2023-04-29T14:01:48.171,"FLAT,LAMP,DARK",ECHELLE
NIRPS.2023-04-29T14:02:38.331,"FLAT,LAMP,DARK",ECHELLE
NIRPS.2023-04-29T14:03:28.492,"FLAT,LAMP,DARK",ECHELLE
NIRPS.2023-04-29T14:04:18.652,"FLAT,LAMP,DARK",ECHELLE
NIRPS.2023-04-29T14:05:08.812,"FLAT,LAMP,DARK",ECHELLE
NIRPS.2023-04-29T14:05:58.973,"FLAT,LAMP,DARK",ECHELLE
NIRPS.2023-04-29T14:06:49.133,"FLAT,LAMP,DARK",ECHELLE
NIRPS.2023-04-29T14:07:39.293,"FLAT,LAMP,DARK",ECHELLE
NIRPS.2023-04-29T14:08:29.454,"FLAT,LAMP,DARK",ECHELLE
NIRPS.2023-04-29T14:09:19.614,"FLAT,LAMP,DARK",ECHELLE
NIRPS.2023-04-29T14:20:06.143,"FLAT,LAMP,LAMP",IMAGE
NIRPS.2023-04-29T13:38:01.338,"ORDERDEF,DARK,LAMP",ECHELLE
NIRPS.2023-04-29T13:36:21.008,"ORDERDEF,LAMP,DARK",ECHELLE
NIRPS.2023-04-29T14:50:00.845,"WAVE,FP,FP",ECHELLE
NIRPS.2023-04-29T15:01:54.239,"WAVE,FP,UN1",ECHELLE
NIRPS.2023-04-29T14:51:46.747,"WAVE,UN1,FP",ECHELLE
NIRPS.2023-04-29T15:12:01.732,"WAVE,UN1,UN1",ECHELLE
