wavelength_air_A,flux
8217.1411,0.998479
8217.1509,0.9982
8217.16,0.99739
8217.1698,0.998108
8217.1796,0.999343
8217.1887,0.998652
8217.1985,0.997607
8217.2083,0.998567
8217.218,0.999345
8217.2272,0.998696
8217.2369,0.999177
8217.2467,1.000199
8217.2565,0.99957
8217.2656,0.999099
8217.2754,0.999857
8217.2852,1.000063
8217.2949,0.99967
8217.3041,0.999752
8217.3138,1.000308
8217.3236,1.000921
8217.3328,1.000798
8217.3425,1.000019
8217.3523,1.000081
8217.3621,1.000701
8217.3712,1.000277
8217.381,0.999728
8217.3907,1.000261
8217.4005,1.000377
8217.4097,0.999753
8217.4194,0.999684
8217.4292,0.999496
8217.4384,0.999411
8217.4481,1.000693
8217.4579,1.001154
8217.4677,1.000021
8217.4768,0.999918
8217.4866,1.000367
8217.4963,1.000393
8217.5061,1.000919
8217.5153,1.000663
8217.525,1.00038
8217.5348,1.001664
8217.5446,1.001087
8217.5537,0.998981
8217.5635,0.999738
8217.5732,1.000629
8217.5824,0.999449
8217.5922,0.99968
8217.6019,1.000269
8217.6117,0.999179
8217.6208,0.998537
8217.6306,0.99862
8217.6404,0.998248
8217.6501,0.998078
8217.6593,0.998217
8217.6691,0.998336
8217.6788,0.997855
8217.6886,0.997387
8217.6978,0.997528
8217.7075,0.996995
8217.7173,0.996655
8217.7264,0.997856
8217.7362,0.99715
8217.746,0.994548
8217.7557,0.994391
8217.7649,0.994604
8217.7747,0.994
8217.7844,0.99464
8217.7942,0.99419
8217.8033,0.991762
8217.8131,0.991221
8217.8229,0.991692
8217.8326,0.991367
8217.8418,0.990301
8217.8516,0.988913
8217.8613,0.987339
8217.8705,0.985439
8217.8802,0.984321
8217.89,0.983766
8217.8998,0.981186
8217.9089,0.977798
8217.9187,0.978043
8217.9285,0.976375
8217.9382,0.971273
8217.9474,0.966739
8217.9572,0.963013
8217.9669,0.956991
8217.9767,0.950455
8217.9858,0.938772
8217.9956,0.926635
8218.0054,0.911789
8218.0145,0.885636
8218.0243,0.857515
8218.0341,0.823984
8218.0438,0.776328
8218.053,0.712034
8218.0627,0.650884
8218.0725,0.596966
8218.0823,0.568363
8218.0914,0.590792
8218.1012,0.711177
8218.111,0.925776
8218.1207,1.171401
8218.1299,1.379789
8218.1396,1.491196
8218.1494,1.502854
8218.1586,1.474876
8218.1683,1.41104
8218.1781,1.336287
8218.1879,1.268825
8218.197,1.22428
8218.2068,1.177939
8218.2166,1.140304
8218.2263,1.114326
8218.2355,1.096555
8218.2452,1.080196
8218.255,1.06663
8218.2648,1.054005
8218.2739,1.045337
8218.2837,1.035869
8218.2935,1.026565
8218.3032,1.020449
8218.3124,1.016715
8218.3221,1.011663
