line_air_A,holding,half_width_A,n_pixels,feature_absorption_mA,minimum_flux,geometry,disposition,error
7442.29,solar_iag,0.15,36,5.943541755984236,0.9739047884941101,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
7442.29,solar_iag,0.25,60,9.503143042930118,0.970960259437561,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
7442.29,solar_iag,0.5,120,18.560391828906674,0.9700780510902405,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
7442.29,solar_iag,1.1,264,73.58089773407444,0.741737961769104,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
7442.29,solar_kpno_kurucz2005_corrected,0.15,30,4.570267270308933,0.9787,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
7442.29,solar_kpno_kurucz2005_corrected,0.25,50,7.2770371781541145,0.9779,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
7442.29,solar_kpno_kurucz2005_corrected,0.5,100,14.061207297121248,0.9751,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
7442.29,solar_kpno_kurucz2005_corrected,1.1,221,63.31942094593286,0.7497,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
7442.29,solar_kpno_molecfit_corrected,0.15,30,5.188557499995334,0.97795,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
7442.29,solar_kpno_molecfit_corrected,0.25,50,8.221049999993896,0.97736,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
7442.29,solar_kpno_molecfit_corrected,0.5,99,14.937060499987137,0.97393,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
7442.29,solar_kpno_molecfit_corrected,1.1,219,64.81030350007072,0.74111,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8216.33,solar_iag,0.15,29,7.209552077487616,0.9649186730384827,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8216.33,solar_iag,0.25,49,9.398625735070388,0.9649186730384827,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8216.33,solar_iag,0.5,99,18.134626602631723,0.9396568536758423,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8216.33,solar_iag,1.1,216,38.01317659091732,0.8872961401939392,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8216.33,solar_kpno_kurucz2005_corrected,0.15,30,9.366968395103411,0.9574,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8216.33,solar_kpno_kurucz2005_corrected,0.25,50,12.932504739752222,0.9574,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8216.33,solar_kpno_kurucz2005_corrected,0.5,100,25.45162120637169,0.9333,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8216.33,solar_kpno_kurucz2005_corrected,1.1,220,53.66699546291638,0.8805,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8216.33,solar_kpno_molecfit_corrected,0.15,32,6.363897800001483,0.9678,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8216.33,solar_kpno_molecfit_corrected,0.25,52,8.136592849997818,0.9678,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8216.33,solar_kpno_molecfit_corrected,0.5,104,16.477369699980592,0.942242,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8216.33,solar_kpno_molecfit_corrected,1.1,230,35.02871754999232,0.891203,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8629.23,solar_iag,0.15,27,7.204056879735847,0.967924177646637,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8629.23,solar_iag,0.25,45,10.854519203219034,0.967924177646637,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8629.23,solar_iag,0.5,89,14.907135439029075,0.967924177646637,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8629.23,solar_iag,1.1,196,23.53512718159964,0.967924177646637,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8629.23,solar_kpno_kurucz2005_corrected,0.15,30,7.085083502096947,0.9686,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8629.23,solar_kpno_kurucz2005_corrected,0.25,50,10.68460983903069,0.9686,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8629.23,solar_kpno_kurucz2005_corrected,0.5,100,14.748510563674884,0.9686,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8629.23,solar_kpno_kurucz2005_corrected,1.1,220,22.896806468543595,0.9686,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8629.23,solar_kpno_molecfit_corrected,0.15,28,5.980290499976743,0.97126,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8629.23,solar_kpno_molecfit_corrected,0.25,48,9.208819999991,0.97126,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8629.23,solar_kpno_molecfit_corrected,0.5,94,11.303046999998138,0.97126,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8629.23,solar_kpno_molecfit_corrected,1.1,208,14.948442499998391,0.97126,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8683.4,solar_iag,0.15,27,8.319975006466912,0.96088707447052,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8683.4,solar_iag,0.25,44,10.479025813714452,0.96088707447052,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8683.4,solar_iag,0.5,88,26.525882236340024,0.9116698503494263,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8683.4,solar_iag,1.1,193,40.78021557665268,0.9116698503494263,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8683.4,solar_kpno_kurucz2005_corrected,0.15,30,8.409724959096543,0.9603,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8683.4,solar_kpno_kurucz2005_corrected,0.25,50,10.94403936368617,0.9603,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8683.4,solar_kpno_kurucz2005_corrected,0.5,100,27.35559962822854,0.9126,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8683.4,solar_kpno_kurucz2005_corrected,1.1,220,42.99736813998826,0.9126,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
8683.4,solar_kpno_molecfit_corrected,0.15,28,7.857956000005979,0.96164,disk_integrated_flux,BLENDED_FEATURE_NOT_ATOMIC_EW,
