ion,band,holding,wavelength_air_A,line_A,red_chi2,target_depth,n_in_window,deepest_interloper,deepest_species,deepest_wavelength_A,n_CH_in_window,contaminated,obs_depth,obs_ew_mA,obs_rew
I,VIS,solar_harps_molecfit_corrected,4289.08,7.565,379.945,0.304,71,0.859,Ca I,4289.36673,13,True,0.7778700000000001,204.40316800002805,-1.321876524233284
I,VIS,solar_harps_molecfit_corrected,4372.982,7.609,435.287,0.523,86,0.742,Fe I,4373.5604,15,True,0.40879,130.2764709999604,-1.5259117040658117
I,VIS,solar_harps_molecfit_corrected,4488.906,7.696,50.888,0.571,112,0.669,Fe II,4489.17576,0,True,0.54613,106.71710950015455,-1.6239064575537523
I,VIS,solar_harps_molecfit_corrected,4495.391,7.326,115.339,0.241,41,0.607,Fe I,4495.95244,6,True,0.26091,74.67663950007606,-1.779582705598479
I,VIS,solar_harps_molecfit_corrected,4531.636,7.707,56.596,0.47,68,0.882,Fe I,4531.14768,2,True,0.6222300000000001,79.6980729999993,-1.7548071974148136
I,VIS,solar_harps_molecfit_corrected,4554.451,7.368,70.909,0.376,34,0.913,Ba II,4554.0336,2,True,0.39164,56.00868950000489,-1.910180622891503
I,VIS,solar_harps_molecfit_corrected,4565.662,7.447,33.516,0.565,68,0.686,Cr I,4565.5041,3,True,0.5809599999999999,177.0979450000251,-1.4112902353637926
I,VIS,solar_harps_molecfit_corrected,4574.216,7.726,57.047,0.473,20,0.655,Fe I,4574.71723,0,True,0.45333999999999997,50.55267050001928,-1.9565725660512827
I,VIS,solar_harps_molecfit_corrected,4611.184,7.318,70.613,0.534,35,0.796,Fe I,4611.2786,0,True,0.76695,162.27144950001008,-1.453570336668757
I,VIS,solar_harps_molecfit_corrected,4708.968,7.787,88.049,0.474,73,0.713,Fe I,4709.08757,0,True,0.58752,129.13287099992166,-1.561888932420355
I,VIS,solar_harps_molecfit_corrected,4720.962,7.566,53.485,0.261,73,0.424,Fe I,4721.00033,0,True,0.4829,63.65595999995555,-1.870191432567434
I,VIS,solar_harps_molecfit_corrected,4726.137,7.533,94.183,0.218,18,0.056,Cr I,4725.66267,2,False,0.22028999999999999,38.53000100003821,-2.088707286406512
I,VIS,solar_harps_molecfit_corrected,4741.069,7.719,168.484,0.395,65,0.74,Fe I,4741.52917,1,True,0.38443000000000005,75.4083369999889,-1.7984569126650765
I,VIS,solar_harps_molecfit_corrected,4787.827,7.605,53.655,0.531,23,0.14,Cr I,4787.3025,1,False,0.43144000000000005,49.678824499995194,-1.9839671385070607
I,VIS,solar_harps_molecfit_corrected,4807.708,7.609,57.306,0.509,57,0.3,Fe I,4808.14756,2,True,0.5176000000000001,70.43420399997017,-1.8341544717106577
I,VIS,solar_harps_molecfit_corrected,4860.978,7.81,81.103,0.394,36,0.589,H I,4861.36152,2,True,0.71946,304.48817099971694,-1.2031532300556065
I,VIS,solar_harps_molecfit_corrected,4875.877,7.536,49.609,0.575,89,0.598,V I,4875.44199,2,True,0.59392,81.05978100001687,-1.7792473154018449
I,VIS,solar_harps_molecfit_corrected,4896.439,7.566,20.897,0.343,14,0.052,Mn I,4895.89894,2,False,0.36475,54.83878499998898,-1.9507925243609487
I,VIS,solar_harps_molecfit_corrected,4905.133,7.337,7.832,0.324,31,0.088,Fe I,4905.21822,2,False,0.34006000000000003,45.77235199994454,-2.03004755842777
I,VIS,solar_harps_molecfit_corrected,4907.732,7.386,43.809,0.591,74,0.429,Fe I,4907.32003,5,True,0.59267,80.18622799994824,-1.7867810543476366
I,VIS,solar_harps_molecfit_corrected,4911.529,7.547,32.948,0.136,21,0.508,Ni I,4912.018,10,True,0.27125,63.604869499832084,-1.887726346772028
I,VIS,solar_harps_molecfit_corrected,4911.779,7.659,34.49,0.434,41,0.508,Ni I,4912.018,6,True,0.45084,92.18947849988416,-1.7265574597250808
I,VIS,solar_harps_molecfit_corrected,4933.873,7.375,34.908,0.01,66,0.869,Ba II,4934.0773,6,True,0.51806,188.10326400012403,-1.4187916348038299
I,VIS,solar_harps_molecfit_corrected,4934.084,7.269,27.475,0.413,54,0.869,Ba II,4934.0773,6,True,0.90613,221.36593549996144,-1.3480957477788595
I,VIS,solar_harps_molecfit_corrected,5023.498,7.546,102.714,0.298,37,0.355,Fe I,5023.18529,0,True,0.30788000000000004,46.202641499959554,-2.0363394279164533
I,VIS,solar_harps_molecfit_corrected,5099.077,7.407,69.882,0.568,65,0.771,Fe I,5098.69807,0,True,0.5126,117.68885299995088,-1.6367562399797695
I,VIS,solar_harps_molecfit_corrected,5129.631,7.547,93.395,0.387,51,0.625,Ti II,5129.1562,0,True,0.42718,85.20725950013016,-1.7796095278367599
I,VIS,solar_harps_molecfit_corrected,5285.127,7.601,45.969,0.264,59,0.184,Fe I,5284.60828,0,True,0.27741000000000005,36.45698149995863,-2.1612747198649966
I,VIS,solar_harps_molecfit_corrected,5288.525,7.317,91.261,0.565,27,0.073,Ti I,5288.79432,0,False,0.53896,64.56815299991945,-1.9133161982968732
I,VIS,solar_harps_molecfit_corrected,5373.709,7.515,85.232,0.513,23,0.035,Cr I,5373.70156,0,False,0.5474399999999999,69.83150099998808,-1.886222767457614
I,VIS,solar_harps_molecfit_corrected,5379.574,7.535,86.431,0.555,6,0.037,Fe I,5378.95597,0,False,0.55314,65.5388704999118,-1.914248933472785
I,VIS,solar_harps_molecfit_corrected,5403.822,7.307,82.544,0.567,14,0.729,Fe I,5404.15069,0,True,0.57455,114.55973449968242,-1.6736690366211424
I,VIS,solar_harps_molecfit_corrected,5473.9,7.476,87.922,0.594,43,0.182,Ti I,5474.223,0,False,0.62607,91.07199549997775,-1.7789120066242992
I,VIS,solar_harps_molecfit_corrected,5481.438,7.547,44.212,0.416,83,0.505,Fe I,5481.24267,0,True,0.48621000000000003,120.53081649988347,-1.6577964076415934
I,VIS,solar_harps_molecfit_corrected,5483.099,7.431,88.364,0.442,30,0.448,Co I,5483.30958,0,True,0.42896,68.53323850005981,-1.9031248327044077
I,VIS,solar_harps_molecfit_corrected,5493.499,6.809,128.405,0.302,44,0.52,Fe I,5493.32156,0,True,0.36305,55.571122000044426,-1.9949998843670451
I,VIS,solar_harps_molecfit_corrected,5532.747,7.221,63.238,0.39,30,0.29,Fe I,5532.86558,0,True,0.35682,59.488668000035666,-1.96850656653939
I,VIS,solar_harps_molecfit_corrected,5538.516,7.478,82.232,0.024,35,0.022,Fe I,5538.05465,0,True,0.35374000000000005,43.03872849998143,-2.109533982249112
I,VIS,solar_harps_molecfit_corrected,5554.894,7.349,88.082,0.568,36,0.212,Fe I,5555.12191,0,False,0.61312,103.0034459999524,-1.7318240216773548
I,VIS,solar_harps_molecfit_corrected,5563.6,7.411,87.549,0.536,27,0.355,Fe I,5563.69304,0,True,0.60405,104.14259950003648,-1.7277274845666377
I,VIS,solar_harps_molecfit_corrected,5573.102,7.454,86.449,0.452,36,0.764,Fe I,5572.84201,0,True,0.44816,143.92438500001566,-1.5879626093139092
I,VIS,solar_harps_molecfit_corrected,5602.767,7.561,77.107,0.508,15,0.691,Fe I,5602.94468,0,True,0.71895,205.97104200012834,-1.434596395934591
I,VIS,solar_harps_molecfit_corrected,5618.632,7.393,83.335,0.455,25,0.045,Fe I,5619.22418,0,False,0.45348,56.54496150002753,-1.9972366756085154
I,VIS,solar_harps_molecfit_corrected,5638.262,7.448,93.504,0.548,34,0.075,Ni I,5638.75054,0,False,0.59903,84.28467950001709,-1.825396613185723
I,VIS,solar_harps_molecfit_corrected,5658.532,7.391,98.894,0.518,48,0.699,Fe I,5658.81601,0,True,0.51576,166.45762350037128,-1.5314000862824777
I,VIS,solar_harps_molecfit_corrected,5705.992,7.461,115.58,0.526,25,0.394,Fe I,5705.46388,0,True,0.55775,103.21394449991719,-1.7425927827403147
I,VIS,solar_harps_molecfit_corrected,5712.131,7.362,79.038,0.483,48,0.473,Ni I,5711.893,0,True,0.46487999999999996,98.69974650051797,-1.7624821216056887
I,VIS,solar_harps_molecfit_corrected,5717.833,7.457,86.584,0.467,24,0.047,Ca I,5717.51758,0,False,0.51037,75.17096450002687,-1.881181344218342
I,VIS,solar_harps_molecfit_corrected,5753.122,7.499,87.966,0.563,43,0.149,Si I,5753.62257,0,False,0.60396,92.89559049995766,-1.791908484009088
I,VIS,solar_harps_molecfit_corrected,5775.081,7.512,85.113,0.434,21,0.014,Ti I,5774.66184,0,False,0.5019100000000001,70.1278895000276,-1.9156673109286149
I,VIS,solar_harps_molecfit_corrected,5784.658,7.592,34.663,0.299,28,0.393,Fe I,5785.26991,0,True,0.26652,41.233433499950074,-2.147028187805956
I,VIS,solar_harps_molecfit_corrected,6003.011,7.651,90.228,0.542,50,0.025,V I,6002.6113,0,False,0.58558,90.90784599991906,-1.8197677715917586
I,VIS,solar_harps_molecfit_corrected,6008.556,7.687,92.752,0.565,7,0.479,Fe I,6007.95931,0,True,0.59839,95.66130099998647,-1.7980338301608336
I,VIS,solar_harps_molecfit_corrected,6056.005,7.428,86.833,0.486,5,0.129,Fe I,6055.40153,0,False,0.53007,78.41327699998452,-1.8877966210509585
I,VIS,solar_harps_molecfit_corrected,6141.731,8.011,92.377,0.527,45,0.696,Ba II,6141.7129,0,True,0.76768,123.93889900000352,-1.6950831571630463
I,VIS,solar_harps_molecfit_corrected,6232.64,7.463,86.52,0.551,44,0.048,V I,6233.13283,0,False,0.57228,89.88573950000477,-1.840981246814983
I,VIS,solar_harps_molecfit_corrected,6315.811,7.37,87.875,0.322,14,0.439,Fe I,6315.30547,0,True,0.34797999999999996,46.351307999937546,-2.1343671311872394
I,VIS,solar_harps_molecfit_corrected,6336.823,7.467,91.901,0.595,3,0.015,Fe I,6336.39324,0,False,0.63199,115.03138699991052,-1.7410552202283165
I,VIS,solar_harps_molecfit_corrected,6408.017,7.526,88.069,0.567,48,0.034,Sr I,6408.459,0,False,0.59761,105.350109999925,-1.7840886618219782
I,VIS,solar_harps_molecfit_corrected,6627.544,7.574,81.608,0.171,6,0.005,Cr I,6627.87646,0,False,0.22185,30.392202500029388,-2.3385904454639443
I,VIS,solar_harps_molecfit_corrected,6663.231,7.396,93.023,0.357,8,0.548,Fe I,6663.44069,0,True,0.26514000000000004,90.78593650037134,-1.8656662917023374
I,VIS,solar_harps_molecfit_corrected,6705.101,7.333,83.927,0.239,7,0.018,Fe I,6705.13333,0,False,0.34231,49.88576350003051,-2.128428700615066
I,VIS,solar_harps_molecfit_corrected,6725.356,7.467,81.496,0.125,2,0.001,CN I,6724.76405,0,False,0.14249,19.388476000007223,-2.5401716048268037
I,VIS,solar_harps_molecfit_corrected,6841.339,7.552,71.195,0.406,16,0.159,Mg I,6841.084,0,False,0.44236,76.43869099991089,-1.9518278697643971
I,VIS,solar_harps_molecfit_corrected,6843.655,7.575,95.562,0.379,6,0.003,Cr I,6843.364,0,False,0.42564,65.13859750003644,-2.021449704386142
I,VIS,solar_harps_molecfit_corrected,6855.161,7.616,75.241,0.419,3,0.119,Fe I,6855.7116,0,False,0.48762000000000005,77.61460499987116,-1.9460742074720998
I,VIS,solar_harps_molecfit_corrected,6858.148,7.535,87.326,0.363,6,0.015,Y II,6858.21912,0,False,0.37334,55.24439000005802,-2.093918670503715
I,VIS,solar_kpno_molecfit_corrected,4289.08,7.429,427.251,0.304,71,0.859,Ca I,4289.36673,13,True,0.7778700000000001,204.40316800002805,-1.321876524233284
I,VIS,solar_kpno_molecfit_corrected,4372.982,7.342,331.525,0.523,86,0.742,Fe I,4373.5604,15,True,0.40879,130.2764709999604,-1.5259117040658117
I,VIS,solar_kpno_molecfit_corrected,4488.906,7.397,20.365,0.571,112,0.669,Fe II,4489.17576,0,True,0.54613,106.71710950015455,-1.6239064575537523
I,VIS,solar_kpno_molecfit_corrected,4495.391,6.991,94.775,0.241,41,0.607,Fe I,4495.95244,6,True,0.26091,74.67663950007606,-1.779582705598479
I,VIS,solar_kpno_molecfit_corrected,4531.636,7.44,11.029,0.47,68,0.882,Fe I,4531.14768,2,True,0.6222300000000001,79.6980729999993,-1.7548071974148136
I,VIS,solar_kpno_molecfit_corrected,4554.451,7.296,32.091,0.376,34,0.913,Ba II,4554.0336,2,True,0.39164,56.00868950000489,-1.910180622891503
I,VIS,solar_kpno_molecfit_corrected,4565.662,7.328,12.841,0.565,68,0.686,Cr I,4565.5041,3,True,0.5809599999999999,177.0979450000251,-1.4112902353637926
I,VIS,solar_kpno_molecfit_corrected,4574.216,7.545,6.211,0.473,20,0.655,Fe I,4574.71723,0,True,0.45333999999999997,50.55267050001928,-1.9565725660512827
I,VIS,solar_kpno_molecfit_corrected,4611.184,7.091,41.703,0.534,35,0.796,Fe I,4611.2786,0,True,0.76695,162.27144950001008,-1.453570336668757
I,VIS,solar_kpno_molecfit_corrected,4708.968,7.628,10.489,0.474,73,0.713,Fe I,4709.08757,0,True,0.58752,129.13287099992166,-1.561888932420355
I,VIS,solar_kpno_molecfit_corrected,4720.962,7.423,42.984,0.261,73,0.424,Fe I,4721.00033,0,True,0.4829,63.65595999995555,-1.870191432567434
I,VIS,solar_kpno_molecfit_corrected,4726.137,7.285,7.743,0.218,18,0.056,Cr I,4725.66267,2,False,0.22028999999999999,38.53000100003821,-2.088707286406512
I,VIS,solar_kpno_molecfit_corrected,4741.069,7.461,118.053,0.395,65,0.74,Fe I,4741.52917,1,True,0.38443000000000005,75.4083369999889,-1.7984569126650765
I,VIS,solar_kpno_molecfit_corrected,4787.827,7.549,5.215,0.531,23,0.14,Cr I,4787.3025,1,False,0.43144000000000005,49.678824499995194,-1.9839671385070607
I,VIS,solar_kpno_molecfit_corrected,4807.708,7.557,3.39,0.509,57,0.3,Fe I,4808.14756,2,True,0.5176000000000001,70.43420399997017,-1.8341544717106577
I,VIS,solar_kpno_molecfit_corrected,4860.978,7.837,85.002,0.394,36,0.589,H I,4861.36152,2,True,0.71946,304.48817099971694,-1.2031532300556065
I,VIS,solar_kpno_molecfit_corrected,4875.877,7.528,31.807,0.575,89,0.598,V I,4875.44199,2,True,0.59392,81.05978100001687,-1.7792473154018449
I,VIS,solar_kpno_molecfit_corrected,4896.439,7.553,9.188,0.343,14,0.052,Mn I,4895.89894,2,False,0.36475,54.83878499998898,-1.9507925243609487
I,VIS,solar_kpno_molecfit_corrected,4905.133,7.287,2.986,0.324,31,0.088,Fe I,4905.21822,2,False,0.34006000000000003,45.77235199994454,-2.03004755842777
I,VIS,solar_kpno_molecfit_corrected,4907.732,7.349,45.397,0.591,74,0.429,Fe I,4907.32003,5,True,0.59267,80.18622799994824,-1.7867810543476366
I,VIS,solar_kpno_molecfit_corrected,4911.529,7.609,50.047,0.136,21,0.508,Ni I,4912.018,10,True,0.27125,63.604869499832084,-1.887726346772028
I,VIS,solar_kpno_molecfit_corrected,4911.779,7.615,11.355,0.434,41,0.508,Ni I,4912.018,6,True,0.45084,92.18947849988416,-1.7265574597250808
I,VIS,solar_kpno_molecfit_corrected,4933.873,7.376,25.578,0.01,66,0.869,Ba II,4934.0773,6,True,0.51806,188.10326400012403,-1.4187916348038299
I,VIS,solar_kpno_molecfit_corrected,4934.084,7.312,33.549,0.413,54,0.869,Ba II,4934.0773,6,True,0.90613,221.36593549996144,-1.3480957477788595
I,VIS,solar_kpno_molecfit_corrected,5023.498,7.547,36.14,0.298,37,0.355,Fe I,5023.18529,0,True,0.30788000000000004,46.202641499959554,-2.0363394279164533
I,VIS,solar_kpno_molecfit_corrected,5099.077,7.441,72.302,0.568,65,0.771,Fe I,5098.69807,0,True,0.5126,117.68885299995088,-1.6367562399797695
I,VIS,solar_kpno_molecfit_corrected,5129.631,7.592,55.694,0.387,51,0.625,Ti II,5129.1562,0,True,0.42718,85.20725950013016,-1.7796095278367599
I,VIS,solar_kpno_molecfit_corrected,5285.127,7.621,54.809,0.264,59,0.184,Fe I,5284.60828,0,True,0.27741000000000005,36.45698149995863,-2.1612747198649966
I,VIS,solar_kpno_molecfit_corrected,5288.525,7.344,59.897,0.565,27,0.073,Ti I,5288.79432,0,False,0.53896,64.56815299991945,-1.9133161982968732
I,VIS,solar_kpno_molecfit_corrected,5373.709,7.416,58.598,0.513,23,0.035,Cr I,5373.70156,0,False,0.5474399999999999,69.83150099998808,-1.886222767457614
I,VIS,solar_kpno_molecfit_corrected,5379.574,7.444,60.387,0.555,6,0.037,Fe I,5378.95597,0,False,0.55314,65.5388704999118,-1.914248933472785
I,VIS,solar_kpno_molecfit_corrected,5403.822,7.265,135.852,0.567,14,0.729,Fe I,5404.15069,0,True,0.57455,114.55973449968242,-1.6736690366211424
