ion,band,holding,wavelength_air_A,line_A,red_chi2,target_depth,n_in_window,deepest_interloper,deepest_species,deepest_wavelength_A,n_CH_in_window,contaminated,obs_depth,obs_ew_mA,obs_rew
II,VIS,solar_kpno_kurucz2005_corrected,4522.628,,72.767,0.801,75,0.771,Ti I,4522.797,2,True,0.77409,199.61415300002753,-1.3551995368665557
II,VIS,solar_kpno_kurucz2005_corrected,4549.466,,46.413,0.801,65,0.873,Ti II,4549.6217,3,True,0.78644,254.88151099983665,-1.2516220906516797
II,VIS,solar_kpno_kurucz2005_corrected,4583.829,7.185,40.236,0.818,30,0.598,Fe I,4583.71925,0,True,0.79529,159.6689919999944,-1.4580078243090986
II,VIS,solar_kpno_kurucz2005_corrected,4233.162,7.477,97.395,0.869,61,0.918,Fe I,4233.60205,5,True,0.83205,191.66273950003261,-1.3441271975490552
II,VIS,solar_kpno_kurucz2005_corrected,4351.762,7.071,64.393,0.886,56,0.888,Cr I,4351.811,18,True,0.86051,331.56168450004463,-1.1181007981571496
II,VIS,solar_kpno_kurucz2005_corrected,4385.377,8.4,159.644,0.742,120,0.795,Cr I,4384.9751,14,True,0.74512,206.4194114998948,-1.327256398981323
II,VIS,solar_kpno_kurucz2005_corrected,4416.819,7.546,62.026,0.776,115,0.548,Ti I,4417.2734,4,True,0.7346900000000001,109.76376449991758,-1.6046506090101225
II,VIS,solar_kpno_kurucz2005_corrected,4508.28,7.588,15.544,0.775,20,0.27,Fe I,4508.68469,2,False,0.75397,99.71181199993035,-1.6552642728614213
II,VIS,solar_kpno_kurucz2005_corrected,4522.628,7.991,72.956,0.801,75,0.771,Ti I,4522.797,2,True,0.77409,199.61415300002753,-1.3551995368665557
II,VIS,solar_kpno_kurucz2005_corrected,4549.466,7.678,46.525,0.801,65,0.873,Ti II,4549.6217,3,True,0.78644,254.88151099983665,-1.2516220906516797
II,VIS,solar_kpno_kurucz2005_corrected,4583.829,7.178,39.204,0.818,30,0.598,Fe I,4583.71925,0,True,0.79529,159.6689919999944,-1.4580078243090986
II,VIS,solar_kpno_molecfit_corrected,4233.162,7.46,122.028,0.869,61,0.918,Fe I,4233.60205,5,True,0.83205,191.66273950003261,-1.3441271975490552
II,VIS,solar_kpno_molecfit_corrected,4351.762,7.08,67.37,0.886,56,0.888,Cr I,4351.811,18,True,0.86051,331.56168450004463,-1.1181007981571496
II,VIS,solar_kpno_molecfit_corrected,4385.377,8.33,181.024,0.742,120,0.795,Cr I,4384.9751,14,True,0.74512,206.4194114998948,-1.327256398981323
II,VIS,solar_kpno_molecfit_corrected,4416.819,7.552,28.031,0.776,115,0.548,Ti I,4417.2734,4,True,0.7346900000000001,109.76376449991758,-1.6046506090101225
II,VIS,solar_kpno_molecfit_corrected,4508.28,7.568,16.863,0.775,20,0.27,Fe I,4508.68469,2,False,0.75397,99.71181199993035,-1.6552642728614213
II,VIS,solar_kpno_molecfit_corrected,4522.628,7.928,77.04,0.801,75,0.771,Ti I,4522.797,2,True,0.77409,199.61415300002753,-1.3551995368665557
II,VIS,solar_kpno_molecfit_corrected,4549.466,7.68,41.983,0.801,65,0.873,Ti II,4549.6217,3,True,0.78644,254.88151099983665,-1.2516220906516797
II,VIS,solar_kpno_molecfit_corrected,4583.829,7.198,39.324,0.818,30,0.598,Fe I,4583.71925,0,True,0.79529,159.6689919999944,-1.4580078243090986
II,VIS,solar_kpno_molecfit_corrected,4233.162,7.458,122.028,0.869,61,0.918,Fe I,4233.60205,5,True,0.83205,191.66273950003261,-1.3441271975490552
II,VIS,solar_kpno_molecfit_corrected,4351.762,,67.37,0.886,56,0.888,Cr I,4351.811,18,True,0.86051,331.56168450004463,-1.1181007981571496
II,VIS,solar_kpno_molecfit_corrected,4385.377,,181.024,0.742,120,0.795,Cr I,4384.9751,14,True,0.74512,206.4194114998948,-1.327256398981323
II,VIS,solar_kpno_molecfit_corrected,4416.819,,28.031,0.776,115,0.548,Ti I,4417.2734,4,True,0.7346900000000001,109.76376449991758,-1.6046506090101225
II,VIS,solar_kpno_molecfit_corrected,4508.28,,16.863,0.775,20,0.27,Fe I,4508.68469,2,False,0.75397,99.71181199993035,-1.6552642728614213
II,VIS,solar_kpno_molecfit_corrected,4522.628,,77.04,0.801,75,0.771,Ti I,4522.797,2,True,0.77409,199.61415300002753,-1.3551995368665557
II,VIS,solar_kpno_molecfit_corrected,4549.466,,41.983,0.801,65,0.873,Ti II,4549.6217,3,True,0.78644,254.88151099983665,-1.2516220906516797
II,VIS,solar_kpno_molecfit_corrected,4583.829,7.197,39.324,0.818,30,0.598,Fe I,4583.71925,0,True,0.79529,159.6689919999944,-1.4580078243090986
II,VIS,solar_kpno_molecfit_corrected,4233.162,7.472,122.686,0.869,61,0.918,Fe I,4233.60205,5,True,0.83205,191.66273950003261,-1.3441271975490552
II,VIS,solar_kpno_molecfit_corrected,4351.762,7.084,68.235,0.886,56,0.888,Cr I,4351.811,18,True,0.86051,331.56168450004463,-1.1181007981571496
II,VIS,solar_kpno_molecfit_corrected,4385.377,8.366,182.67,0.742,120,0.795,Cr I,4384.9751,14,True,0.74512,206.4194114998948,-1.327256398981323
II,VIS,solar_kpno_molecfit_corrected,4416.819,7.551,29.014,0.776,115,0.548,Ti I,4417.2734,4,True,0.7346900000000001,109.76376449991758,-1.6046506090101225
II,VIS,solar_kpno_molecfit_corrected,4508.28,7.56,16.931,0.775,20,0.27,Fe I,4508.68469,2,False,0.75397,99.71181199993035,-1.6552642728614213
II,VIS,solar_kpno_molecfit_corrected,4522.628,7.931,77.229,0.801,75,0.771,Ti I,4522.797,2,True,0.77409,199.61415300002753,-1.3551995368665557
II,VIS,solar_kpno_molecfit_corrected,4549.466,7.67,42.08,0.801,65,0.873,Ti II,4549.6217,3,True,0.78644,254.88151099983665,-1.2516220906516797
II,VIS,solar_kpno_molecfit_corrected,4583.829,7.176,38.184,0.818,30,0.598,Fe I,4583.71925,0,True,0.79529,159.6689919999944,-1.4580078243090986
II,near-UV,solar_kpno_kurucz2005_corrected,3002.644,7.47,33.97,0.992,116,0.995,Ni I,3002.485,0,True,0.93316,414.23385549976274,-0.8602582532824417
II,near-UV,solar_kpno_kurucz2005_corrected,3170.337,7.758,222.585,0.966,89,0.85,Fe I,3170.13013,4,True,0.90793,223.820462000104,-1.1512056413843528
II,near-UV,solar_kpno_kurucz2005_corrected,3183.114,7.599,123.186,0.975,150,0.951,Fe I,3182.97096,5,True,0.90758,367.82094149953747,-0.9372157410091886
II,near-UV,solar_kpno_kurucz2005_corrected,3186.737,7.709,76.104,0.981,101,0.968,Ti I,3186.4508,7,True,0.921,290.6453054999557,-1.0399829101915365
II,near-UV,solar_kpno_kurucz2005_corrected,3192.909,7.674,86.086,0.977,134,0.991,Fe I,3193.22566,3,True,0.9426,363.36797899986504,-0.9438398876215993
II,near-UV,solar_kpno_kurucz2005_corrected,3193.799,7.79,72.826,0.98,159,0.991,Fe I,3193.22566,1,True,0.92497,276.66411550021206,-1.0623547476036537
II,near-UV,solar_kpno_kurucz2005_corrected,3196.07,7.826,47.229,0.982,94,0.962,Ni I,3195.572,0,True,0.91428,303.6869089999882,-1.0221902113850008
II,near-UV,solar_kpno_kurucz2005_corrected,3210.444,7.491,64.333,0.979,94,0.975,Fe I,3210.82874,0,True,0.91784,337.5889084999548,-0.9781769294678162
II,near-UV,solar_kpno_kurucz2005_corrected,3213.309,7.636,77.627,0.985,61,0.951,Ti II,3213.1214,1,True,0.92188,367.6853700002083,-0.9414761405534815
II,near-UV,solar_kpno_kurucz2005_corrected,3227.742,7.382,30.912,0.987,86,0.977,Fe I,3227.79517,0,True,0.9338299999999999,362.7841344998598,-0.9492505274253298
II,near-UV,solar_kpno_kurucz2005_corrected,3255.887,7.466,41.454,0.981,77,0.917,Mn I,3256.12753,0,True,0.8613500000000001,226.1497484998406,-1.1582732145910748
II,near-UV,solar_kpno_kurucz2005_corrected,3277.348,7.228,36.173,0.981,154,0.946,Ti II,3276.7718,0,True,0.8466400000000001,229.5257614999231,-1.1546911217723204
II,near-UV,solar_kpno_kurucz2005_corrected,3002.644,,33.97,0.992,116,0.995,Ni I,3002.485,0,True,0.93316,414.23385549976274,-0.8602582532824417
II,near-UV,solar_kpno_kurucz2005_corrected,3170.337,7.757,222.585,0.966,89,0.85,Fe I,3170.13013,4,True,0.90793,223.820462000104,-1.1512056413843528
II,near-UV,solar_kpno_kurucz2005_corrected,3183.114,7.598,123.186,0.975,150,0.951,Fe I,3182.97096,5,True,0.90758,367.82094149953747,-0.9372157410091886
II,near-UV,solar_kpno_kurucz2005_corrected,3186.737,7.707999999999999,76.104,0.981,101,0.968,Ti I,3186.4508,7,True,0.921,290.6453054999557,-1.0399829101915365
II,near-UV,solar_kpno_kurucz2005_corrected,3192.909,,86.086,0.977,134,0.991,Fe I,3193.22566,3,True,0.9426,363.36797899986504,-0.9438398876215993
