element,ion,band,holding,tier,route,treatment,line_set,A,n_lines,perline_reachable,resolution,perline_artifact
Fe,I,VIS,solar_harps_molecfit_corrected,GRADED,PROFILEFIT,ENGINE-B,,7.431,5,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe,I,VIS,solar_harps_molecfit_corrected,GRADED,SYNTH,1D-LTE,,7.511,67,True,resolved,FeI_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_GRADED_1D-LTE_lines.csv
Fe,I,VIS,solar_harps_molecfit_corrected,GRADED,SYNTH,ENGINE-A-3DNLTE,,7.5124,50,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe,I,VIS,solar_harps_molecfit_corrected,GRADED,SYNTH,ENGINE-A,,7.504,61,True,resolved,FeI_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_GRADED_ENGINE-A_lines.csv
Fe,I,VIS,solar_harps_molecfit_corrected,GRADED,SYNTH,ENGINE-B-NLTE,,7.545,67,True,resolved,FeI_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_GRADED_ENGINE-B-NLTE_lines.csv
Fe,I,VIS,solar_harps_molecfit_corrected,GRADED,SYNTH,synth-1D-LTE-gerber,,7.509,67,True,resolved,FeI_4200_6908_harps_solar_harps_molecfit_corrected_SYNTH_GRADED_synth-1D-LTE-gerber_lines.csv
Fe,I,VIS,solar_iag,ALL,SYNTH,ENGINE-A-3DNLTE,asplund,7.5039,21,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe,I,VIS,solar_iag,DEEPGRADED,SYNTH,1D-LTE,,7.416,41,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe,I,VIS,solar_iag,DEEPGRADED,SYNTH,ENGINE-A,,7.422,37,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe,I,VIS,solar_iag,GRADED,PROFILEFIT,1D-LTE,,7.498,5,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe,I,VIS,solar_iag,GRADED,PROFILEFIT,ENGINE-A,,7.481,4,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe,I,VIS,solar_iag,GRADED,SYNTH,1D-LTE,,7.494,43,True,resolved,FeI_5002_6910_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_1D-LTE_lines.csv
Fe,I,VIS,solar_iag,GRADED,SYNTH,ENGINE-A-3DNLTE,,7.5429,39,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe,I,VIS,solar_iag,GRADED,SYNTH,ENGINE-A,,7.48,37,True,resolved,FeI_5002_6910_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_ENGINE-A_lines.csv
Fe,I,VIS,solar_iag,GRADED,SYNTH,ENGINE-B-NLTE,,7.549,43,True,resolved,FeI_5002_6910_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_ENGINE-B-NLTE_lines.csv
Fe,I,VIS,solar_iag,GRADED,SYNTH,synth-1D-LTE-gerber,,7.492,43,True,resolved,FeI_5002_6910_iag_fts_solar_atlas_solar_iag_SYNTH_GRADED_synth-1D-LTE-gerber_lines.csv
Fe,I,VIS,solar_kpno_kurucz2005_corrected,ALL,SYNTH,ENGINE-A-3DNLTE,asplund,7.4713,21,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe,I,VIS,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,1D-LTE,,7.421,108,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe,I,VIS,solar_kpno_kurucz2005_corrected,DEEPGRADED,SYNTH,ENGINE-A,,7.431,104,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe,I,VIS,solar_kpno_kurucz2005_corrected,GRADED,PROFILEFIT,1D-LTE,,7.445,13,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe,I,VIS,solar_kpno_kurucz2005_corrected,GRADED,PROFILEFIT,ENGINE-A,,7.455,12,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe,I,VIS,solar_kpno_kurucz2005_corrected,GRADED,PROFILEFIT,ENGINE-B,,7.479,9,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe,I,VIS,solar_kpno_kurucz2005_corrected,GRADED,SYNTH,1D-LTE,,7.442,67,True,resolved,FeI_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_1D-LTE_lines.csv
Fe,I,VIS,solar_kpno_kurucz2005_corrected,GRADED,SYNTH,ENGINE-A-3DNLTE,,7.5046,50,False,no artifact on disk (band_products is gitignored; only force-added files are present),
Fe,I,VIS,solar_kpno_kurucz2005_corrected,GRADED,SYNTH,ENGINE-A,,7.448,61,True,resolved,FeI_4200_6910_kpno_solar_atlas_solar_kpno_kurucz2005_corrected_SYNTH_GRADED_ENGINE-A_lines.csv
