element,ion,wavelength_air_A,instrument,ew_mA,ew_method,abundance,rew,treatment,in_aggregate,excluded_reason,problem_class,problem_status,problem_tickets,problem_action,ep_eV,ew_inversion,sigma_A,frac_rise_weaker,edge_distance_dex,red_chi2
Fe,II,5256.9319,kpno_solar_atlas,26.198271904019546,"PROFILE-FIT (voigt); gap 0.659 A; model integrated; chi2_red=5.405e-05; sigma_fit=0.0237 A (init 0.0301, floor 0.0045); ew_err=6.88 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0524",7.6298828125,-5.302459705823781,1D-LTE,True,,,,,,2.891,True,,,,
Fe,II,5337.722,kpno_solar_atlas,42.13254722212736,"PROFILE-FIT (voigt); gap 0.061 A; model integrated; chi2_red=0.0005613; sigma_fit=0.0393 A (init 0.0306, floor 0.0045); ew_err=17.80 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0532",8.04296875,-5.102738234839426,1D-LTE,True,,,,,,3.2305,True,,,,
Fe,II,5991.3709,kpno_solar_atlas,40.26434854171311,"PROFILE-FIT (voigt); gap 0.386 A; model integrated; chi2_red=0.0008041; sigma_fit=0.0174 A (init 0.0344, floor 0.0051); ew_err=2.56 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0596",7.5859375,-5.172605528921661,1D-LTE,False,"REGISTRY-ASTROPHYSICAL_GF: exclude/active per data/registry/problem_children.csv [877,852,161,844] — carried, not dropped (RYA-711)",ASTROPHYSICAL_GF,active,"877,852,161,844",exclude,3.1528,True,,,,
Fe,II,6084.1017,kpno_solar_atlas,24.80350818212113,"PROFILE-FIT (voigt); gap 1.124 A; model integrated; chi2_red=5.039e-05; sigma_fit=0.0309 A (init 0.0349, floor 0.0052); ew_err=9.10 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0608",7.48046875,-5.389683353650971,1D-LTE,True,,,,,,3.1995,True,,,,
Fe,II,6147.7341,kpno_solar_atlas,76.84517074304836,"PROFILE-FIT (voigt); gap 0.100 A; model integrated; chi2_red=0.0002368; sigma_fit=0.0792 A (init 0.0353, floor 0.0052); ew_err=1.61 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0612",7.515625,-4.90309849535949,1D-LTE,True,,,,,,3.8887,True,,,,
Fe,II,6149.2459,kpno_solar_atlas,41.40451834910289,"PROFILE-FIT (voigt); gap 0.945 A; model integrated; chi2_red=0.0001107; sigma_fit=0.0359 A (init 0.0353, floor 0.0052); ew_err=2.34 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0612",7.568359375,-5.171774123296582,1D-LTE,True,,,,,,3.8892,True,,,,
Fe,II,6238.3859,kpno_solar_atlas,52.16916665635858,"PROFILE-FIT (voigt); gap 0.100 A; model integrated; chi2_red=3.068e-05; sigma_fit=0.0334 A (init 0.0358, floor 0.0053); ew_err=11.99 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0620",7.7265625,-5.077658336839724,1D-LTE,True,,,,,,3.8887,True,,,,
Fe,II,6247.557,kpno_solar_atlas,62.512053291544895,"PROFILE-FIT (voigt); gap 1.914 A; model integrated; chi2_red=8.003e-05; sigma_fit=0.0329 A (init 0.0358, floor 0.0053); ew_err=12.33 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0624",7.4453125,-4.999746463013979,1D-LTE,True,,,,,,3.8916,True,,,,
Fe,II,6369.459,kpno_solar_atlas,23.70452818209197,"PROFILE-FIT (voigt); gap 0.243 A; model integrated; chi2_red=3.57e-05; sigma_fit=0.0289 A (init 0.0365, floor 0.0054); ew_err=2.92 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0636",7.3134765625,-5.429271230929108,1D-LTE,True,,,,,,2.891,True,,,,
Fe,II,6432.6757,kpno_solar_atlas,46.30705470872915,"PROFILE-FIT (voigt); gap 2.328 A; model integrated; chi2_red=4.087e-05; sigma_fit=0.0398 A (init 0.0369, floor 0.0055); ew_err=2.89 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0640",7.498046875,-5.142744498003433,1D-LTE,True,,,,,,2.891,True,,,,
Fe,II,6456.3796,kpno_solar_atlas,72.54630343921195,"PROFILE-FIT (voigt); gap 0.782 A; model integrated; chi2_red=0.0008842; sigma_fit=0.0376 A (init 0.0370, floor 0.0055); ew_err=13.45 mA; continuum linear anchors at +/-1.2 A; segment(s) lm0644",7.62109375,-4.949373768539466,1D-LTE,True,,,,,,3.9034,True,,,,
