source_species,species,element,ion_or_molecule,atomic_or_molecular,wavelength_air_A,wavelength_system,excitation_potential_eV,loggf_used,band,crires_setup,stated_gf_source,traced_primary_source,gf_grade,gf_sigma,hfs_isotope_flag,diagnostic_role,source_ref,canonical_match_status,canonical_line_id,canonical_loggf,canonical_gf_tier,canonical_gf_source,delta_loggf,promotion_allowed,action,al_classification,route_to
Al I,Al I,Al,I,atomic,16718.957,air,4.085,0.152,H,H1582,VALD3,UNTRACED_BEYOND_VALD3,VALD3_FALLBACK,,HFS_REQUIRED,atomic abundance line,10.3847/1538-4357/ae7de8,PHYSICAL_KEY_UNIQUE,gf_174435,0.15218390379708127,OTHER,WSM,-0.000184,False,TRACE_PRIMARY_GF_BEFORE_PROMOTION,ALREADY_COVERED,RYA-716;RYA-1001
Al I,Al I,Al,I,atomic,16750.564,air,4.087,0.408,H,H1582,VALD3,UNTRACED_BEYOND_VALD3,VALD3_FALLBACK,,HFS_REQUIRED,atomic abundance line,10.3847/1538-4357/ae7de8,PHYSICAL_KEY_UNIQUE,gf_174469,0.408020695338496,OTHER,WSM,-2.1e-05,False,TRACE_PRIMARY_GF_BEFORE_PROMOTION,ALREADY_COVERED,RYA-716;RYA-1001
Al I,Al I,Al,I,atomic,16763.36,air,4.087,-0.55,H,H1582,VALD3,UNTRACED_BEYOND_VALD3,VALD3_FALLBACK,,HFS_REQUIRED,atomic abundance line,10.3847/1538-4357/ae7de8,PHYSICAL_KEY_UNIQUE,gf_174480,-0.5499563523620887,OTHER,WSM,-4.4e-05,False,TRACE_PRIMARY_GF_BEFORE_PROMOTION,ALREADY_COVERED,RYA-716;RYA-1001
Al I,Al I,Al,I,atomic,17699.094,air,4.673,-1.162,H,H1582,VALD3,UNTRACED_BEYOND_VALD3,VALD3_FALLBACK,,HFS_REQUIRED,atomic abundance line,10.3847/1538-4357/ae7de8,PHYSICAL_KEY_UNIQUE,gf_175321,-1.1618160962029187,KURUCZ,K75,-0.000184,False,TRACE_PRIMARY_GF_BEFORE_PROMOTION,ALREADY_COVERED,RYA-716;RYA-1001
Al I,Al I,Al,I,atomic,22700.868,air,4.827,-1.673,K,K2166,VALD3,UNTRACED_BEYOND_VALD3,VALD3_FALLBACK,,HFS_REQUIRED,atomic abundance line,10.3847/1538-4357/ae7de8,PHYSICAL_KEY_UNIQUE,gf_178454,-2.275030946537802,KURUCZ,K75,0.602031,False,TRACE_PRIMARY_GF_BEFORE_PROMOTION,ALREADY_COVERED,RYA-716;RYA-1001
