species,band,chiappino_lines,canonical_unique_matches,new_candidate_transitions,primary_lab_gradeable_now,weaker_source_only,current_crires_holding_path,telluric_risk
Al I,H,4,4,0,0,4,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
Al I,K,1,1,0,0,1,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
C I,H,3,3,0,0,3,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
C12O,H,46,0,0,0,0,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
C12O,K,17,0,0,0,0,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
C13O,H,6,0,0,0,0,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
C13O,K,15,0,0,0,0,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
CN,H,15,0,0,0,0,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
CN,K,46,0,0,0,0,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
Ca I,H,3,3,0,0,3,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
Ca I,J,6,6,0,0,6,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
Ca I,K,5,5,0,0,5,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
Co I,H,2,2,0,0,2,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
Cr I,H,4,4,0,0,4,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
Cu I,H,2,2,0,0,2,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
Fe I,H,31,31,0,0,31,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
Fe I,K,18,18,0,0,18,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
Mg I,H,3,2,1,0,3,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
Mg I,J,2,2,0,0,2,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
Mg I,K,1,1,0,0,1,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
Na I,H,2,2,0,0,2,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
Na I,J,1,0,1,0,1,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
Na I,K,2,2,0,0,2,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
Nd II,H,2,0,2,0,2,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
Ni I,H,4,4,0,0,4,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
OH,H,16,0,0,0,0,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
OH,K,5,0,0,0,0,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
S I,H,2,2,0,0,2,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
S I,K,8,8,0,0,8,alpha_cen_a_crires_plus;alpha_cen_b_crires_plus,REQUIRES_PER_SPECTRUM_VERIFICATION
