line_id,physical_id,key_z,ion,species,wavelength_air_A,excitation_potential_eV,hfs_n_components,log_gf,loggf_reference,nist_grade,seed_source,adjudication_status,gf_synth_ges,gf_regions_vald,gf_linelist_vald,in_synth,in_regions,in_linelist,delta_synth_minus_ew,lab_source_tag,gf_sigma_dex,gf_source_doi,is_diagnostic,gf_tier,diagnostic_excluded_by_registry
gf_002972,pk_a1fa54f8b9e0,C2,,C2,4563.1071,1.1403,1,-0.148,VALD3,,linelist(VALD3),single_source,,,-0.148,False,False,True,,,,,False,VALD3,False
gf_002973,pk_c3617a620e61,C2,,C2,4566.3577,1.1124,1,0.15,VALD3,,linelist(VALD3),single_source,,,0.15,False,False,True,,,,,False,VALD3,False
gf_002974,pk_5ed8028fb5ac,C2,,C2,4570.1532,1.0843,1,0.3231,VALD3,,linelist(VALD3),single_source,,,0.3231,False,False,True,,,,,False,VALD3,False
gf_002975,pk_0e797cf7f388,C2,,C2,4573.3835,1.0572,1,0.3161,VALD3,,linelist(VALD3),single_source,,,0.3161,False,False,True,,,,,False,VALD3,False
gf_002976,pk_051a4ef54f82,C2,,C2,4577.1324,1.0297,1,0.3101,VALD3,,linelist(VALD3),single_source,,,0.3101,False,False,True,,,,,False,VALD3,False
gf_002977,pk_2230e2cf7489,C2,,C2,4580.3136,1.0033,1,0.3035,VALD3,,linelist(VALD3),single_source,,,0.3035,False,False,True,,,,,False,VALD3,False
gf_002978,pk_20f56267c820,C2,,C2,4583.9906,0.9766,1,0.2968,VALD3,,linelist(VALD3),single_source,,,0.2968,False,False,True,,,,,False,VALD3,False
gf_002979,pk_28b6488e875c,C2,,C2,4587.1219,0.9509,1,0.2898,VALD3,,linelist(VALD3),single_source,,,0.2898,False,False,True,,,,,False,VALD3,False
gf_002980,pk_ac1476100a48,C2,,C2,4590.7259,0.9249,1,0.2832,VALD3,,linelist(VALD3),single_source,,,0.2832,False,False,True,,,,,False,VALD3,False
gf_002981,pk_49e11d97b7eb,C2,,C2,4592.0122,1.2211,1,-0.116,VALD3,,linelist(VALD3),single_source,,,-0.116,False,False,True,,,,,False,VALD3,False
