treatment,wavelength_air_A,abundance,frac_rise_weaker,sigma_A,edge_distance_dex,red_chi2,excluded_reason,_src,cell,deck
1D-LTE,12638.703,12.486,-1.946181874487583e-05,0.44792032046284863,0.01008168044108082,392.146,"NON-MINIMUM: chi2 at a bracket end is not above the reported minimum (frac_rise = -1.95e-05 <= 0), so the optimizer returned a point that is not a minimum and the fit did not determine A(X). A correctness failure, not a quality threshold. Measured and retained; excluded from the aggregate only (RYA-711).",gated/FeI_10000_12935_kpno_solar_atlas_SYNTH_1D-LTE_lines.csv,NIR,
ENGINE-B,5333.7683,,-8.061959823800469e-05,1.3935355535453022,0.10797472072291647,6.091,"NON-MINIMUM: chi2 at a bracket end is not above the reported minimum (frac_rise = -8.06e-05 <= 0), so the optimizer returned a point that is not a minimum and the fit did not determine A(X). A correctness failure, not a quality threshold. Measured and retained; excluded from the aggregate only (RYA-711). Fit reported A=4.108.",gated/ts-lte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B_lines.csv,VIS,ts-lte
ENGINE-B-NLTE,5333.7683,,-9.440494709412554e-06,0.6612107902939381,0.01711863208048392,5.806,"NON-MINIMUM: chi2 at a bracket end is not above the reported minimum (frac_rise = -9.44e-06 <= 0), so the optimizer returned a point that is not a minimum and the fit did not determine A(X). A correctness failure, not a quality threshold. Measured and retained; excluded from the aggregate only (RYA-711). Fit reported A=4.017.",gated/gerber-nlte/FeI_3800_6910_kpno_solar_atlas_PROFILEFIT_ENGINE-B-NLTE_lines.csv,VIS,gerber-nlte
1D-LTE,3617.318,7.477,-0.11727073398945383,0.03276146087654598,2.9805728592085314,136.767,"NON-MINIMUM: chi2 at a bracket end is not above the reported minimum (frac_rise = -0.117 <= 0), so the optimizer returned a point that is not a minimum and the fit did not determine A(X). A correctness failure, not a quality threshold. Measured and retained; excluded from the aggregate only (RYA-711).",gated/FeI_3000_3780_kpno_solar_atlas_SYNTH_1D-LTE_lines.csv,near-UV,
