cell,deck,treatment,A_pre,n_pre,scatter_pre,source
VIS,ts-lte,ENGINE-B,7.5140,130,0.3683,"RYA-847 nine-cell sweep, cell FeI_vis_ts-lte, 2026-08-17 — SAME tree and SAME code as the gated run, gate not yet applied"
VIS,gerber-nlte,ENGINE-B-NLTE,7.5680,132,0.3850,"RYA-847 nine-cell sweep, cell FeI_vis_gerber-nlte, 2026-08-17 — SAME tree and SAME code as the gated run, gate not yet applied"
near-UV,,1D-LTE,7.4875,40,0.4126,"RYA-847 nine-cell sweep, cell FeI_nearuv, 2026-08-17 — SAME tree and SAME code as the gated run, gate not yet applied"
NIR,,1D-LTE,7.4960,32,1.1390,"RYA-847 nine-cell sweep, cell FeI_nir, 2026-08-17 — SAME tree and SAME code as the gated run, gate not yet applied"
