18 Sco    FeI    5483.10      4.15      7.37   -999.00   -999.00      7.44      7.42   -999.00
18 Sco    FeI    5487.15      4.42      7.45   -999.00   -999.00      7.49      7.43   -999.00
18 Sco    FeI    5494.46      4.08      7.52   -999.00      7.58      7.58      7.51   -999.00
18 Sco    FeI    5506.78      0.99      7.08   -999.00   -999.00      7.28   -999.00   -999.00
18 Sco    FeI    5522.45      4.21      7.42      7.45   -999.00      7.48      7.45   -999.00
18 Sco    FeI    5539.28      3.64   -999.00   -999.00      7.44      7.47      7.35   -999.00
18 Sco    FeI    5543.94      4.22      7.38      7.37   -999.00      7.47      7.39   -999.00
18 Sco    FeI    5546.51      4.37      7.52      7.50   -999.00      7.59   -999.00      7.70
18 Sco    FeI    5560.21      4.43      7.44      7.44   -999.00      7.48      7.50   -999.00
18 Sco    FeI    5576.09      3.43      7.11   -999.00   -999.00      7.18   -999.00      7.49
18 Sco    FeI    5587.57      4.14      7.59   -999.00      7.53      7.70   -999.00   -999.00
18 Sco    FeI    5618.63      4.21      7.39      7.40   -999.00      7.46      7.43      7.54
18 Sco    FeI    5619.60      4.39      7.57   -999.00      7.63      7.60   -999.00      7.68
18 Sco    FeI    5633.95      4.99      7.40   -999.00      7.37      7.46      7.44   -999.00
18 Sco    FeI    5636.70      3.64   -999.00      7.40      7.43      7.46   -999.00   -999.00
18 Sco    FeI    5638.26      4.22      7.35      7.38      7.39      7.43      7.46   -999.00
18 Sco    FeI    5641.43      4.26      7.50   -999.00      7.56      7.59   -999.00   -999.00
18 Sco    FeI    5649.99      5.10      7.48   -999.00      7.54      7.55   -999.00   -999.00
18 Sco    FeI    5651.47      4.47   -999.00      7.58      7.62      7.59      7.61      7.75
18 Sco    FeI    5652.32      4.26      7.52   -999.00      7.51      7.56      7.55      7.70
18 Sco    FeI    5653.87      4.39   -999.00      7.63      7.64      7.65   -999.00   -999.00
18 Sco    FeI    5655.18      5.06      7.54   -999.00      7.57      7.74   -999.00   -999.00
18 Sco    FeI    5661.35      4.28      7.38   -999.00   -999.00      7.41      7.39      7.54
18 Sco    FeI    5662.52      4.18      7.33   -999.00      7.50      7.41   -999.00      7.59
18 Sco    FeI    5679.02      4.65      7.48   -999.00      7.50      7.54      7.52      7.67
18 Sco    FeI    5691.50      4.30      7.45   -999.00      7.47      7.51   -999.00   -999.00
18 Sco    FeI    5696.09      4.55   -999.00   -999.00      7.34      7.28   -999.00      7.45
18 Sco    FeI    5701.54      2.56      7.34      7.25      7.56      7.48   -999.00      7.51
18 Sco    FeI    5705.46      4.30      7.32      7.34   -999.00      7.38      7.36      7.51
18 Sco    FeI    5731.76      4.26      7.50      7.50      7.51      7.58      7.53   -999.00
18 Sco    FeI    5732.30      4.99   -999.00      7.53      7.57      7.56      7.54   -999.00
18 Sco    FeI    5741.85      4.26      7.47      7.46      7.48      7.52      7.48      7.63
18 Sco    FeI    5760.34      3.64      7.38   -999.00      7.34      7.41   -999.00   -999.00
18 Sco    FeI    5775.08      4.22      7.59      7.63      7.65      7.66      7.64      7.74
18 Sco    FeI    5778.45      2.59      7.37      7.38      7.40      7.41      7.36      7.55
18 Sco    FeI    5784.66      3.40      7.38   -999.00      7.44      7.42   -999.00   -999.00
18 Sco    FeI    5849.68      3.69   -999.00      7.31   -999.00      7.42      7.38   -999.00
18 Sco    FeI    5853.15      1.49   -999.00   -999.00      7.56      7.53   -999.00      7.67
18 Sco    FeI    5855.08      4.61   -999.00      7.41      7.44      7.41      7.41      7.54
18 Sco    FeI    5858.78      4.22   -999.00      7.36   -999.00      7.39      7.37   -999.00
18 Sco    FeI    5883.82      3.96   -999.00      7.36      7.39      7.40   -999.00   -999.00
18 Sco    FeI    5902.47      4.59   -999.00      7.44      7.47      7.38   -999.00   -999.00
18 Sco    FeI    5905.67      4.65   -999.00      7.35      7.37      7.39      7.36   -999.00
18 Sco    FeI    5916.25      2.45      7.44      7.39   -999.00      7.56   -999.00   -999.00
18 Sco    FeI    5927.79      4.65      7.22      7.37   -999.00      7.42      7.37   -999.00
18 Sco    FeI    5929.68      4.55   -999.00      7.57      7.58      7.62   -999.00   -999.00
18 Sco    FeI    5930.18      4.65   -999.00      7.34      7.35      7.37      7.50   -999.00
18 Sco    FeI    5934.65      3.93   -999.00   -999.00      7.32      7.37      7.38   -999.00
18 Sco    FeI    5956.69      0.86      7.44      7.39      7.39      7.57      7.43   -999.00
18 Sco    FeI    6003.01      3.88   -999.00      7.42      7.61      7.50   -999.00   -999.00
18 Sco    FeI    6012.21      2.22   -999.00   -999.00      7.69      7.71   -999.00      7.85
18 Sco    FeI    6027.05      4.08   -999.00      7.35   -999.00      7.50      7.37      7.52
18 Sco    FeI    6065.48      2.61      7.10   -999.00      7.18      7.22   -999.00      7.42
18 Sco    FeI    6079.01      4.65   -999.00      7.45      7.47      7.51   -999.00   -999.00
18 Sco    FeI    6082.71      2.22      7.45   -999.00   -999.00      7.52   -999.00      7.58
18 Sco    FeI    6093.64      4.61   -999.00      7.51   -999.00      7.55      7.53   -999.00
18 Sco    FeI    6094.37      4.65   -999.00      7.73   -999.00      7.73   -999.00      7.87
18 Sco    FeI    6096.66      3.98   -999.00      7.46      7.48      7.52   -999.00      7.63
18 Sco    FeI    6136.99      2.20      7.49      7.39      7.38      7.63   -999.00   -999.00
18 Sco    FeI    6151.62      2.18      7.45      7.43   -999.00      7.55      7.46      7.59
18 Sco    FeI    6165.36      4.14   -999.00      7.43      7.47      7.54      7.47   -999.00
18 Sco    FeI    6173.33      2.22      7.43      7.41   -999.00      7.57      7.45      7.54
18 Sco    FeI    6187.99      3.94   -999.00      7.38      7.40      7.45      7.41      7.54
18 Sco    FeI    6200.31      2.61      7.38   -999.00   -999.00      7.53      7.42      7.53
18 Sco    FeI    6213.43      2.22      7.25      7.24   -999.00      7.40   -999.00   -999.00
18 Sco    FeI    6219.28      2.20      7.33      7.35      7.36      7.48      7.38   -999.00
18 Sco    FeI    6226.73      3.88   -999.00      7.47      7.51      7.52      7.47   -999.00
18 Sco    FeI    6229.23      2.85      7.35   -999.00      7.40      7.41   -999.00   -999.00
