Table 3 
Chemical Abundances and Corresponding Errors of the Observed Metal-poor Stars in Liller 1


ID	[Fe/H]	[C/H]	[N/H]	[O/H]	[Na/H]	[Mg/H]	[Al/H]	[Si/H]	[S/H]	[Ca/H]	[Sc/H]	[Ti/H]	[V/H]	[Cr/H]	[Co/H]	[Ni/H]	[Cu/H]	[Zn/H]	[Y/H]	[Nd/H]	^12C/^13C	
	0.01(19)	0.01(34)	0.01(40)	0.01(9)	0.02(4)	0.02(3)	0.01(2)	0.02(3)	0.05(4)	0.02(3)	0.04(2)	0.02(3)	0.01(2)	0.10(2)	0.10(2)	0.03(3)	0.08(2)		0.10(1)	0.10(1)		
																						
300701	-0.37	-0.55	+0.28	-0.03	-0.19	-0.12	+0.09	-0.10	+0.13	+0.05	-0.16	-0.01	-0.42	cdots	cdots	cdots	cdots	cdots	-0.40	cdots	25.2	
	0.04(8)	0.03(3)	0.03(24)	0.10(2)	0.10(1)	0.10(1)	0.10(1)	0.08(3)	0.10(1)	0.03(2)	0.04(2)	0.06(2)	0.10(1)						0.10(1)			
																						
400519	-0.40	-0.69	+0.18	-0.14	+0.04	-0.06	+0.01	-0.06	+0.03	-0.02	-0.19	+0.04	-0.41	cdots	cdots	cdots	cdots	cdots	-0.37	-	14.7	
	0.06(6)	0.05(5)	0.04(9)	0.06(3)	0.10(1)	0.10(1)	0.10(1)	0.01(2)	0.05(3)	0.01(2)	0.01(2)	0.04(3)	0.10(1)						0.10(1)			
																						
400733	-0.44	-0.56	+0.19	-0.01	-0.14	+0.01	-0.13	-0.24	-0.01	-0.14	-0.07	-0.06	-0.32	cdots	cdots	cdots	cdots	cdots	-0.41	cdots	20.3	
	0.03(7)	0.05(2)	0.02(9)	0.03(3)	0.10(1)	0.10(1)	0.10(1)	0.10(2)	0.10(2)	0.02(2)	0.05(2)	0.02(2)	0.10(1)						0.10(1)			
																						
400860	-0.46	-1.11	+0.24	-0.08	+0.05	-0.02	+0.00	-0.10	-0.14	-0.14	-0.30	-0.02	-0.29	cdots	cdots	cdots	cdots	cdots	cdots	cdots	16.1	
	0.03(6)	0.02(3)	0.04(8)	0.06(3)	0.10(1)	0.10(1)	0.10(1)	0.06(2)	0.10(1)	0.10(1)	0.05(2)	0.01(3)	0.10(1)									
Note. Solar reference abundances are from E. Magg et al. (2022). The quoted errors are the standard deviations divided by the square root of the number of lines used, indicated in brackets.
