Table 4 
Chemical Abundances and Corresponding Errors of the Observed Metal-intermediate and Metal-rich Stars in Liller 1


ID	[Fe/H]	[C/H]	[N/H]	[O/H]	[Na/H]	[Mg/H]	[Al/H]	[Si/H]	[S/H]	[Ca/H]	[Sc/H]	[Ti/H]	[V/H]	[Cr/H]	[Co/H]	[Ni/H]	[Cu/H]	[Zn/H]	[Y/H]	[Nd/H]	^12C/^13C	
100901	-0.12	-0.24	+0.60	+0.04	+0.37	+0.10	+0.09	+0.06	+0.14	+0.11	+0.22	+0.18	+0.02	cdots	cdots	cdots	cdots	cdots	-0.22	cdots	21.2	
	0.04(11)	0.03(8)	0.01(26)	0.02(2)	0.10(1)	0.10(1)	0.10(1)	0.04(4)	0.05(4)	0.04(2)	0.02(2)	0.02(2)	0.10(1)						0.10(1)			
																						
400476	-0.16	-0.30	+0.39	+0.27	+0.12	+0.20	+0.32	-0.01	+0.08	-0.09	-0.18	+0.03	-0.34	cdots	cdots	cdots	cdots	cdots	-0.02	cdots	21.1	
	0.07(6)	0.04(6)	0.03(14)	0.02(3)	0.10(1)	0.10(1)	0.10(1)	0.10(1)	0.10(1)	0.05(2)	0.05(2)	0.04(3)	0.10(1)						0.10(1)			
																						
400778	-0.17	-0.44	+0.60	+0.03	+0.27	+0.04	+0.06	+0.05	+0.20	+0.07	+0.03	+0.09	-0.02	-0.20	-0.10	-0.16	+0.01	cdots	-0.16	-0.18	17.6	
	0.01(16)	0.01(24)	0.02(12)	0.02(5)	0.06(3)	0.03(3)	0.02(4)	0.05(3)	0.07(5)	0.04(5)	0.01(2)	0.01(4)	0.01(2)	0.06(2)	0.10(2)	0.07(3)	0.10(1)		0.10(1)	0.10(1)		
																						
400829	-0.11	-0.33	+0.54	+0.07	+0.40	+0.03	+0.08	+0.08	+0.10	+0.08	+0.08	+0.15	+0.04	-0.06	-0.01	-0.02	+0.07	cdots	-0.17	-0.23	24.2	
	0.01(33)	0.01(14)	0.01(14)	0.04(6)	0.05(4)	0.10(2)	0.02(3)	0.01(6)	0.03(5)	0.02(3)	0.10(1)	0.03(3)	0.01(2)	0.09(2)	0.10(2)	0.06(3)	0.10(1)		0.10(1)	0.10(1)		
																						
100437	+0.21	-0.30	+1.01	+0.18	+0.62	+0.25	+0.31	+0.22	+0.20	+0.19	0.09	+0.21	-0.02	+0.16	+0.37	+0.22	+0.32	cdots	+0.10	-0.09	13.2	
	0.01(19)	0.01(24)	0.01(34)	0.06(5)	0.02(3)	0.03(4)	0.02(3)	0.03(3)	0.06(4)	0.04(3)	0.04(2)	0.04(6)	0.01(2)	0.01(2)	0.10(1)	0.07(4)	0.10(1)		0.10(1)	0.10(1)		
																						
200179	+0.28	-0.01	+1.00	+0.28	+0.80	+0.34	+0.31	+0.24	+0.30	+0.38	+0.80	+0.48	+0.23	cdots	cdots	cdots	cdots	cdots	0.31	cdots	14.3	
	0.05(10)	0.10(1)	0.03(31)	0.02(2)	0.10(1)	0.10(1)	0.10(1)	0.02(2)	0.03(3)	0.02(2)	0.10(1)	0.10(1)	0.10(1)						0.10(1)			
																						
300614	+0.27	-0.08	+0.89	+0.20	+0.59	+0.37	+0.24	+0.29	+0.27	+0.26	+0.28	+0.25	+0.10	+0.26	+0.33	+0.27	+0.35	cdots	+0.04	+0.08	18.8	
	0.01(19)	0.01(30)	0.02(39)	0.03(8)	0.02(4)	0.02(3)	0.01(2)	0.02(5)	0.10(5)	0.01(4)	0.10(1)	0.02(4)	0.05(2)	0.10(1)	0.10(1)	0.07(2)	0.10(1)		0.10(1)	0.10(1)		
																						
300727	+0.28	+0.18	+0.83	+0.40	+0.63	+0.23	+0.38	+0.28	+0.28	+0.31	+0.49	+0.53	+0.29	+0.18	+0.35	+0.39	+0.39	cdots	+0.27	+0.29	16.5	
	0.01(20)	0.01(23)	0.01(37)	0.02(4)	0.03(3)	0.01(2)	0.01(2)	0.01(7)	0.03(5)	0.01(3)	0.10(1)	0.02(3)	0.03(2)	0.10(2)	0.09(2)	0.01(2)	0.04(2)		0.10(1)	0.10(1)		
																						
387099	+0.20	-0.05	+0.64	+0.20	+0.55	+0.27	+0.20	+0.27	+0.22	+0.30	cdots	+0.26	+0.09	+0.17	+0.29	+0.25	+0.26	+0.19	cdots	+0.13	10.0	
	0.04(8)	0.01(20)	0.02(10)	0.02(6)	0.06(2)	0.03(4)	0.01(2)	0.02(5)	0.10(1)	0.02(5)		0.02(7)	0.10(1)	0.10(2)	0.10(1)	0.05(2)	0.01(2)	0.10(1)		0.10(1)		
																						
400065	+0.22	+0.01	+0.81	+0.21	+0.64	+0.28	+0.18	+0.24	+0.35	+0.30	cdots	+0.27	+0.22	+0.14	+0.27	+0.34	+0.25	+0.27	cdots	+0.07	13.3	
	0.02(8)	0.01(30)	0.04(10)	0.04(9)	0.10(1)	0.05(4)	0.02(2)	0.04(4)	0.10(1)	0.02(6)		0.01(5)	0.05(6)	0.10(2)	0.10(1)	0.01(2)	0.10(1)	0.10(1)		0.10(1)		
																						
400087	+0.20	-0.11	+0.92	+0.24	+0.60	+0.20	+0.23	+0.19	+0.22	+0.28	+0.67	+0.42	+0.13	cdots	cdots	cdots	cdots	cdots	0.12	cdots	11.1	
	0.02(8)	0.06(2)	0.03(30)	0.02(2)	0.03(2)	0.10(1)	0.10(1)	0.07(3)	0.02(2)	0.10(1)	0.10(1)	0.10(1)	0.10(1)						0.10(1)			
																						
400887	+0.26	-0.08	+0.99	+0.23	+0.62	+0.26	+0.30	+0.23	+0.24	+0.25	+0.34	+0.29	+0.18	+0.24	+0.44	+0.32	+0.45	cdots	cdots	+0.22	21.3	
	0.01(19)	0.01(27)	0.03(37)	0.03(7)	0.03(4)	0.03(3)	0.02(4)	0.02(4)	0.03(7)	0.02(4)	0.01(3)	0.02(5)	0.01(2)	0.05(3)	0.10(1)	0.06(2)	0.10(1)			0.04(2)		
Note. Solar reference abundances are from E. Magg et al. (2022). The quoted errors are the standard deviations divided by the square root of the number of lines used, indicated in brackets.
