regime,species,LAB,NIST-C+,OTHER,VALD3,total
NEAR_UV,Fe I,59,501,104,3610,4274
NEAR_UV,Ce II,0,0,0,2082,2082
NEAR_UV,Cr I,0,0,0,1629,1629
NEAR_UV,Co I,0,0,0,1042,1042
NEAR_UV,Ti I,0,0,0,972,972
NEAR_UV,Mn I,0,0,0,913,913
NEAR_UV,Cr II,0,0,0,826,826
NEAR_UV,Ni I,0,0,0,680,680
NEAR_UV,Fe II,12,35,0,618,665
NEAR_UV,V I,0,0,0,661,661
NEAR_UV,V II,0,0,0,547,547
NEAR_UV,Ti II,0,0,0,523,523
NEAR_UV,Mn II,0,0,0,450,450
NEAR_UV,Th II,0,0,0,439,439
NEAR_UV,Dy II,0,0,0,437,437
NEAR_UV,Sm II,0,0,0,380,380
NEAR_UV,Gd II,0,0,0,285,285
NEAR_UV,Er II,0,0,0,283,283
NEAR_UV,Zr II,0,0,0,247,247
NEAR_UV,Nd II,0,0,0,245,245
NEAR_UV,Ru I,0,0,0,227,227
NEAR_UV,Mo I,0,0,0,212,212
NEAR_UV,Os I,0,0,0,194,194
NEAR_UV,Cu I,0,0,0,188,188
NEAR_UV,Ca I,0,0,0,184,184
NEAR_UV,Nb II,0,0,0,162,162
NEAR_UV,Nb I,0,0,0,145,145
NEAR_UV,Sc I,0,0,0,143,143
NEAR_UV,W I,0,0,0,140,140
NEAR_UV,Tm II,0,0,0,121,121
NEAR_UV,Tb II,0,0,0,116,116
NEAR_UV,Y II,0,0,0,115,115
NEAR_UV,Rh I,0,0,0,114,114
NEAR_UV,Co II,0,0,0,110,110
NEAR_UV,Ir I,0,0,0,107,107
NEAR_UV,Hf II,0,0,0,103,103
NEAR_UV,Re I,0,0,0,102,102
NEAR_UV,Sc II,0,0,0,96,96
NEAR_UV,Yb II,0,0,0,94,94
NEAR_UV,Zr I,0,0,0,92,92
NEAR_UV,U II,0,0,0,85,85
NEAR_UV,Hf I,0,0,0,81,81
NEAR_UV,Mo II,0,0,0,72,72
NEAR_UV,Eu II,0,0,0,52,52
NEAR_UV,Y I,0,0,0,51,51
NEAR_UV,Ca II,0,0,0,42,42
NEAR_UV,Ni II,0,0,0,40,40
NEAR_UV,Ta II,0,0,0,37,37
NEAR_UV,Pt I,0,0,0,35,35
NEAR_UV,W II,0,0,0,34,34
NEAR_UV,La II,0,0,0,33,33
NEAR_UV,Ta I,0,0,0,28,28
NEAR_UV,Pd I,0,0,0,26,26
NEAR_UV,S I,0,0,0,23,23
NEAR_UV,Si I,0,0,0,21,21
NEAR_UV,Gd I,0,0,0,20,20
NEAR_UV,Ru II,0,0,0,20,20
NEAR_UV,Rh II,0,0,0,17,17
NEAR_UV,Ho II,0,0,0,13,13
NEAR_UV,Dy I,0,0,0,11,11
NEAR_UV,Lu II,0,0,0,11,11
NEAR_UV,Mg I,0,0,0,11,11
NEAR_UV,Al I,0,0,0,10,10
NEAR_UV,Er I,0,0,0,10,10
NEAR_UV,Mg II,0,0,0,10,10
NEAR_UV,Zn I,0,0,0,10,10
NEAR_UV,Cd I,0,0,0,8,8
NEAR_UV,Lu I,0,0,0,8,8
NEAR_UV,Pr II,0,0,0,8,8
NEAR_UV,Sn I,0,0,0,8,8
NEAR_UV,K I,0,0,0,7,7
NEAR_UV,Nd III,0,0,0,7,7
NEAR_UV,Bi I,0,0,0,6,6
NEAR_UV,Pb I,0,0,0,6,6
NEAR_UV,Sb I,0,0,0,6,6
NEAR_UV,Sr I,0,0,0,6,6
NEAR_UV,Re II,0,0,0,5,5
NEAR_UV,Tl I,0,0,0,5,5
NEAR_UV,Ge I,0,0,0,4,4
NEAR_UV,Hg I,0,0,0,4,4
NEAR_UV,As I,0,0,0,3,3
NEAR_UV,In I,0,0,0,3,3
NEAR_UV,La I,0,0,0,3,3
NEAR_UV,Os II,0,0,0,3,3
NEAR_UV,Si II,0,0,0,3,3
NEAR_UV,Sr II,0,0,0,3,3
NEAR_UV,Ag I,0,0,0,2,2
NEAR_UV,Al II,0,0,0,2,2
NEAR_UV,Au I,0,0,0,2,2
NEAR_UV,Ba I,0,0,0,2,2
NEAR_UV,Be I,0,0,0,2,2
NEAR_UV,Be II,0,0,0,2,2
NEAR_UV,Na I,0,0,0,2,2
NEAR_UV,Tm I,0,0,0,2,2
NEAR_UV,Yb I,0,0,0,2,2
NEAR_UV,Ir II,0,0,0,1,1
NEAR_UV,La III,0,0,0,1,1
NEAR_UV,N I,0,0,0,1,1
NEAR_UV,O I,0,0,0,1,1
NEAR_UV,Sm I,0,0,0,1,1
NEAR_UV,Te I,0,0,0,1,1
NEAR_UV,Th I,0,0,0,1,1
