species,canonical_uv_rows,lab_rows,nist_cplus_rows,vald3_rows,verdict,route
Ni II,40,0,0,40,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Ta II,37,0,0,37,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Pt I,35,0,0,35,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
W II,34,0,0,34,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
La II,33,0,0,33,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Ta I,28,0,0,28,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Pd I,26,0,0,26,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
S I,23,0,0,23,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Si I,21,0,0,21,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Gd I,20,0,0,20,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Ru II,20,0,0,20,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Rh II,17,0,0,17,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Ho II,13,0,0,13,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Dy I,11,0,0,11,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Lu II,11,0,0,11,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Mg I,11,0,0,11,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Al I,10,0,0,10,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Er I,10,0,0,10,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Mg II,10,0,0,10,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Zn I,10,0,0,10,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Cd I,8,0,0,8,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Lu I,8,0,0,8,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Pr II,8,0,0,8,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Sn I,8,0,0,8,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
K I,7,0,0,7,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Nd III,7,0,0,7,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Bi I,6,0,0,6,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Pb I,6,0,0,6,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Sb I,6,0,0,6,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Sr I,6,0,0,6,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Re II,5,0,0,5,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Tl I,5,0,0,5,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Ge I,4,0,0,4,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Hg I,4,0,0,4,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
As I,3,0,0,3,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
In I,3,0,0,3,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
La I,3,0,0,3,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Os II,3,0,0,3,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Si II,3,0,0,3,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Sr II,3,0,0,3,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Ag I,2,0,0,2,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Al II,2,0,0,2,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Au I,2,0,0,2,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Ba I,2,0,0,2,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Be I,2,0,0,2,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Be II,2,0,0,2,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Na I,2,0,0,2,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Tm I,2,0,0,2,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Yb I,2,0,0,2,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Ir II,1,0,0,1,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
La III,1,0,0,1,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
N I,1,0,0,1,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
O I,1,0,0,1,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Sm I,1,0,0,1,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Te I,1,0,0,1,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
Th I,1,0,0,1,NO_PRIMARY_LAB_IN_CANONICAL_UV,SOURCE_CENSUS_BEFORE_ANY_ADOPTION
