barklem_collet_2016_file,content,declared_in_readme,acquired_in_holding
table1.dat,Dissociation energies,YES,YES
table2/*,Individual files of molecular constants for the 291 molecules,YES,NO
table6.dat,Partition functions for molecules,YES,NO
table7.dat,Equilibrium constants for molecules,YES,NO
