cell,agss21_banked_rya1131,amarsi2021_table2,delta,agrees
C2 Swan,39,39,0,YES
CH X-X dnu=1,51,48,-3,NO
CH A-X dnu=0,7,6,-1,NO
12C16O X-X dnu=1,28,28,0,YES
12C16O X-X dnu=2,52,52,0,YES
NH X-X dnu=0,13,13,0,YES
NH X-X dnu=1,15,18,3,NO
CN A-X dnu=0,59,59,0,YES
OH X-X dnu=0,84,84,0,YES
OH X-X dnu=1,50,46,-4,NO
OH X-X dnu=2,15,15,0,YES
TOTAL,413,408,-5,NO
