quantity,expected,reproduced,agrees
species C2,39,39,YES
species CH,54,54,YES
species 12C16O,80,80,YES
species CN,59,59,YES
species NH,31,31,YES
species OH,145,145,YES
band VIS,45,45,YES
band NIR,122,122,YES
band IR,241,241,YES
band FUV,0,0,YES
band NUV,0,0,YES
band RED_OPTICAL,0,0,YES
total used rows,408,408,YES
