domain,band,qa_recomputed_rows,shipped_matrix_rows,agrees
molecular,FUV,0,0,YES
molecular,NUV,0,0,YES
molecular,VIS,45,45,YES
molecular,RED_OPTICAL,0,0,YES
molecular,NIR,122,122,YES
molecular,IR,241,241,YES
atomic,FUV,0,0,YES
atomic,NUV,0,0,YES
atomic,VIS,14,14,YES
atomic,RED_OPTICAL,33,33,YES
atomic,NIR,1,1,YES
atomic,IR,0,0,YES
BOTH,FUV+NUV (the UV claim),0,0,YES
