element,ion,wave_air_A,log_gf,ep_eV,predicted_depth,instruments,measured_in_pool,gf_canonical,log_gf_intake,gf_source_intake
Al,III,1854.716,0.06,0.0,0.177,,False,False,0.06,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,III,1862.79,-0.24,0.0,0.114,,False,False,-0.24,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,II,1931.05,-0.218,7.4207,0.428,,False,False,-0.218,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,2074.682,-4.555,0.0,0.291,,False,False,-4.555,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,2074.929,-4.518,0.0,0.309,,False,False,-4.518,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,2075.198,-4.48,0.0,0.323,,False,False,-4.48,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,2075.494,-4.441,0.0,0.346,,False,False,-4.441,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,2075.82,-4.401,0.0,0.37,,False,False,-4.401,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,2076.179,-4.36,0.0,0.401,,False,False,-4.36,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,2311.036,-1.29,3.5981,0.329,,False,False,-1.29,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,2314.984,-1.08,3.6038,0.455,,False,False,-1.08,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,2370.726,-0.9,3.6038,0.548,,False,False,-0.9,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,I,2374.494,-1.12,3.6132,0.412,,False,False,-1.12,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
Al,II,2816.185,-0.33,7.4207,0.501,,False,False,-0.33,"linelist_solar.csv (VALD intake, max over the HFS cluster)"
