element,ion,wavelength_air_A,ew_mA,ew_err_mA,profile_type,chi2,blend_flag,notes
Fe,I,5491.832,14.8,1.3,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5506.779,124.1,2.9,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5538.516,39.1,1.1,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5539.28,20.5,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5546.99,29.7,1.3,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5549.949,10.8,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5569.618,152.1,1.6,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5572.842,193.0,1.9,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5573.102,84.0,2.0,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5576.089,118.2,4.5,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5586.756,211.9,2.3,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5615.644,250.1,2.3,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5618.632,52.7,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5624.542,135.6,1.5,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5636.696,21.2,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5638.262,80.5,1.1,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5655.493,73.5,3.4,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5661.345,24.4,1.1,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5662.516,94.9,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5701.544,85.7,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5707.049,47.9,1.5,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5712.131,60.4,1.6,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5753.122,81.9,1.4,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5775.081,60.9,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5778.453,23.1,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5784.658,29.5,1.2,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5793.915,35.8,1.1,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5798.171,46.9,1.3,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5804.034,27.9,1.3,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5811.914,11.5,1.1,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5837.701,11.4,1.3,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5838.372,20.9,1.3,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5855.076,24.8,1.4,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5859.586,74.1,3.5,gaussian,,False,GES pre-stored solar EW — RYA-196
Fe,I,5877.788,17.6,1.7,gaussian,,False,GES pre-stored solar EW — RYA-196
