wavelength_air_A,lab_source_tag,arm,n_points_pm0.5A,n_points_pm1.0A,state,sampling_vs_arm_mean,would_fail_the_prior_20_point_test
10863.518,RU14,,0,0,OUTSIDE EVERY CRIRES+ ARM WE HOLD,,
11013.235,DH14,,0,0,OUTSIDE EVERY CRIRES+ ARM WE HOLD,,
14679.831,RU13,,0,0,OUTSIDE EVERY CRIRES+ ARM WE HOLD,,
14826.408,RU13,,0,0,OUTSIDE EVERY CRIRES+ ARM WE HOLD,,
15051.749,RU13,H,20,39,SERVED,1.23,False
15080.22,RU13,H,20,40,SERVED,1.23,False
15207.526,RU13,H,21,41,SERVED,1.29,False
15294.56,RU13,H,21,43,SERVED,1.29,False
15335.383,RU13,H,10,20,SERVED,0.61,True
15591.49,RU13,H,19,39,SERVED,1.16,True
15604.22,RU13,H,20,40,SERVED,1.23,False
15631.947,RU13,H,20,41,SERVED,1.23,False
15648.51,RU13,H,21,41,SERVED,1.29,False
15682.016,RU13,H,20,42,SERVED,1.23,False
15691.853,RU13,H,21,41,SERVED,1.29,False
15692.747,RU13,H,21,42,SERVED,1.29,False
15835.165,RU13,H,9,19,SERVED,0.55,True
16009.61,RU13,H,19,38,SERVED,1.16,True
16153.247,RU13,H,21,41,SERVED,1.29,False
16165.029,RU13,H,21,41,SERVED,1.29,False
16179.583,RU13,H,21,41,SERVED,1.29,False
16198.502,RU13,H,10,20,SERVED,0.61,True
16324.451,RU13,H,10,20,SERVED,0.61,True
16382.251,RU13,H,18,35,SERVED,1.1,True
16396.306,RU13,H,18,36,SERVED,1.1,True
16537.994,RU13,H,19,38,SERVED,1.16,True
16541.962,RU13,H,19,38,SERVED,1.16,True
16892.361,RU13,H,17,35,SERVED,1.04,True
17277.479,RU13,H,10,20,SERVED,0.61,True
