holding,instrument,wavelength_air_A,inside_corrected_band,inside_fit_window_only,state,why,max_abs_diff,baseline_abs_diff,n
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,3002.644,False,False,UNVERIFIABLE-HERE,corrected unreadable: [Errno 2] No such file or directory: '/mnt/codex-data/spectra/KITTS/ir,,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,3170.337,False,False,UNVERIFIABLE-HERE,corrected unreadable: [Errno 2] No such file or directory: '/mnt/codex-data/spectra/KITTS/ir,,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,3183.114,False,False,UNVERIFIABLE-HERE,corrected unreadable: [Errno 2] No such file or directory: '/mnt/codex-data/spectra/KITTS/ir,,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,3186.737,False,False,UNVERIFIABLE-HERE,corrected unreadable: [Errno 2] No such file or directory: '/mnt/codex-data/spectra/KITTS/ir,,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,3192.909,False,False,UNVERIFIABLE-HERE,corrected unreadable: [Errno 2] No such file or directory: '/mnt/codex-data/spectra/KITTS/ir,,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,3193.799,False,False,UNVERIFIABLE-HERE,corrected unreadable: [Errno 2] No such file or directory: '/mnt/codex-data/spectra/KITTS/ir,,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,3196.07,False,False,UNVERIFIABLE-HERE,corrected unreadable: [Errno 2] No such file or directory: '/mnt/codex-data/spectra/KITTS/ir,,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,3210.444,False,False,UNVERIFIABLE-HERE,corrected unreadable: [Errno 2] No such file or directory: '/mnt/codex-data/spectra/KITTS/ir,,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,3213.309,False,False,UNVERIFIABLE-HERE,corrected unreadable: [Errno 2] No such file or directory: '/mnt/codex-data/spectra/KITTS/ir,,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,3227.742,False,False,UNVERIFIABLE-HERE,corrected unreadable: [Errno 2] No such file or directory: '/mnt/codex-data/spectra/KITTS/ir,,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,3255.887,False,False,UNVERIFIABLE-HERE,corrected unreadable: [Errno 2] No such file or directory: '/mnt/codex-data/spectra/KITTS/ir,,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,3277.348,False,False,UNVERIFIABLE-HERE,corrected unreadable: [Errno 2] No such file or directory: '/mnt/codex-data/spectra/KITTS/ir,,,
solar_kpno_molecfit_corrected,kpno_solar_atlas,3002.644,False,False,VERIFIED-RAW,,0.0,0.0,183.0
solar_kpno_molecfit_corrected,kpno_solar_atlas,3170.337,False,False,VERIFIED-RAW,,0.0,0.0,164.0
solar_kpno_molecfit_corrected,kpno_solar_atlas,3183.114,False,False,VERIFIED-RAW,,0.0,0.0,163.0
solar_kpno_molecfit_corrected,kpno_solar_atlas,3186.737,False,False,VERIFIED-RAW,,0.0,0.0,162.0
solar_kpno_molecfit_corrected,kpno_solar_atlas,3192.909,False,False,VERIFIED-RAW,,0.0,0.0,161.0
solar_kpno_molecfit_corrected,kpno_solar_atlas,3193.799,False,False,VERIFIED-RAW,,0.0,0.0,162.0
solar_kpno_molecfit_corrected,kpno_solar_atlas,3196.07,False,False,VERIFIED-RAW,,0.0,0.0,161.0
solar_kpno_molecfit_corrected,kpno_solar_atlas,3210.444,False,False,VERIFIED-RAW,,0.0,0.0,160.0
solar_kpno_molecfit_corrected,kpno_solar_atlas,3213.309,False,False,VERIFIED-RAW,,0.0,0.0,160.0
solar_kpno_molecfit_corrected,kpno_solar_atlas,3227.742,False,False,VERIFIED-RAW,,0.0,0.0,158.0
solar_kpno_molecfit_corrected,kpno_solar_atlas,3255.887,False,False,VERIFIED-RAW,,0.0,0.0,155.0
solar_kpno_molecfit_corrected,kpno_solar_atlas,3277.348,False,False,VERIFIED-RAW,,0.0,0.0,153.0
solar_harps_molecfit_corrected,harps,4233.162,False,False,VERIFIED-CORRECTED,,0.00100571,9.151e-05,60.0
solar_harps_molecfit_corrected,harps,4303.17,False,False,NO-MATERIAL-DIFFERENCE,,0.00050041,9.151e-05,60.0
solar_harps_molecfit_corrected,harps,4351.762,False,False,NO-MATERIAL-DIFFERENCE,,0.00026477,9.151e-05,60.0
solar_harps_molecfit_corrected,harps,4385.377,False,False,NO-MATERIAL-DIFFERENCE,,0.00027269,9.151e-05,60.0
solar_harps_molecfit_corrected,harps,4416.819,False,False,NO-MATERIAL-DIFFERENCE,,0.00031497,9.151e-05,60.0
solar_harps_molecfit_corrected,harps,4508.28,False,False,NO-MATERIAL-DIFFERENCE,,0.00010491,9.151e-05,60.0
solar_harps_molecfit_corrected,harps,4522.628,False,False,NO-MATERIAL-DIFFERENCE,,8.477e-05,9.151e-05,60.0
solar_harps_molecfit_corrected,harps,4549.466,False,False,NO-MATERIAL-DIFFERENCE,,9.334e-05,9.151e-05,60.0
solar_harps_molecfit_corrected,harps,4583.829,False,False,NO-MATERIAL-DIFFERENCE,,0.00018116,9.151e-05,60.0
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,4233.162,False,False,UNVERIFIABLE-HERE,corrected unreadable: [Errno 2] No such file or directory: '/mnt/codex-data/spectra/KITTS/ir,,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,4303.17,False,False,UNVERIFIABLE-HERE,corrected unreadable: [Errno 2] No such file or directory: '/mnt/codex-data/spectra/KITTS/ir,,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,4351.762,False,False,UNVERIFIABLE-HERE,corrected unreadable: [Errno 2] No such file or directory: '/mnt/codex-data/spectra/KITTS/ir,,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,4385.377,False,False,UNVERIFIABLE-HERE,corrected unreadable: [Errno 2] No such file or directory: '/mnt/codex-data/spectra/KITTS/ir,,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,4416.819,False,False,UNVERIFIABLE-HERE,corrected unreadable: [Errno 2] No such file or directory: '/mnt/codex-data/spectra/KITTS/ir,,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,4508.28,False,False,UNVERIFIABLE-HERE,corrected unreadable: [Errno 2] No such file or directory: '/mnt/codex-data/spectra/KITTS/ir,,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,4522.628,False,False,UNVERIFIABLE-HERE,corrected unreadable: [Errno 2] No such file or directory: '/mnt/codex-data/spectra/KITTS/ir,,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,4549.466,False,False,UNVERIFIABLE-HERE,corrected unreadable: [Errno 2] No such file or directory: '/mnt/codex-data/spectra/KITTS/ir,,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,4583.829,False,False,UNVERIFIABLE-HERE,corrected unreadable: [Errno 2] No such file or directory: '/mnt/codex-data/spectra/KITTS/ir,,,
solar_kpno_molecfit_corrected,kpno_solar_atlas,4233.162,False,False,VERIFIED-RAW,,0.0,0.0,60.0
solar_kpno_molecfit_corrected,kpno_solar_atlas,4303.17,False,False,VERIFIED-RAW,,0.0,0.0,58.0
solar_kpno_molecfit_corrected,kpno_solar_atlas,4351.762,False,False,VERIFIED-RAW,,0.0,0.0,58.0
solar_kpno_molecfit_corrected,kpno_solar_atlas,4385.377,False,False,VERIFIED-RAW,,0.0,0.0,56.0
solar_kpno_molecfit_corrected,kpno_solar_atlas,4416.819,False,False,VERIFIED-RAW,,0.0,0.0,56.0
solar_kpno_molecfit_corrected,kpno_solar_atlas,4508.28,False,False,VERIFIED-RAW,,0.0,0.0,53.0
solar_kpno_molecfit_corrected,kpno_solar_atlas,4522.628,False,False,VERIFIED-RAW,,0.0,0.0,54.0
solar_kpno_molecfit_corrected,kpno_solar_atlas,4549.466,False,False,VERIFIED-RAW,,0.0,0.0,52.0
solar_kpno_molecfit_corrected,kpno_solar_atlas,4583.829,False,False,VERIFIED-RAW,,0.0,0.0,52.0
