holding,instrument,wavelength_air_A,raw_sibling,sibling_relation,telluric_band,correction_expected_here,absorption_available_in_raw,reduction_floor,state,holding_claim,basis,max_abs_diff,baseline_abs_diff,n
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,3002.644,,"NO RAW SIBLING EXISTS — Kurucz ships only the corrected residual atlas, and the 1984 KP atlas is a different observation (RYA-929 'provenance-distinct')",,False,,,NO-TELLURIC-BAND-DECLARED,"⚠️ MIXED — corrected in 4 band(s) (O2 B-band, O2 A-band, H2O, H2O) and raw-like in 1 (H2O); one holding label is describing two different states","no declared telluric band reaches this line, and no raw sibling exists — the HOLDING's claim is judged separately in `holding_claim` and is NOT evidence about this line; an undeclared band is not an absent one (RYA-833)",,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,3170.337,,"NO RAW SIBLING EXISTS — Kurucz ships only the corrected residual atlas, and the 1984 KP atlas is a different observation (RYA-929 'provenance-distinct')",,False,,,NO-TELLURIC-BAND-DECLARED,"⚠️ MIXED — corrected in 4 band(s) (O2 B-band, O2 A-band, H2O, H2O) and raw-like in 1 (H2O); one holding label is describing two different states","no declared telluric band reaches this line, and no raw sibling exists — the HOLDING's claim is judged separately in `holding_claim` and is NOT evidence about this line; an undeclared band is not an absent one (RYA-833)",,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,3183.114,,"NO RAW SIBLING EXISTS — Kurucz ships only the corrected residual atlas, and the 1984 KP atlas is a different observation (RYA-929 'provenance-distinct')",,False,,,NO-TELLURIC-BAND-DECLARED,"⚠️ MIXED — corrected in 4 band(s) (O2 B-band, O2 A-band, H2O, H2O) and raw-like in 1 (H2O); one holding label is describing two different states","no declared telluric band reaches this line, and no raw sibling exists — the HOLDING's claim is judged separately in `holding_claim` and is NOT evidence about this line; an undeclared band is not an absent one (RYA-833)",,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,3186.737,,"NO RAW SIBLING EXISTS — Kurucz ships only the corrected residual atlas, and the 1984 KP atlas is a different observation (RYA-929 'provenance-distinct')",,False,,,NO-TELLURIC-BAND-DECLARED,"⚠️ MIXED — corrected in 4 band(s) (O2 B-band, O2 A-band, H2O, H2O) and raw-like in 1 (H2O); one holding label is describing two different states","no declared telluric band reaches this line, and no raw sibling exists — the HOLDING's claim is judged separately in `holding_claim` and is NOT evidence about this line; an undeclared band is not an absent one (RYA-833)",,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,3192.909,,"NO RAW SIBLING EXISTS — Kurucz ships only the corrected residual atlas, and the 1984 KP atlas is a different observation (RYA-929 'provenance-distinct')",,False,,,NO-TELLURIC-BAND-DECLARED,"⚠️ MIXED — corrected in 4 band(s) (O2 B-band, O2 A-band, H2O, H2O) and raw-like in 1 (H2O); one holding label is describing two different states","no declared telluric band reaches this line, and no raw sibling exists — the HOLDING's claim is judged separately in `holding_claim` and is NOT evidence about this line; an undeclared band is not an absent one (RYA-833)",,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,3193.799,,"NO RAW SIBLING EXISTS — Kurucz ships only the corrected residual atlas, and the 1984 KP atlas is a different observation (RYA-929 'provenance-distinct')",,False,,,NO-TELLURIC-BAND-DECLARED,"⚠️ MIXED — corrected in 4 band(s) (O2 B-band, O2 A-band, H2O, H2O) and raw-like in 1 (H2O); one holding label is describing two different states","no declared telluric band reaches this line, and no raw sibling exists — the HOLDING's claim is judged separately in `holding_claim` and is NOT evidence about this line; an undeclared band is not an absent one (RYA-833)",,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,3196.07,,"NO RAW SIBLING EXISTS — Kurucz ships only the corrected residual atlas, and the 1984 KP atlas is a different observation (RYA-929 'provenance-distinct')",,False,,,NO-TELLURIC-BAND-DECLARED,"⚠️ MIXED — corrected in 4 band(s) (O2 B-band, O2 A-band, H2O, H2O) and raw-like in 1 (H2O); one holding label is describing two different states","no declared telluric band reaches this line, and no raw sibling exists — the HOLDING's claim is judged separately in `holding_claim` and is NOT evidence about this line; an undeclared band is not an absent one (RYA-833)",,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,3210.444,,"NO RAW SIBLING EXISTS — Kurucz ships only the corrected residual atlas, and the 1984 KP atlas is a different observation (RYA-929 'provenance-distinct')",,False,,,NO-TELLURIC-BAND-DECLARED,"⚠️ MIXED — corrected in 4 band(s) (O2 B-band, O2 A-band, H2O, H2O) and raw-like in 1 (H2O); one holding label is describing two different states","no declared telluric band reaches this line, and no raw sibling exists — the HOLDING's claim is judged separately in `holding_claim` and is NOT evidence about this line; an undeclared band is not an absent one (RYA-833)",,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,3213.309,,"NO RAW SIBLING EXISTS — Kurucz ships only the corrected residual atlas, and the 1984 KP atlas is a different observation (RYA-929 'provenance-distinct')",,False,,,NO-TELLURIC-BAND-DECLARED,"⚠️ MIXED — corrected in 4 band(s) (O2 B-band, O2 A-band, H2O, H2O) and raw-like in 1 (H2O); one holding label is describing two different states","no declared telluric band reaches this line, and no raw sibling exists — the HOLDING's claim is judged separately in `holding_claim` and is NOT evidence about this line; an undeclared band is not an absent one (RYA-833)",,,
solar_kpno_kurucz2005_corrected,kpno_solar_atlas,3227.742,,"NO RAW SIBLING EXISTS — Kurucz ships only the corrected residual atlas, and the 1984 KP atlas is a different observation (RYA-929 'provenance-distinct')",,False,,,NO-TELLURIC-BAND-DECLARED,"⚠️ MIXED — corrected in 4 band(s) (O2 B-band, O2 A-band, H2O, H2O) and raw-like in 1 (H2O); one holding label is describing two different states","no declared telluric band reaches this line, and no raw sibling exists — the HOLDING's claim is judged separately in `holding_claim` and is NOT evidence about this line; an undeclared band is not an absent one (RYA-833)",,,
