# linelist_procyon.csv — Procyon (HD 61421) per-system VALD3 linelist (RYA-309)
# Generated: 2026-06-14  by scripts/intake_build_procyon.py
# Stellar params (extraction): Teff=6530 K, logg=3.96, [Fe/H]=-0.04, vmic=1.7 km/s
#   (Heiter+2015 GBS fundamental Teff/logg; HFS-ON re-extraction)
# HFS splitting: ON (VERIFIED by split-group signature — supersedes the RYA-270
#   HFS-unsplit linelist_procyon.csv, quarantined as
#   linelist_procyon_rya270_hfsoff_quarantine.csv)
# Full species retained (Fe I + Fe II for the RYA-309 Fe run; all species kept
#   for the later RYA-308 all-element row).
# Extractions merged (all HFS-ON):
#   uv      : vald_procyon_uv_hfson_raw.txt (RyanSchmitt.019514.gz), 1150-3000 A
#   optical : vald_procyon_optical_hfson_raw.txt (RyanSchmitt.019513.gz), 3000-6910 A
#   nir     : vald_procyon_nir_hfson_raw.txt (RyanSchmitt.019515.gz), 6910-11000 A
# Wavelength convention: 'vacuum' for lambda < 2000 A (VALD delivers vacuum
#   below 2000 A despite the WL_air label), 'air' for lambda >= 2000 A.
#   NO vacuum->air conversion at build — done at the spectrum-matching boundary.
# Seam duplicates dropped at band endpoints: 73
# nist_grade empty pending NIST cross-validation; blend_flag=False everywhere.
element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,vald_proximity_flag,blend_flag,priority,notes,extraction_source,wavelength_convention
Co,II,1859.63022,1.2166,-3.09,VALD3,,8.6,-6.54,-7.89,0.973,1.0,False,0,,uv_019514,vacuum
Co,II,1859.63029,1.2166,-3.849,VALD3,,8.6,-6.54,-7.89,0.973,1.0,False,0,,uv_019514,vacuum
Co,II,1859.63036,1.2166,-2.553,VALD3,,8.6,-6.54,-7.89,0.973,1.0,False,0,,uv_019514,vacuum
Co,II,1859.63064,1.2166,-3.094,VALD3,,8.6,-6.54,-7.89,0.973,1.0,False,0,,uv_019514,vacuum
Co,II,1859.63072,1.2166,-3.828,VALD3,,8.6,-6.54,-7.89,0.973,1.0,False,0,,uv_019514,vacuum
Co,II,1859.63077,1.2166,-2.689,VALD3,,8.6,-6.54,-7.89,0.973,1.0,False,0,,uv_019514,vacuum
Co,II,1859.63097,1.2166,-3.155,VALD3,,8.6,-6.54,-7.89,0.973,1.0,False,0,,uv_019514,vacuum
Co,II,1859.63105,1.2166,-3.937,VALD3,,8.6,-6.54,-7.89,0.973,1.0,False,0,,uv_019514,vacuum
Co,II,1859.63109,1.2166,-2.845,VALD3,,8.6,-6.54,-7.89,0.973,1.0,False,0,,uv_019514,vacuum
Co,II,1859.6312,1.2166,-3.277,VALD3,,8.6,-6.54,-7.89,0.973,1.0,False,0,,uv_019514,vacuum
Co,II,1859.63132,1.2166,-3.03,VALD3,,8.6,-6.54,-7.89,0.973,1.0,False,0,,uv_019514,vacuum
Co,II,1859.63134,1.2166,-3.46,VALD3,,8.6,-6.54,-7.89,0.973,1.0,False,0,,uv_019514,vacuum
Co,II,1859.63145,1.2166,-3.264,VALD3,,8.6,-6.54,-7.89,0.973,1.0,False,0,,uv_019514,vacuum
Co,II,1859.63149,1.2166,-3.606,VALD3,,8.6,-6.54,-7.89,0.973,1.0,False,0,,uv_019514,vacuum
Fe,I,1859.64881,0.0,-3.051,VALD3,,7.28,-5.23,-7.75,0.987,1.0,False,0,,uv_019514,vacuum
CO,I,1859.67661,1.575,-1.537,VALD3,,8.05,0.0,0.0,0.14,1.0,False,0,,uv_019514,vacuum
P,I,1859.735,2.3213,-4.01,VALD3,,0.0,0.0,0.0,0.089,1.0,False,0,,uv_019514,vacuum
Fe,II,1859.74717,0.9863,-1.323,VALD3,,8.67,-6.5,-7.886,0.999,1.0,False,0,,uv_019514,vacuum
CO,I,1859.76965,1.5804,-1.505,VALD3,,8.05,0.0,0.0,0.15,1.0,False,0,,uv_019514,vacuum
CO,I,1859.87861,1.5863,-1.475,VALD3,,8.05,0.0,0.0,0.159,1.0,False,0,,uv_019514,vacuum
CO,I,1859.88241,1.8053,-1.458,VALD3,,8.05,0.0,0.0,0.094,1.0,False,0,,uv_019514,vacuum
CO,I,1859.88968,1.8053,-1.143,VALD3,,8.05,0.0,0.0,0.206,1.0,False,0,,uv_019514,vacuum
Fe,I,1859.98564,0.9146,-2.8,VALD3,,7.98,-3.98,-7.12,0.97,1.0,False,0,,uv_019514,vacuum
CO,I,1859.99346,1.5498,-1.752,VALD3,,8.05,0.0,0.0,0.095,1.0,False,0,,uv_019514,vacuum
Ni,I,1860.00155,0.2748,-3.797,VALD3,,7.68,-4.01,-7.26,0.412,1.0,False,0,,uv_019514,vacuum
CO,I,1860.0028,1.5926,-1.447,VALD3,,8.05,0.0,0.0,0.164,1.0,False,0,,uv_019514,vacuum
Fe,I,1860.00557,0.0,-4.509,VALD3,,7.82,-4.82,-7.52,0.733,1.0,False,1,,uv_019514,vacuum
Fe,II,1860.05269,1.9645,-0.535,VALD3,,8.65,-6.58,-7.784,0.999,1.0,False,0,,uv_019514,vacuum
Cr,II,1860.07483,2.5432,-1.336,VALD3,,8.41,-6.5,-7.79,0.984,1.0,False,0,,uv_019514,vacuum
CO,I,1860.08791,1.5521,-1.655,VALD3,,8.05,0.0,0.0,0.116,1.0,False,0,,uv_019514,vacuum
Fe,II,1860.13292,1.0405,-2.301,VALD3,,8.51,-6.5,-7.895,0.998,1.0,False,0,,uv_019514,vacuum
CO,I,1860.14292,1.5994,-1.42,VALD3,,8.05,0.0,0.0,0.174,1.0,False,0,,uv_019514,vacuum
CO,I,1860.19759,1.5548,-1.574,VALD3,,8.05,0.0,0.0,0.135,1.0,False,0,,uv_019514,vacuum
Co,II,1860.21599,1.4446,-2.578,VALD3,,8.61,-6.6,-7.89,0.979,1.0,False,0,,uv_019514,vacuum
Co,II,1860.21664,1.4446,-2.754,VALD3,,8.61,-6.6,-7.89,0.979,1.0,False,0,,uv_019514,vacuum
Co,II,1860.21664,1.4446,-2.405,VALD3,,8.61,-6.6,-7.89,0.979,1.0,False,0,,uv_019514,vacuum
Co,II,1860.21755,1.4446,-4.502,VALD3,,8.61,-6.6,-7.89,0.979,1.0,False,0,,uv_019514,vacuum
Co,II,1860.21766,1.4446,-2.394,VALD3,,8.61,-6.6,-7.89,0.979,1.0,False,0,,uv_019514,vacuum
Co,II,1860.2182,1.4446,-2.578,VALD3,,8.61,-6.6,-7.89,0.979,1.0,False,0,,uv_019514,vacuum
Co,II,1860.21882,1.4446,-3.076,VALD3,,8.61,-6.6,-7.89,0.979,1.0,False,0,,uv_019514,vacuum
Co,II,1860.21903,1.4446,-2.552,VALD3,,8.61,-6.6,-7.89,0.979,1.0,False,0,,uv_019514,vacuum
Co,II,1860.21973,1.4446,-2.405,VALD3,,8.61,-6.6,-7.89,0.979,1.0,False,0,,uv_019514,vacuum
Co,II,1860.22046,1.4446,-2.38,VALD3,,8.61,-6.6,-7.89,0.979,1.0,False,0,,uv_019514,vacuum
Co,II,1860.22163,1.4446,-2.394,VALD3,,8.61,-6.6,-7.89,0.979,1.0,False,0,,uv_019514,vacuum
Co,II,1860.22246,1.4446,-1.982,VALD3,,8.61,-6.6,-7.89,0.979,1.0,False,0,,uv_019514,vacuum
Co,II,1860.22388,1.4446,-2.552,VALD3,,8.61,-6.6,-7.89,0.979,1.0,False,0,,uv_019514,vacuum
Cr,II,1860.24735,4.1775,-0.555,VALD3,,8.38,-6.43,-7.894,0.957,1.0,False,0,,uv_019514,vacuum
CO,I,1860.30141,1.6065,-1.396,VALD3,,8.05,0.0,0.0,0.166,1.0,False,0,,uv_019514,vacuum
CO,I,1860.32217,1.5579,-1.475,VALD3,,8.05,0.0,0.0,0.162,1.0,False,0,,uv_019514,vacuum
Ti,II,1860.34685,2.5903,-2.15,VALD3,,8.73,-6.26,-7.6,0.217,1.0,False,0,,uv_019514,vacuum
Mn,II,1860.40904,6.8652,-0.309,VALD3,,9.05,-4.85,-7.65,0.103,1.0,False,0,,uv_019514,vacuum
CO,I,1860.46546,1.5615,-1.42,VALD3,,8.05,0.0,0.0,0.185,1.0,False,0,,uv_019514,vacuum
CO,I,1860.47446,1.6142,-1.372,VALD3,,8.05,0.0,0.0,0.186,1.0,False,0,,uv_019514,vacuum
As,I,1860.479,1.3133,-0.8,VALD3,,0.0,0.0,0.0,0.548,1.0,False,0,,uv_019514,vacuum
Mn,II,1860.51011,3.8038,-0.41,VALD3,,8.55,-6.6,-7.88,0.968,1.0,False,0,,uv_019514,vacuum
P,I,1860.611,2.3245,-3.0,VALD3,,0.0,0.0,0.0,0.641,1.0,False,0,,uv_019514,vacuum
CO,I,1860.62193,1.5656,-1.372,VALD3,,8.05,0.0,0.0,0.204,1.0,False,0,,uv_019514,vacuum
CO,I,1860.62297,1.5656,-1.77,VALD3,,8.05,0.0,0.0,0.084,1.0,False,0,,uv_019514,vacuum
CO,I,1860.66313,1.6223,-1.35,VALD3,,8.05,0.0,0.0,0.192,1.0,False,0,,uv_019514,vacuum
CO,I,1860.67143,1.8268,-1.448,VALD3,,8.05,0.0,0.0,0.088,1.0,False,0,,uv_019514,vacuum
CO,I,1860.70813,1.8268,-1.151,VALD3,,8.05,0.0,0.0,0.195,1.0,False,0,,uv_019514,vacuum
CO,I,1860.794,1.5701,-1.697,VALD3,,8.05,0.0,0.0,0.103,1.0,False,0,,uv_019514,vacuum
CO,I,1860.79504,1.5701,-1.329,VALD3,,8.05,0.0,0.0,0.221,1.0,False,0,,uv_019514,vacuum
Ni,II,1860.79712,1.8592,-2.062,VALD3,,8.77,-6.6,-7.91,0.991,1.0,False,0,,uv_019514,vacuum
CO,I,1860.86914,1.6308,-1.329,VALD3,,8.05,0.0,0.0,0.197,1.0,False,0,,uv_019514,vacuum
Fe,I,1860.9285,0.9146,-2.771,VALD3,,7.84,-3.82,-7.11,0.971,1.0,False,0,,uv_019514,vacuum
CO,I,1860.98169,1.575,-1.289,VALD3,,8.05,0.0,0.0,0.239,1.0,False,0,,uv_019514,vacuum
CO,I,1860.98238,1.575,-1.651,VALD3,,8.05,0.0,0.0,0.114,1.0,False,0,,uv_019514,vacuum
Fe,II,1861.03125,1.0405,-2.996,VALD3,,8.47,-6.5,-7.888,0.996,1.0,False,0,,uv_019514,vacuum
CO,I,1861.09356,1.6398,-1.309,VALD3,,8.05,0.0,0.0,0.202,1.0,False,0,,uv_019514,vacuum
CO,I,1861.18466,1.5804,-1.253,VALD3,,8.05,0.0,0.0,0.252,1.0,False,0,,uv_019514,vacuum
CO,I,1861.18501,1.5804,-1.61,VALD3,,8.05,0.0,0.0,0.122,1.0,False,0,,uv_019514,vacuum
Ni,I,1861.29094,0.2748,-2.925,VALD3,,7.91,-4.14,-7.26,0.932,1.0,False,0,,uv_019514,vacuum
CO,I,1861.33328,1.6493,-1.289,VALD3,,8.05,0.0,0.0,0.206,1.0,False,0,,uv_019514,vacuum
CO,I,1861.39599,1.8488,-1.195,VALD3,,8.05,0.0,0.0,0.176,1.0,False,0,,uv_019514,vacuum
CO,I,1861.40222,1.5863,-1.22,VALD3,,8.05,0.0,0.0,0.265,1.0,False,0,,uv_019514,vacuum
CO,I,1861.40361,1.5863,-1.572,VALD3,,8.05,0.0,0.0,0.127,1.0,False,0,,uv_019514,vacuum
V,II,1861.42024,3.803,-0.37,VALD3,,9.13,-5.96,-7.73,0.164,1.0,False,0,,uv_019514,vacuum
Co,II,1861.43036,5.1223,-1.093,VALD3,,8.58,-5.89,-7.66,0.169,1.0,False,0,,uv_019514,vacuum
Co,II,1861.4327,5.1223,-1.214,VALD3,,8.58,-5.89,-7.66,0.169,1.0,False,0,,uv_019514,vacuum
Co,II,1861.4327,5.1223,-2.022,VALD3,,8.58,-5.89,-7.66,0.169,1.0,False,0,,uv_019514,vacuum
Co,II,1861.43472,5.1223,-1.35,VALD3,,8.58,-5.89,-7.66,0.169,1.0,False,0,,uv_019514,vacuum
Co,II,1861.43472,5.1223,-3.235,VALD3,,8.58,-5.89,-7.66,0.169,1.0,False,0,,uv_019514,vacuum
Co,II,1861.43472,5.1223,-1.817,VALD3,,8.58,-5.89,-7.66,0.169,1.0,False,0,,uv_019514,vacuum
Co,II,1861.43644,5.1223,-2.832,VALD3,,8.58,-5.89,-7.66,0.169,1.0,False,0,,uv_019514,vacuum
Co,II,1861.43644,5.1223,-1.751,VALD3,,8.58,-5.89,-7.66,0.169,1.0,False,0,,uv_019514,vacuum
Co,II,1861.43644,5.1223,-1.506,VALD3,,8.58,-5.89,-7.66,0.169,1.0,False,0,,uv_019514,vacuum
Co,II,1861.43784,5.1223,-1.755,VALD3,,8.58,-5.89,-7.66,0.169,1.0,False,0,,uv_019514,vacuum
Co,II,1861.43784,5.1223,-1.691,VALD3,,8.58,-5.89,-7.66,0.169,1.0,False,0,,uv_019514,vacuum
Co,II,1861.43784,5.1223,-2.62,VALD3,,8.58,-5.89,-7.66,0.169,1.0,False,0,,uv_019514,vacuum
Co,II,1861.43893,5.1223,-1.816,VALD3,,8.58,-5.89,-7.66,0.169,1.0,False,0,,uv_019514,vacuum
Co,II,1861.43893,5.1223,-1.925,VALD3,,8.58,-5.89,-7.66,0.169,1.0,False,0,,uv_019514,vacuum
Co,II,1861.43893,5.1223,-2.51,VALD3,,8.58,-5.89,-7.66,0.169,1.0,False,0,,uv_019514,vacuum
Co,II,1861.43971,5.1223,-2.489,VALD3,,8.58,-5.89,-7.66,0.169,1.0,False,0,,uv_019514,vacuum
Co,II,1861.43971,5.1223,-1.938,VALD3,,8.58,-5.89,-7.66,0.169,1.0,False,0,,uv_019514,vacuum
Co,II,1861.43971,5.1223,-2.267,VALD3,,8.58,-5.89,-7.66,0.169,1.0,False,0,,uv_019514,vacuum
Co,II,1861.44018,5.1223,-2.598,VALD3,,8.58,-5.89,-7.66,0.169,1.0,False,0,,uv_019514,vacuum
Co,II,1861.44018,5.1223,-2.121,VALD3,,8.58,-5.89,-7.66,0.169,1.0,False,0,,uv_019514,vacuum
Cr,II,1861.44339,4.0722,-1.766,VALD3,,8.36,-6.44,-7.854,0.621,1.0,False,0,,uv_019514,vacuum
Mn,II,1861.44588,4.1098,-1.982,VALD3,,8.59,-6.57,-7.87,0.291,1.0,False,0,,uv_019514,vacuum
CO,I,1861.47533,1.8488,-1.439,VALD3,,8.05,0.0,0.0,0.082,1.0,False,0,,uv_019514,vacuum
Fe,II,1861.51633,2.7785,-4.765,VALD3,,8.7,-6.54,-7.89,0.135,1.0,False,1,,uv_019514,vacuum
Fe,I,1861.54838,0.0516,-3.078,VALD3,,7.68,-4.34,-7.47,0.985,1.0,False,0,,uv_019514,vacuum
CO,I,1861.59142,1.6591,-1.271,VALD3,,8.05,0.0,0.0,0.212,1.0,False,0,,uv_019514,vacuum
CO,I,1861.63717,1.5926,-1.189,VALD3,,8.05,0.0,0.0,0.278,1.0,False,0,,uv_019514,vacuum
CO,I,1861.63821,1.5926,-1.537,VALD3,,8.05,0.0,0.0,0.138,1.0,False,0,,uv_019514,vacuum
Mn,II,1861.66088,1.8326,-2.159,VALD3,,8.68,-6.53,-7.87,0.994,1.0,False,0,,uv_019514,vacuum
Mn,II,1861.66096,1.8326,-1.983,VALD3,,8.68,-6.53,-7.87,0.994,1.0,False,0,,uv_019514,vacuum
Mn,II,1861.661,1.8326,-2.129,VALD3,,8.68,-6.53,-7.87,0.994,1.0,False,0,,uv_019514,vacuum
Mn,II,1861.66221,1.8326,-1.719,VALD3,,8.68,-6.53,-7.87,0.994,1.0,False,0,,uv_019514,vacuum
Mn,II,1861.66234,1.8326,-1.867,VALD3,,8.68,-6.53,-7.87,0.994,1.0,False,0,,uv_019514,vacuum
Mn,II,1861.66242,1.8326,-2.351,VALD3,,8.68,-6.53,-7.87,0.994,1.0,False,0,,uv_019514,vacuum
Mn,II,1861.66409,1.8326,-1.43,VALD3,,8.68,-6.53,-7.87,0.994,1.0,False,0,,uv_019514,vacuum
Mn,II,1861.6643,1.8326,-1.974,VALD3,,8.68,-6.53,-7.87,0.994,1.0,False,0,,uv_019514,vacuum
Mn,II,1861.66444,1.8326,-2.752,VALD3,,8.68,-6.53,-7.87,0.994,1.0,False,0,,uv_019514,vacuum
Fe,I,1861.67709,0.1101,-2.098,VALD3,,8.05,-4.63,-7.44,0.995,1.0,False,0,,uv_019514,vacuum
Co,I,1861.73112,0.1744,-4.911,VALD3,,8.59,-5.49,-7.49,0.059,1.0,False,0,,uv_019514,vacuum
Co,I,1861.73147,0.1744,-4.523,VALD3,,8.59,-5.49,-7.49,0.059,1.0,False,0,,uv_019514,vacuum
Co,I,1861.73181,0.1744,-4.656,VALD3,,8.59,-5.49,-7.49,0.059,1.0,False,0,,uv_019514,vacuum
Co,I,1861.73216,0.1744,-4.941,VALD3,,8.59,-5.49,-7.49,0.059,1.0,False,0,,uv_019514,vacuum
Co,I,1861.73219,0.1744,-4.268,VALD3,,8.59,-5.49,-7.49,0.059,1.0,False,0,,uv_019514,vacuum
Co,I,1861.73251,0.1744,-4.468,VALD3,,8.59,-5.49,-7.49,0.059,1.0,False,0,,uv_019514,vacuum
Co,I,1861.7332,0.1744,-4.911,VALD3,,8.59,-5.49,-7.49,0.059,1.0,False,0,,uv_019514,vacuum
Co,I,1861.73327,0.1744,-4.07,VALD3,,8.59,-5.49,-7.49,0.059,1.0,False,0,,uv_019514,vacuum
Co,I,1861.73357,0.1744,-4.377,VALD3,,8.59,-5.49,-7.49,0.059,1.0,False,0,,uv_019514,vacuum
Co,I,1861.73461,0.1744,-4.962,VALD3,,8.59,-5.49,-7.49,0.059,1.0,False,0,,uv_019514,vacuum
Co,I,1861.73474,0.1744,-3.906,VALD3,,8.59,-5.49,-7.49,0.059,1.0,False,0,,uv_019514,vacuum
Co,I,1861.735,0.1744,-4.355,VALD3,,8.59,-5.49,-7.49,0.059,1.0,False,0,,uv_019514,vacuum
Co,I,1861.73639,0.1744,-5.087,VALD3,,8.59,-5.49,-7.49,0.059,1.0,False,0,,uv_019514,vacuum
Co,I,1861.7366,0.1744,-3.765,VALD3,,8.59,-5.49,-7.49,0.059,1.0,False,0,,uv_019514,vacuum
Co,I,1861.73682,0.1744,-4.409,VALD3,,8.59,-5.49,-7.49,0.059,1.0,False,0,,uv_019514,vacuum
Co,I,1861.73855,0.1744,-5.309,VALD3,,8.59,-5.49,-7.49,0.059,1.0,False,0,,uv_019514,vacuum
Co,I,1861.73903,0.1744,-4.605,VALD3,,8.59,-5.49,-7.49,0.059,1.0,False,0,,uv_019514,vacuum
Co,I,1861.74111,0.1744,-5.719,VALD3,,8.59,-5.49,-7.49,0.059,1.0,False,0,,uv_019514,vacuum
Fe,I,1861.7905,1.0111,-3.685,VALD3,,7.75,-3.45,-7.06,0.693,1.0,False,1,,uv_019514,vacuum
Si,I,1861.79494,0.781,-3.271,VALD3,,7.87,-4.33,-7.19,0.988,1.0,False,0,,uv_019514,vacuum
Cr,II,1861.79803,4.0735,-2.123,VALD3,,8.36,-6.44,-7.857,0.374,1.0,False,0,,uv_019514,vacuum
CO,I,1861.86732,1.6695,-1.253,VALD3,,8.05,0.0,0.0,0.215,1.0,False,0,,uv_019514,vacuum
CO,I,1861.88777,1.5994,-1.16,VALD3,,8.05,0.0,0.0,0.289,1.0,False,0,,uv_019514,vacuum
CO,I,1861.88847,1.5994,-1.505,VALD3,,8.05,0.0,0.0,0.146,1.0,False,0,,uv_019514,vacuum
CO,I,1862.15405,1.6065,-1.475,VALD3,,8.05,0.0,0.0,0.157,1.0,False,0,,uv_019514,vacuum
CO,I,1862.15509,1.6065,-1.132,VALD3,,8.05,0.0,0.0,0.301,1.0,False,0,,uv_019514,vacuum
CO,I,1862.17104,1.6802,-1.236,VALD3,,8.05,0.0,0.0,0.214,1.0,False,0,,uv_019514,vacuum
CO,I,1862.27854,1.8711,-1.116,VALD3,,8.05,0.0,0.0,0.197,1.0,False,0,,uv_019514,vacuum
Co,II,1862.28226,1.2166,-2.946,VALD3,,8.72,-6.54,-7.89,0.986,1.0,False,0,,uv_019514,vacuum
Co,II,1862.28301,1.2166,-1.959,VALD3,,8.72,-6.54,-7.89,0.986,1.0,False,0,,uv_019514,vacuum
Co,II,1862.28634,1.2166,-2.736,VALD3,,8.72,-6.54,-7.89,0.986,1.0,False,0,,uv_019514,vacuum
Co,II,1862.28699,1.2166,-2.117,VALD3,,8.72,-6.54,-7.89,0.986,1.0,False,0,,uv_019514,vacuum
Co,II,1862.28774,1.2166,-2.946,VALD3,,8.72,-6.54,-7.89,0.986,1.0,False,0,,uv_019514,vacuum
Co,II,1862.28989,1.2166,-2.663,VALD3,,8.72,-6.54,-7.89,0.986,1.0,False,0,,uv_019514,vacuum
Co,II,1862.29044,1.2166,-2.293,VALD3,,8.72,-6.54,-7.89,0.986,1.0,False,0,,uv_019514,vacuum
Co,II,1862.29109,1.2166,-2.736,VALD3,,8.72,-6.54,-7.89,0.986,1.0,False,0,,uv_019514,vacuum
Co,II,1862.2929,1.2166,-2.66,VALD3,,8.72,-6.54,-7.89,0.986,1.0,False,0,,uv_019514,vacuum
Co,II,1862.29336,1.2166,-2.492,VALD3,,8.72,-6.54,-7.89,0.986,1.0,False,0,,uv_019514,vacuum
Co,II,1862.29391,1.2166,-2.663,VALD3,,8.72,-6.54,-7.89,0.986,1.0,False,0,,uv_019514,vacuum
Co,II,1862.29539,1.2166,-2.71,VALD3,,8.72,-6.54,-7.89,0.986,1.0,False,0,,uv_019514,vacuum
Co,II,1862.29574,1.2166,-2.716,VALD3,,8.72,-6.54,-7.89,0.986,1.0,False,0,,uv_019514,vacuum
Co,II,1862.2962,1.2166,-2.66,VALD3,,8.72,-6.54,-7.89,0.986,1.0,False,0,,uv_019514,vacuum
Co,II,1862.29735,1.2166,-2.824,VALD3,,8.72,-6.54,-7.89,0.986,1.0,False,0,,uv_019514,vacuum
Co,II,1862.2976,1.2166,-2.959,VALD3,,8.72,-6.54,-7.89,0.986,1.0,False,0,,uv_019514,vacuum
Co,II,1862.29795,1.2166,-2.71,VALD3,,8.72,-6.54,-7.89,0.986,1.0,False,0,,uv_019514,vacuum
Al,II,1862.29827,4.659,-2.119,VALD3,,0.0,-5.36,0.0,0.99,1.0,False,0,,uv_019514,vacuum
Co,II,1862.29878,1.2166,-3.053,VALD3,,8.72,-6.54,-7.89,0.986,1.0,False,0,,uv_019514,vacuum
Co,II,1862.29893,1.2166,-3.189,VALD3,,8.72,-6.54,-7.89,0.986,1.0,False,0,,uv_019514,vacuum
Co,II,1862.29918,1.2166,-2.824,VALD3,,8.72,-6.54,-7.89,0.986,1.0,False,0,,uv_019514,vacuum
Co,II,1862.29972,1.2166,-3.2,VALD3,,8.72,-6.54,-7.89,0.986,1.0,False,0,,uv_019514,vacuum
Co,II,1862.29988,1.2166,-3.053,VALD3,,8.72,-6.54,-7.89,0.986,1.0,False,0,,uv_019514,vacuum
Al,II,1862.30392,4.6591,-1.341,VALD3,,0.0,-5.36,0.0,0.99,1.0,False,0,,uv_019514,vacuum
Al,II,1862.30528,4.659,-1.718,VALD3,,0.0,-5.36,0.0,0.99,1.0,False,0,,uv_019514,vacuum
Al,II,1862.30931,4.659,-1.234,VALD3,,0.0,-5.36,0.0,0.99,1.0,False,0,,uv_019514,vacuum
Al,II,1862.31075,4.659,-1.496,VALD3,,0.0,-5.36,0.0,0.99,1.0,False,0,,uv_019514,vacuum
Al,II,1862.31118,4.6591,-0.797,VALD3,,0.0,-5.36,0.0,0.99,1.0,False,0,,uv_019514,vacuum
Al,II,1862.31317,4.659,-1.35,VALD3,,0.0,-5.36,0.0,0.99,1.0,False,0,,uv_019514,vacuum
CO,I,1862.31461,1.8711,-1.43,VALD3,,8.05,0.0,0.0,0.081,1.0,False,0,,uv_019514,vacuum
Al,II,1862.31496,4.6591,-1.086,VALD3,,0.0,-5.36,0.0,0.99,1.0,False,0,,uv_019514,vacuum
Al,II,1862.3172,4.659,-1.526,VALD3,,0.0,-5.36,0.0,0.99,1.0,False,0,,uv_019514,vacuum
Fe,I,1862.32581,0.0516,-1.016,VALD3,,8.35,-4.97,-7.5,0.998,1.0,False,0,,uv_019514,vacuum
CO,I,1862.34687,1.6915,-1.455,VALD3,,8.05,0.0,0.0,0.138,1.0,False,0,,uv_019514,vacuum
Co,II,1862.36127,1.4037,-2.484,VALD3,,8.79,-6.54,-7.89,0.978,1.0,False,0,,uv_019514,vacuum
Co,II,1862.36137,1.4037,-2.473,VALD3,,8.79,-6.54,-7.89,0.978,1.0,False,0,,uv_019514,vacuum
Co,II,1862.3616,1.4037,-2.657,VALD3,,8.79,-6.54,-7.89,0.978,1.0,False,0,,uv_019514,vacuum
Co,II,1862.36189,1.4037,-2.631,VALD3,,8.79,-6.54,-7.89,0.978,1.0,False,0,,uv_019514,vacuum
Co,II,1862.36512,1.4037,-2.833,VALD3,,8.79,-6.54,-7.89,0.978,1.0,False,0,,uv_019514,vacuum
Co,II,1862.3662,1.4037,-4.581,VALD3,,8.79,-6.54,-7.89,0.978,1.0,False,0,,uv_019514,vacuum
Co,II,1862.3677,1.4037,-3.155,VALD3,,8.79,-6.54,-7.89,0.978,1.0,False,0,,uv_019514,vacuum
Co,II,1862.36964,1.4037,-2.459,VALD3,,8.79,-6.54,-7.89,0.978,1.0,False,0,,uv_019514,vacuum
Co,II,1862.36972,1.4037,-2.657,VALD3,,8.79,-6.54,-7.89,0.978,1.0,False,0,,uv_019514,vacuum
Co,II,1862.372,1.4038,-2.061,VALD3,,8.79,-6.54,-7.89,0.978,1.0,False,0,,uv_019514,vacuum
Co,II,1862.37263,1.4037,-2.484,VALD3,,8.79,-6.54,-7.89,0.978,1.0,False,0,,uv_019514,vacuum
Co,II,1862.37598,1.4037,-2.473,VALD3,,8.79,-6.54,-7.89,0.978,1.0,False,0,,uv_019514,vacuum
Co,II,1862.37975,1.4038,-2.631,VALD3,,8.79,-6.54,-7.89,0.978,1.0,False,0,,uv_019514,vacuum
V,II,1862.38467,2.0498,-0.327,VALD3,,8.5,-6.39,-7.85,0.939,1.0,False,0,,uv_019514,vacuum
Co,II,1862.43486,1.3277,-3.141,VALD3,,8.57,-6.54,-7.9,0.788,1.0,False,0,,uv_019514,vacuum
Co,II,1862.43671,1.3277,-3.262,VALD3,,8.57,-6.54,-7.9,0.788,1.0,False,0,,uv_019514,vacuum
CO,I,1862.43705,1.6142,-1.107,VALD3,,8.05,0.0,0.0,0.31,1.0,False,0,,uv_019514,vacuum
CO,I,1862.43809,1.6142,-1.447,VALD3,,8.05,0.0,0.0,0.166,1.0,False,0,,uv_019514,vacuum
Co,II,1862.4384,1.3277,-3.398,VALD3,,8.57,-6.54,-7.9,0.788,1.0,False,0,,uv_019514,vacuum
Co,II,1862.43992,1.3277,-3.554,VALD3,,8.57,-6.54,-7.9,0.788,1.0,False,0,,uv_019514,vacuum
Co,II,1862.44063,1.3277,-4.07,VALD3,,8.57,-6.54,-7.9,0.788,1.0,False,0,,uv_019514,vacuum
Co,II,1862.44127,1.3276,-3.739,VALD3,,8.57,-6.54,-7.9,0.788,1.0,False,0,,uv_019514,vacuum
Co,II,1862.44172,1.3277,-3.865,VALD3,,8.57,-6.54,-7.9,0.788,1.0,False,0,,uv_019514,vacuum
Co,II,1862.44245,1.3276,-3.973,VALD3,,8.57,-6.54,-7.9,0.788,1.0,False,0,,uv_019514,vacuum
Co,II,1862.44263,1.3277,-3.799,VALD3,,8.57,-6.54,-7.9,0.788,1.0,False,0,,uv_019514,vacuum
Co,II,1862.44338,1.3277,-3.803,VALD3,,8.57,-6.54,-7.9,0.788,1.0,False,0,,uv_019514,vacuum
Co,II,1862.44347,1.3276,-4.315,VALD3,,8.57,-6.54,-7.9,0.788,1.0,False,0,,uv_019514,vacuum
