element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,blend_flag,priority,notes
Ca,I,4191.3988,4.7798,-1.717,VALD3,,8.4,-3.15,-6.88,0.017,True,2,
Fe,I,4191.4299,2.4688,-0.666,VALD3,,8.18,-5.41,-7.249,0.95,True,1,
Ti,I,4191.4456,1.8732,-2.607,VALD3,,8.27,-6.06,-7.68,0.033,True,3,
V,I,4191.5129,0.267,-1.99,VALD3,,7.96,-5.96,-7.624,0.461,True,3,
V,I,4191.5662,1.9307,-0.49,VALD3,,8.26,-5.61,-7.64,0.267,True,3,
Fe,I,4191.6468,4.2605,-1.986,VALD3,,8.08,-5.54,-7.3,0.44,True,1,
Fe,I,4191.6765,2.8581,-1.493,VALD3,,8.1,-6.09,-7.778,0.881,True,1,
Mn,I,4191.7203,4.6656,-1.417,VALD3,,7.95,-6.02,-7.77,0.027,True,3,
Cr,I,4191.75,2.5446,-2.558,VALD3,,6.23,-6.16,-7.81,0.155,True,3,
V,I,4191.8139,2.5749,-0.951,VALD3,,8.33,-5.59,-7.57,0.024,True,3,
Ni,I,4192.0229,4.0882,-2.737,VALD3,,8.43,-5.2,-7.53,0.021,True,2,
Ni,II,4192.0653,4.0324,-3.27,VALD3,,8.55,-6.62,-7.91,0.018,True,2,
Fe,I,4192.0836,2.9904,-4.186,VALD3,,8.6,-5.56,-7.64,0.132,True,1,
Cr,I,4192.105,3.9796,0.193,VALD3,,8.13,-5.66,-7.74,0.603,True,3,
Co,I,4192.4563,3.1285,-2.56,VALD3,,7.92,-5.57,-7.55,0.013,False,3,
Co,I,4192.8436,2.0802,-2.435,VALD3,,7.16,-6.26,-7.82,0.195,True,3,
Cr,I,4192.9149,3.8887,-2.0,VALD3,,7.96,-6.07,-7.73,0.022,True,3,
Ni,I,4193.0953,4.2357,-1.857,VALD3,,8.39,-4.61,-7.43,0.102,True,2,
Ti,I,4193.1479,2.2968,-1.642,VALD3,,7.89,-5.11,-7.55,0.096,True,3,
Sc,I,4193.528,1.9864,-0.98,VALD3,,8.13,-4.38,-7.55,0.018,True,3,
Fe,I,4193.6049,2.4327,-3.61,VALD3,,6.52,-6.21,-7.82,0.618,True,1,
Cr,I,4193.6617,3.8495,0.248,VALD3,,8.23,-6.08,-7.75,0.654,True,3,
Ni,I,4193.7034,3.8339,-1.36,VALD3,,7.69,-3.48,-7.27,0.42,True,2,
Fe,I,4193.8017,4.3865,-2.704,VALD3,,8.18,-3.57,-7.14,0.126,True,1,
Ti,I,4193.8969,3.1042,-0.84,VALD3,,7.76,-5.22,-7.23,0.081,True,3,
Ti,I,4193.962,2.4269,-1.866,VALD3,,7.82,-5.27,-7.58,0.044,True,3,
Fe,I,4194.4885,2.7275,-3.36,VALD3,,7.8,-6.08,-7.78,0.585,False,1,
Cr,I,4194.95,3.8504,-0.646,VALD3,,8.23,-6.08,-7.75,0.336,True,3,
Fe,I,4195.0185,4.5844,-1.126,VALD3,,7.91,-4.92,-7.68,0.604,True,1,
Cr,I,4195.313,3.8904,-2.201,VALD3,,7.96,-6.07,-7.73,0.014,True,3,
Fe,I,4195.3287,3.332,-0.492,VALD3,,8.13,-4.94,-7.54,0.908,True,1,
Cr,II,4195.4155,5.3187,-1.753,VALD3,,8.54,-6.48,-7.853,0.021,True,3,
Ni,I,4195.5241,4.0882,-0.424,VALD3,,8.2,-4.8,-7.51,0.628,True,2,
V,I,4195.5928,2.5775,-0.453,VALD3,,8.33,-5.59,-7.57,0.073,True,3,
Fe,I,4195.6174,3.0173,-1.797,VALD3,,8.37,-5.75,-7.7,0.826,True,1,
V,II,4195.8569,1.6791,-3.038,VALD3,,8.48,-6.54,-7.86,0.023,False,3,
Fe,I,4196.085,4.3865,-2.179,VALD3,,8.26,-3.77,-7.22,0.301,True,1,
Cr,I,4196.1243,2.9872,-2.79,VALD3,,8.3,-5.11,-7.61,0.034,True,3,
Fe,I,4196.2083,3.3965,-0.696,VALD3,,8.17,-4.95,-7.23,0.886,True,1,
Fe,I,4196.5306,2.9488,-2.11,VALD3,,7.72,-6.21,-7.633,0.794,False,1,
Fe,I,4196.6709,2.4327,-3.002,VALD3,,6.84,-6.21,-7.82,0.758,False,1,
Fe,I,4196.9281,4.3013,-3.265,VALD3,,8.44,-5.19,-7.35,0.047,False,1,
Ni,I,4197.0523,3.8327,-2.966,VALD3,,7.95,-3.54,-7.26,0.024,True,2,
Fe,I,4197.096,0.9901,-5.278,VALD3,,6.12,-6.11,-7.81,0.632,True,1,
V,I,4197.2765,0.2619,-2.84,VALD3,,7.96,-5.96,-7.74,0.11,False,3,
V,I,4197.5976,1.8926,-0.529,VALD3,,7.5,-6.0,-7.77,0.268,True,3,
Fe,I,4197.6376,4.2833,-2.714,VALD3,,8.41,-5.43,-7.3,0.151,True,1,
Co,I,4197.8325,3.7745,-1.264,VALD3,,8.13,-5.36,-7.55,0.05,False,3,
Ti,II,4197.9605,2.0477,-3.492,VALD3,,8.35,-6.46,-7.86,0.028,False,3,
Cr,I,4198.2036,3.826,-1.066,VALD3,,8.02,-5.34,-7.51,0.182,True,3,
Fe,I,4198.2465,3.3683,-0.457,VALD3,,8.13,-4.89,-7.55,0.907,True,1,
Fe,I,4198.3036,2.3992,-0.719,VALD3,,8.18,-5.41,-7.265,0.951,True,1,
Co,I,4198.4256,0.1012,-3.945,VALD3,,4.28,-6.28,-7.82,0.547,True,3,
Fe,I,4198.5252,2.9904,-4.117,VALD3,,7.91,-5.71,-7.78,0.151,True,1,
V,I,4198.6051,0.2866,-2.16,VALD3,,7.96,-5.96,-7.621,0.356,True,3,
Cr,I,4198.6095,3.9796,-1.665,VALD3,,7.18,-6.13,-7.79,0.038,True,3,
Fe,I,4198.6338,3.417,-0.782,VALD3,,8.17,-5.0,-7.221,0.876,True,1,
Mn,I,4198.6622,4.7125,-0.324,VALD3,,7.89,-5.9,-7.77,0.221,True,3,
Fe,I,4198.7941,4.3125,-2.42,VALD3,,8.15,-3.62,-7.28,0.238,False,1,
Fe,I,4199.0948,3.0469,0.155,VALD3,,7.85,-6.13,-7.678,0.949,True,1,
Fe,I,4199.1162,4.2843,-2.838,VALD3,,8.08,-5.43,-7.3,0.12,True,1,
Fe,I,4199.2042,4.4733,-3.348,VALD3,,8.11,-4.0,-7.17,0.026,True,1,
Y,II,4199.2756,0.1042,-2.15,VALD3,,7.36,-6.23,-7.84,0.362,True,3,
Fe,I,4199.3628,2.9488,-3.268,VALD3,,7.58,-5.98,-7.82,0.522,True,1,
V,I,4199.5672,2.2779,-1.165,VALD3,,7.98,-4.27,-7.53,0.032,False,3,
V,I,4199.823,2.5805,-0.742,VALD3,,8.33,-5.59,-7.57,0.038,True,3,
Fe,I,4199.8774,4.3865,-1.134,VALD3,,8.2,-3.65,-7.14,0.656,True,1,
Fe,I,4199.9097,4.2562,-1.672,VALD3,,8.42,-6.1,-7.3,0.555,True,1,
Fe,I,4199.9836,0.0873,-5.305,VALD3,,3.14,-6.17,-7.82,0.875,True,1,
Ti,I,4200.0198,1.8792,-2.491,VALD3,,8.27,-6.06,-7.68,0.042,True,3,
Fe,I,4200.0868,3.8835,-3.435,VALD3,,7.7,-5.06,-7.41,0.086,True,1,
Cr,I,4200.1009,3.079,-1.06,VALD3,,7.31,-5.94,-7.8,0.532,True,3,
Co,I,4200.102,4.0719,-1.012,VALD3,,8.31,-4.15,-7.27,0.044,True,3,
Cr,I,4200.1652,3.8446,-0.792,VALD3,,7.84,-6.14,-7.78,0.276,True,3,
V,I,4200.1882,0.2753,-2.29,VALD3,,6.37,-6.15,-7.664,0.297,True,3,
Ti,II,4200.4135,2.0613,-3.567,VALD3,,8.35,-6.46,-7.86,0.023,True,3,
Ni,I,4200.4541,3.3061,-1.36,VALD3,,7.87,-5.42,-7.236,0.625,True,2,
Fe,I,4200.4624,4.1544,-3.349,VALD3,,8.39,-4.24,-7.29,0.055,True,1,
Fe,I,4200.6263,4.4733,-3.354,VALD3,,8.11,-3.57,-7.12,0.026,False,1,
Ti,I,4200.7446,2.2497,-0.447,VALD3,,8.09,-5.73,-7.71,0.587,True,3,
Fe,I,4200.7774,1.6079,-3.996,VALD3,,8.25,-6.06,-7.76,0.767,True,1,
V,I,4200.8961,0.017,-2.91,VALD3,,5.91,-6.09,-7.704,0.167,True,3,
Fe,I,4200.924,3.3965,-0.827,VALD3,,8.37,-5.06,-7.231,0.874,True,1,
Ti,I,4200.9278,2.1747,-2.573,VALD3,,7.88,-5.72,-7.72,0.017,True,3,
Co,I,4201.0604,1.8826,-3.597,VALD3,,5.47,-6.23,-7.8,0.027,False,3,
Co,I,4201.2959,4.0719,-0.648,VALD3,,8.31,-4.15,-7.27,0.094,False,3,
Fe,I,4201.709,3.5732,-3.392,VALD3,,8.02,-5.23,-7.67,0.178,True,1,
Ni,I,4201.7146,4.0882,-0.434,VALD3,,8.2,-5.41,-7.54,0.625,True,2,
Mn,I,4201.7734,4.2581,-0.32,VALD3,,8.34,-6.17,-7.651,0.424,True,3,
Ni,I,4201.8214,3.841,-2.886,VALD3,,7.72,-3.62,-7.28,0.028,True,2,
Ni,I,4201.8332,3.841,-2.028,VALD3,,7.72,-3.62,-7.28,0.163,True,2,
Ni,I,4201.846,3.841,-1.614,VALD3,,7.72,-3.62,-7.28,0.312,True,2,
Fe,I,4202.0288,1.4849,-0.708,VALD3,,7.99,-6.08,-7.653,0.965,False,1,
Ni,I,4202.1425,3.941,-1.39,VALD3,,8.05,-4.99,-7.53,0.358,True,2,
Fe,I,4202.2411,4.2562,-2.177,VALD3,,8.43,-4.56,-7.3,0.361,True,1,
Fe,I,4202.3347,2.5881,-2.893,VALD3,,8.0,-5.85,-7.8,0.742,True,1,
V,II,4202.3526,1.7037,-1.38,VALD3,,8.52,-6.46,-7.86,0.444,True,3,
Fe,I,4202.405,3.9597,-2.411,VALD3,,7.67,-5.16,-7.42,0.402,True,1,
Fe,I,4202.4826,4.4346,-2.268,VALD3,,8.4,-3.73,-7.15,0.245,True,1,
Fe,I,4202.7527,3.0469,-2.22,VALD3,,7.0,-6.16,-7.82,0.758,True,1,
Fe,I,4202.7642,3.0173,-4.297,VALD3,,8.07,-6.27,-7.77,0.1,True,1,
Cr,I,4203.0422,3.0004,-2.952,VALD3,,8.4,-5.04,-7.59,0.023,True,3,
Ca,I,4203.1167,2.9325,-2.107,VALD3,,8.46,-3.41,-6.76,0.359,True,2,
Mn,I,4203.1452,4.6058,-1.52,VALD3,,8.03,-6.2,-7.83,0.025,True,3,
Cr,I,4203.2627,2.5446,-2.272,VALD3,,5.39,-6.16,-7.81,0.256,True,3,
Fe,I,4203.2945,3.0176,-3.758,VALD3,,8.07,-6.29,-7.77,0.268,True,1,
V,I,4203.3018,0.2753,-2.997,VALD3,,7.96,-5.96,-7.74,0.076,True,3,
Fe,I,4203.3026,4.1544,-3.199,VALD3,,8.39,-4.42,-7.29,0.076,True,1,
Cr,I,4203.3106,2.5446,-3.107,VALD3,,5.39,-6.16,-7.81,0.049,True,3,
Fe,I,4203.402,3.2515,-4.932,VALD3,,7.16,-4.86,-7.49,0.014,True,1,
Ti,I,4203.4573,2.2497,-0.309,VALD3,,8.09,-5.83,-7.71,0.632,True,3,
Fe,I,4203.5678,1.0111,-3.869,VALD3,,6.74,-6.17,-7.82,0.894,True,1,
Cr,I,4203.589,2.5438,-1.12,VALD3,,6.08,-6.16,-7.772,0.698,True,3,
Fe,I,4203.675,4.5844,-2.495,VALD3,,8.54,-5.36,-7.63,0.124,True,1,
Ni,I,4203.7511,3.841,-3.235,VALD3,,7.66,-3.48,-7.27,0.013,True,2,
Ni,I,4203.762,3.841,-2.821,VALD3,,7.66,-3.48,-7.27,0.032,True,2,
Fe,I,4203.9379,3.6343,-0.99,VALD3,,8.03,-6.08,-7.573,0.824,True,1,
Fe,I,4203.9648,3.274,-2.743,VALD3,,7.97,-6.03,-7.79,0.577,True,1,
Fe,I,4203.9844,2.845,-1.01,VALD3,,7.88,-6.09,-7.78,0.917,True,1,
Fe,I,4204.0374,4.4456,-1.885,VALD3,,8.23,-3.56,-7.25,0.396,True,1,
Fe,I,4204.1964,4.4153,-1.305,VALD3,,8.21,-4.59,-7.26,0.607,True,1,
Cr,I,4204.2043,2.5443,-2.747,VALD3,,6.08,-6.16,-7.81,0.106,True,3,
V,II,4204.2139,1.7037,-2.45,VALD3,,8.42,-6.46,-7.86,0.079,True,3,
Cr,I,4204.465,3.9796,-0.04,VALD3,,7.09,-6.08,-7.79,0.527,True,3,
V,I,4204.5034,0.267,-3.35,VALD3,,7.96,-5.96,-7.625,0.036,True,3,
Sc,I,4204.518,1.9866,-1.09,VALD3,,8.08,-4.84,-7.55,0.014,True,3,
Y,II,4204.694,0.0,-1.76,VALD3,,7.44,-6.18,-7.8,0.616,False,3,
Fe,I,4205.0157,4.2204,-2.227,VALD3,,8.43,-4.99,-7.33,0.356,True,1,
Cr,I,4205.021,4.6164,-1.196,VALD3,,8.28,-5.88,-7.72,0.024,True,3,
V,II,4205.0503,1.6855,-1.838,VALD3,,8.48,-6.46,-7.86,0.255,True,3,
Cr,I,4205.0564,3.6477,-1.718,VALD3,,8.3,-4.49,-7.54,0.073,True,3,
V,II,4205.0842,2.036,-1.19,VALD3,,8.26,-6.54,-7.85,0.365,True,3,
Fe,I,4205.0974,2.5592,-4.745,VALD3,,7.69,-6.08,-7.82,0.112,True,1,
Fe,I,4205.1253,4.2176,-2.518,VALD3,,8.36,-4.7,-7.32,0.239,True,1,
Cr,I,4205.1398,4.5319,-1.55,VALD3,,8.07,-4.84,-7.47,0.013,True,3,
Sc,I,4205.197,1.987,-0.62,VALD3,,8.06,-4.84,-7.55,0.04,True,3,
Ti,I,4205.2989,2.3054,-1.511,VALD3,,7.89,-5.11,-7.55,0.124,True,3,
Mn,II,4205.3811,1.8094,-3.44,VALD3,,8.49,-6.57,-7.89,0.366,True,3,
Co,I,4205.4385,3.8116,-1.929,VALD3,,8.18,-5.11,-7.53,0.01,True,3,
Fe,II,4205.462,2.6419,-5.435,VALD3,,8.46,-6.57,-7.89,0.018,True,1,
Fe,I,4205.5385,3.417,-1.435,VALD3,,8.35,-5.12,-7.224,0.803,True,1,
Fe,I,4205.6164,4.4346,-3.332,VALD3,,8.17,-3.65,-7.12,0.03,True,1,
Ti,I,4205.8585,2.2556,-1.958,VALD3,,7.08,-4.24,-7.46,0.054,True,3,
Ti,II,4205.9032,1.1156,-3.981,VALD3,,8.41,-6.49,-7.84,0.085,True,3,
Co,I,4206.1476,3.5144,-1.409,VALD3,,8.06,-4.71,-7.51,0.067,True,3,
Co,I,4206.1482,2.7177,-2.496,VALD3,,8.09,-6.05,-7.78,0.041,True,3,
Fe,I,4206.3009,4.3865,-1.467,VALD3,,8.17,-3.64,-7.13,0.572,True,1,
Mn,II,4206.3667,5.3969,-1.553,VALD3,,8.45,-6.49,-7.89,0.014,True,3,
V,I,4206.5986,2.5775,-0.848,VALD3,,8.34,-4.42,-7.55,0.03,True,3,
Fe,I,4206.6117,4.4346,-1.292,VALD3,,8.16,-3.91,-7.15,0.605,True,1,
Fe,I,4206.6961,0.0516,-3.96,VALD3,,3.75,-6.17,-7.791,0.955,True,1,
Cr,I,4206.8946,4.6177,-0.357,VALD3,,8.28,-5.88,-7.72,0.139,True,3,
Ca,I,4206.9356,4.7435,-1.429,VALD3,,7.91,-2.44,-6.52,0.035,True,2,
Fe,I,4207.127,2.8316,-1.46,VALD3,,7.65,-6.16,-7.782,0.885,True,1,
Ca,I,4207.1956,4.7353,-1.645,VALD3,,7.92,-2.35,-6.53,0.022,True,2,
Mn,II,4207.2342,1.8326,-4.423,VALD3,,8.5,-6.57,-7.89,0.067,True,3,
Sc,I,4207.2696,2.0012,-1.104,VALD3,,8.13,-4.38,-7.55,0.013,True,3,
Cr,II,4207.3628,3.8267,-2.54,VALD3,,8.37,-6.49,-7.833,0.093,True,3,
Fe,I,4207.4385,4.5931,-1.904,VALD3,,7.91,-4.92,-7.68,0.321,True,1,
Co,I,4207.6135,2.7004,-2.16,VALD3,,6.63,-6.25,-7.82,0.088,False,3,
Fe,I,4208.2213,4.4346,-3.399,VALD3,,8.83,-4.27,-7.4,0.025,True,1,
Ti,I,4208.2715,2.4269,-2.396,VALD3,,8.03,-5.19,-7.46,0.013,True,3,
Cr,I,4208.3528,3.8504,-0.831,VALD3,,7.84,-6.14,-7.78,0.257,True,3,
Co,I,4208.3909,3.7132,-1.842,VALD3,,8.18,-5.45,-7.56,0.016,True,3,
Fe,I,4208.4252,4.4153,-2.113,VALD3,,8.18,-3.98,-7.25,0.315,True,1,
Fe,I,4208.4279,4.4346,-3.031,VALD3,,8.4,-4.56,-7.32,0.057,True,1,
Cr,I,4208.5195,2.9674,-2.841,VALD3,,6.24,-5.86,-7.79,0.032,True,3,
Fe,I,4208.5604,4.3865,-2.707,VALD3,,8.2,-3.92,-7.15,0.124,True,1,
Co,I,4208.5834,3.6224,-1.747,VALD3,,7.92,-4.72,-7.45,0.025,True,3,
Fe,I,4208.5928,3.3965,-2.287,VALD3,,8.19,-5.2,-7.54,0.662,True,1,
Fe,I,4208.6038,3.3965,-1.082,VALD3,,8.36,-5.1,-7.54,0.85,True,1,
Co,I,4208.7452,3.7132,-1.093,VALD3,,8.12,-5.31,-7.55,0.083,False,3,
Fe,I,4208.8549,4.4346,-3.457,VALD3,,8.18,-4.05,-7.14,0.022,True,1,
Cr,I,4208.9497,3.8495,-0.492,VALD3,,7.88,-6.1,-7.78,0.403,True,3,
Cr,I,4209.1728,3.8496,-1.177,VALD3,,7.88,-6.1,-7.78,0.141,False,3,
Ca,I,4209.3431,4.5541,-2.072,VALD3,,7.47,-4.19,-6.87,0.013,True,2,
Cr,I,4209.3626,3.8496,0.161,VALD3,,8.25,-6.1,-7.75,0.631,True,3,
Fe,I,4209.6003,4.1034,-2.766,VALD3,,8.38,-4.63,-7.29,0.194,True,1,
Mn,I,4209.657,4.6788,-1.498,VALD3,,7.92,-6.17,-7.77,0.022,True,3,
V,II,4209.7588,1.6752,-1.887,VALD3,,8.51,-6.46,-7.86,0.239,True,3,
Fe,I,4209.8281,4.3201,-1.22,VALD3,,8.2,-3.51,-7.28,0.653,True,1,
V,I,4209.853,0.3006,-1.38,VALD3,,7.93,-5.96,-7.62,0.71,True,3,
Sc,I,4209.8829,2.0099,-1.191,VALD3,,8.13,-4.39,-7.55,0.01,True,3,
Fe,I,4209.9091,4.1034,-2.968,VALD3,,8.39,-4.38,-7.29,0.135,True,1,
Ni,I,4209.9174,3.8327,-3.196,VALD3,,7.94,-3.96,-7.27,0.014,True,2,
Ni,I,4209.9246,3.8327,-2.782,VALD3,,7.94,-3.96,-7.27,0.036,True,2,
Co,I,4210.0857,3.7132,-1.515,VALD3,,8.12,-5.07,-7.53,0.033,True,3,
Ni,I,4210.1293,4.1054,-2.877,VALD3,,8.49,-5.34,-7.53,0.015,True,2,
Cr,I,4210.2474,3.8504,0.174,VALD3,,7.88,-6.1,-7.78,0.634,True,3,
Fe,I,4210.2506,4.3865,-2.705,VALD3,,8.14,-4.03,-7.12,0.125,True,1,
Fe,I,4210.343,2.4821,-0.928,VALD3,,8.18,-5.41,-7.248,0.942,True,1,
Fe,I,4210.3829,3.0713,-1.242,VALD3,,8.39,-5.77,-7.71,0.876,True,1,
V,I,4210.4006,2.2954,-1.058,VALD3,,7.98,-4.32,-7.53,0.038,True,3,
V,I,4210.4325,1.8926,-1.928,VALD3,,7.49,-5.97,-7.77,0.015,True,3,
Cr,I,4210.4373,3.8504,-2.104,VALD3,,8.25,-6.1,-7.75,0.019,True,3,
Ca,I,4210.4439,4.7435,-1.622,VALD3,,7.91,-2.03,-6.52,0.022,True,2,
Mn,I,4210.4974,4.6788,-1.504,VALD3,,7.95,-6.02,-7.77,0.021,True,3,
Cr,I,4210.7587,3.0004,-1.788,VALD3,,6.59,-6.2,-7.79,0.247,True,3,
V,I,4210.8511,2.5805,-0.765,VALD3,,8.34,-4.42,-7.55,0.036,True,3,
Fe,I,4210.8844,4.4733,-1.968,VALD3,,8.11,-3.52,-7.13,0.348,True,1,
Ni,I,4210.9126,3.8474,-2.605,VALD3,,8.17,-3.62,-7.28,0.051,True,2,
Ni,I,4210.9173,3.8474,-2.191,VALD3,,8.17,-3.62,-7.28,0.119,True,2,
Ca,I,4211.0104,4.7386,-1.453,VALD3,,7.92,-2.4,-6.53,0.033,True,2,
Ti,I,4211.2708,1.8871,-2.284,VALD3,,8.27,-6.06,-7.68,0.064,True,3,
Cr,I,4211.366,3.0869,-1.204,VALD3,,7.31,-5.94,-7.8,0.466,True,3,
Fe,I,4211.5142,4.3125,-2.638,VALD3,,8.41,-5.33,-7.39,0.163,True,1,
Cr,I,4211.5261,2.9826,-1.68,VALD3,,6.64,-6.02,-7.719,0.301,True,3,
Fe,I,4211.6465,4.2176,-2.604,VALD3,,8.36,-5.2,-7.32,0.207,True,1,
Ni,I,4211.6503,3.8339,-2.761,VALD3,,7.63,-4.05,-7.27,0.037,True,2,
Ti,I,4211.7195,2.4875,-0.644,VALD3,,8.16,-5.69,-7.65,0.376,True,3,
Mn,I,4211.745,4.2679,-0.503,VALD3,,8.3,-6.17,-7.77,0.341,True,3,
Fe,II,4211.789,2.6419,-5.303,VALD3,,8.56,-6.63,-7.789,0.025,True,1,
Fe,I,4211.8194,4.3013,-3.442,VALD3,,8.47,-5.07,-7.4,0.032,True,1,
Fe,I,4211.8245,4.2833,-2.398,VALD3,,8.45,-5.45,-7.34,0.257,True,1,
Fe,I,4212.0651,3.417,-2.955,VALD3,,8.22,-5.29,-7.57,0.427,True,1,
Fe,I,4212.0987,4.4456,-2.854,VALD3,,8.19,-3.37,-7.17,0.082,True,1,
Sc,I,4212.318,1.9864,-0.64,VALD3,,8.07,-4.84,-7.55,0.038,False,3,
Mn,I,4212.4308,2.9408,-3.246,VALD3,,6.18,-6.13,-7.77,0.029,True,3,
Sc,I,4212.481,1.9866,-0.79,VALD3,,8.08,-4.84,-7.55,0.027,True,3,
Cr,I,4212.5289,3.0106,-1.23,VALD3,,8.33,-5.38,-7.68,0.491,True,3,
Ni,I,4212.8388,3.8474,-2.74,VALD3,,8.16,-3.48,-7.27,0.038,True,2,
Ni,I,4212.8416,3.8474,-2.326,VALD3,,8.16,-3.48,-7.27,0.091,True,2,
Cr,I,4213.1753,3.079,-0.72,VALD3,,6.99,-6.16,-7.8,0.64,True,3,
Ti,I,4213.2256,2.2891,-2.04,VALD3,,7.9,-5.04,-7.55,0.042,True,3,
Fe,I,4213.3131,4.2843,-2.879,VALD3,,8.14,-5.45,-7.34,0.11,True,1,
Cr,I,4213.3316,3.8446,-0.246,VALD3,,8.19,-6.05,-7.75,0.506,True,3,
Cr,I,4213.3515,3.3752,-2.192,VALD3,,7.81,-6.12,-7.77,0.05,True,3,
Fe,I,4213.4209,2.7275,-3.822,VALD3,,7.79,-6.07,-7.81,0.383,True,1,
Fe,I,4213.4316,4.1909,-2.802,VALD3,,8.35,-4.6,-7.32,0.154,True,1,
Y,I,4213.5223,1.8534,0.044,VALD3,,8.18,-3.94,-7.51,0.036,True,3,
Fe,I,4213.6474,2.845,-1.29,VALD3,,7.74,-6.13,-7.78,0.898,True,1,
Cr,I,4213.6599,2.5443,-2.662,VALD3,,5.23,-6.16,-7.81,0.126,True,3,
V,I,4213.9111,2.5826,-0.895,VALD3,,8.34,-4.42,-7.55,0.027,False,3,
Cr,I,4214.1441,2.5446,-3.412,VALD3,,5.23,-6.16,-7.81,0.025,False,3,
Fe,I,4214.3518,2.6085,-3.119,VALD3,,8.17,-5.75,-7.78,0.689,True,1,
Cr,I,4214.4398,2.9872,-3.038,VALD3,,8.31,-5.24,-7.64,0.019,True,3,
Fe,I,4214.4799,2.4688,-3.84,VALD3,,8.18,-5.41,-7.58,0.51,True,1,
Ni,I,4214.6537,3.841,-3.216,VALD3,,7.61,-3.71,-7.27,0.013,True,2,
Ti,I,4214.7235,2.2363,-2.299,VALD3,,7.08,-4.26,-7.46,0.027,True,3,
Fe,I,4214.8294,4.0758,-1.795,VALD3,,8.22,-5.17,-7.72,0.58,True,1,
Co,I,4214.8721,1.8826,-2.927,VALD3,,5.71,-6.22,-7.8,0.115,True,3,
Fe,I,4215.423,2.9904,-1.756,VALD3,,7.36,-6.15,-7.81,0.834,True,1,
Fe,I,4215.4591,2.7586,-3.985,VALD3,,7.81,-6.09,-7.81,0.293,True,1,
Fe,I,4215.4815,2.9904,-3.38,VALD3,,7.13,-6.11,-7.82,0.451,True,1,
Ti,I,4215.5009,2.1747,-2.783,VALD3,,8.06,-5.15,-7.58,0.01,True,3,
Sr,II,4215.5192,0.0,-0.173,VALD3,,8.13,-6.22,-7.71,0.962,True,0,
Cr,I,4215.7361,3.3694,-2.487,VALD3,,7.83,-6.12,-7.77,0.026,True,3,
Cr,II,4215.7406,3.104,-2.93,VALD3,,8.29,-6.61,-7.786,0.179,True,3,
Fe,I,4215.9672,2.6924,-2.623,VALD3,,7.31,-6.22,-7.83,0.764,True,1,
Fe,I,4216.0284,4.1034,-2.89,VALD3,,8.34,-4.32,-7.33,0.155,True,1,
Sc,I,4216.083,1.985,-0.6,VALD3,,8.07,-4.84,-7.55,0.042,True,3,
Fe,I,4216.139,4.1544,-3.34,VALD3,,8.36,-4.73,-7.32,0.056,True,1,
Fe,I,4216.1464,4.5931,-1.783,VALD3,,8.54,-5.36,-7.63,0.369,True,1,
Fe,I,4216.1831,0.0,-3.356,VALD3,,4.13,-6.17,-7.797,0.963,True,1,
V,I,4216.3464,0.2866,-3.04,VALD3,,6.37,-6.16,-7.79,0.068,True,3,
Cr,I,4216.3584,3.0133,-0.805,VALD3,,8.33,-5.38,-7.68,0.637,True,3,
V,I,4216.3637,0.2753,-3.095,VALD3,,7.96,-5.96,-7.74,0.062,True,3,
Fe,I,4216.4751,4.3125,-0.842,VALD3,,8.33,-4.35,-7.33,0.723,False,1,
Fe,I,4216.6031,4.1909,-2.138,VALD3,,8.35,-4.64,-7.32,0.406,False,1,
Fe,I,4216.7859,4.4346,-1.497,VALD3,,8.13,-3.8,-7.14,0.543,True,1,
Ti,I,4216.7891,2.2916,-1.938,VALD3,,7.9,-5.04,-7.55,0.052,True,3,
Fe,I,4216.8064,4.3714,-1.187,VALD3,,8.19,-4.17,-7.27,0.646,True,1,
Cr,II,4217.056,3.1049,-2.821,VALD3,,8.29,-6.61,-7.786,0.213,True,3,
Ti,I,4217.0786,2.2492,-1.972,VALD3,,7.09,-4.28,-7.46,0.053,True,3,
Ti,I,4217.2339,3.1081,-0.886,VALD3,,7.77,-5.22,-7.23,0.073,True,3,
Ti,II,4217.3184,2.0613,-3.827,VALD3,,8.35,-6.46,-7.86,0.012,True,3,
Fe,I,4217.5454,3.4302,-0.484,VALD3,,8.17,-5.0,-7.222,0.898,True,1,
Cr,I,4217.6093,3.0106,-0.749,VALD3,,8.4,-5.04,-7.59,0.651,True,3,
Ni,I,4217.7782,3.5421,-3.612,VALD3,,8.17,-4.78,-7.32,0.011,True,2,
Ni,I,4217.7817,3.5421,-3.198,VALD3,,8.17,-4.78,-7.32,0.028,True,2,
Y,I,4217.7977,1.3054,-0.543,VALD3,,7.79,-5.23,-7.58,0.038,True,3,
V,I,4217.963,2.5805,-0.981,VALD3,,8.34,-4.71,-7.54,0.023,True,3,
Ni,I,4217.9834,3.8474,-3.208,VALD3,,8.14,-3.54,-7.26,0.013,True,2,
Co,I,4218.0116,2.5418,-2.762,VALD3,,8.42,-5.86,-7.76,0.035,True,3,
Cr,I,4218.0741,4.5319,-1.636,VALD3,,8.09,-5.17,-7.56,0.011,True,3,
