element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,blend_flag,priority,notes
V,I,3784.6685,0.0401,-2.63,VALD3,,8.14,-5.97,-7.615,0.281,True,3,
V,I,3784.7245,1.7123,-0.617,VALD3,,7.76,-5.36,-7.75,0.351,True,3,
Ca,I,3784.7264,4.443,-1.618,VALD3,,8.07,-2.47,-6.72,0.054,True,2,
V,I,3784.8201,1.9496,-1.04,VALD3,,8.15,-5.95,-7.53,0.099,True,3,
Fe,I,3784.8433,4.1909,-2.631,VALD3,,8.47,-5.17,-7.31,0.24,True,1,
Cr,I,3784.8743,3.323,-2.1,VALD3,,8.39,-4.41,-7.53,0.077,True,3,
Fe,I,3785.0141,2.4242,-3.986,VALD3,,7.81,-6.09,-7.81,0.52,True,1,
Ca,I,3785.0273,4.441,-2.258,VALD3,,7.7,-2.1,-6.45,0.013,True,2,
Cr,I,3785.2085,2.7079,-1.636,VALD3,,7.46,-4.7,-7.56,0.517,False,3,
Mn,I,3785.4161,3.853,-0.9,VALD3,,8.03,-6.31,-7.142,0.419,False,3,
Fe,I,3785.6485,3.9433,-2.599,VALD3,,8.07,-5.54,-7.3,0.375,True,1,
Fe,I,3785.706,3.2367,-1.375,VALD3,,8.05,-6.09,-7.688,0.881,True,1,
Cr,I,3785.7139,3.3212,-2.21,VALD3,,8.4,-4.49,-7.54,0.062,True,3,
Fe,I,3785.7768,4.1864,-2.026,VALD3,,8.47,-4.81,-7.4,0.517,True,1,
Fe,I,3785.7795,3.332,-3.009,VALD3,,8.05,-5.28,-7.51,0.502,True,1,
Fe,I,3785.7881,3.417,-1.628,VALD3,,8.05,-4.77,-7.51,0.826,True,1,
V,I,3785.8898,2.2474,-0.583,VALD3,,8.13,-4.95,-7.45,0.129,True,3,
Fe,I,3785.9479,2.4327,-0.937,VALD3,,6.79,-6.19,-7.71,0.963,True,1,
Ti,I,3785.9598,2.6766,-1.344,VALD3,,7.85,-4.15,-7.29,0.083,True,3,
Ti,I,3786.0437,0.8995,-0.19,VALD3,,8.16,-5.79,-7.636,0.942,True,3,
Fe,I,3786.1489,2.8316,-1.318,VALD3,,7.91,-6.2,-7.79,0.926,True,1,
Fe,I,3786.1869,2.8316,-0.9,VALD3,,7.58,-6.17,-7.739,0.947,True,1,
Cr,I,3786.2156,2.7088,-1.425,VALD3,,7.46,-4.7,-7.56,0.614,True,3,
Ti,I,3786.2546,1.8871,-0.937,VALD3,,7.88,-5.66,-7.72,0.614,True,3,
Ti,II,3786.3232,0.6072,-2.6,VALD3,,8.39,-6.39,-7.84,0.819,True,3,
Fe,II,3786.3656,2.3417,-4.956,VALD3,,8.46,-6.57,-7.89,0.12,True,1,
Fe,I,3786.6766,1.0111,-2.225,VALD3,,6.72,-6.13,-7.648,0.975,True,1,
Ti,I,3786.7296,0.8995,-3.624,VALD3,,7.55,-6.12,-7.77,0.042,True,3,
Fe,I,3786.7423,3.4302,-3.324,VALD3,,8.03,-4.66,-7.51,0.295,True,1,
Mn,I,3786.8267,4.6058,-1.12,VALD3,,7.94,-6.22,-7.335,0.069,True,3,
Co,I,3786.9637,2.0418,-2.564,VALD3,,6.24,-6.26,-7.82,0.184,True,3,
Cr,I,3786.9766,3.3223,-2.315,VALD3,,8.4,-4.49,-7.54,0.049,True,3,
Ca,I,3787.0743,4.4506,-0.469,VALD3,,8.04,-2.57,-6.72,0.402,True,2,
Fe,I,3787.1353,4.0758,-2.401,VALD3,,7.25,-3.64,-7.32,0.402,True,1,
V,I,3787.1383,1.8726,-0.7,VALD3,,8.3,-6.15,-7.69,0.228,True,3,
V,I,3787.1562,0.0,-3.8,VALD3,,8.14,-5.98,-7.624,0.028,True,3,
Fe,I,3787.1633,3.6398,-0.96,VALD3,,8.29,-6.21,-7.542,0.869,True,1,
V,II,3787.2392,2.5222,-0.59,VALD3,,8.26,-6.46,-7.87,0.447,True,3,
Co,I,3787.3413,2.6304,-2.0,VALD3,,7.91,-6.14,-7.81,0.158,True,3,
Mn,I,3787.4287,4.2581,-1.776,VALD3,,7.98,-6.14,-7.77,0.037,True,3,
V,I,3787.5393,1.8926,0.044,VALD3,,8.34,-6.15,-7.71,0.595,True,3,
Ti,I,3787.6259,0.0211,-3.46,VALD3,,7.94,-6.05,-7.76,0.391,True,3,
Ca,I,3787.7056,4.4506,-1.644,VALD3,,8.04,-2.58,-6.72,0.05,True,2,
Cr,I,3787.7847,3.323,-2.433,VALD3,,8.4,-4.49,-7.54,0.038,True,3,
Cr,II,3787.797,2.5432,-4.545,VALD3,,8.36,-6.55,-7.8,0.028,True,3,
Fe,I,3787.8302,3.9433,-3.341,VALD3,,7.71,-4.89,-7.18,0.104,True,1,
Fe,I,3787.8799,1.0111,-0.859,VALD3,,8.16,-6.11,-7.682,0.979,True,1,
Fe,II,3787.8925,1.9645,-5.999,VALD3,,8.54,-6.58,-7.9,0.031,True,1,
Fe,I,3787.9351,4.0758,-1.9,VALD3,,7.24,-4.26,-7.33,0.613,True,1,
Fe,I,3787.9734,4.0758,-2.08,VALD3,,7.31,-3.57,-7.32,0.546,True,1,
Fe,I,3787.9766,4.1426,-3.447,VALD3,,7.1,-4.56,-7.07,0.053,True,1,
Fe,I,3788.0383,4.0758,-1.574,VALD3,,7.61,-3.84,-7.33,0.704,True,1,
Fe,I,3788.0586,4.0758,-1.389,VALD3,,7.26,-3.99,-7.3,0.741,True,1,
Cr,I,3788.0801,4.2074,-1.838,VALD3,,8.07,-4.84,-7.47,0.018,True,3,
Ca,I,3788.1097,2.709,-3.106,VALD3,,6.08,-2.85,-6.57,0.112,True,2,
Ca,I,3788.1312,4.43,-2.133,VALD3,,7.72,-2.13,-6.44,0.018,True,2,
Fe,I,3788.2027,3.8816,-4.152,VALD3,,8.14,-4.87,-7.32,0.021,True,1,
Cr,I,3788.203,4.2075,-1.475,VALD3,,8.07,-4.84,-7.47,0.039,True,3,
Fe,I,3788.4296,4.0758,-1.518,VALD3,,7.31,-4.29,-7.33,0.716,True,1,
V,I,3788.4364,1.8726,-1.508,VALD3,,8.13,-5.62,-7.63,0.044,True,3,
Co,I,3788.4602,3.5679,-1.518,VALD3,,8.05,-5.1,-7.45,0.054,True,3,
V,I,3788.4953,2.2692,-0.739,VALD3,,8.0,-5.43,-7.5,0.089,True,3,
Y,II,3788.6935,0.1042,-0.07,VALD3,,8.3,-6.23,-7.8,0.94,False,3,
Ti,I,3788.7991,0.048,-2.97,VALD3,,7.94,-6.05,-7.647,0.658,True,3,
Ni,I,3788.817,3.7057,-1.853,VALD3,,8.04,-3.56,-7.27,0.318,True,2,
Cr,I,3788.8594,3.01,-0.545,VALD3,,8.26,-4.46,-7.36,0.757,True,3,
Cr,I,3789.0804,2.5443,-3.064,VALD3,,7.39,-5.76,-7.77,0.06,True,3,
Fe,I,3789.1755,2.7275,-1.291,VALD3,,7.85,-6.13,-7.684,0.936,True,1,
Ti,I,3789.2939,1.4601,-0.56,VALD3,,8.49,-5.8,-7.63,0.836,True,3,
Fe,I,3789.3065,2.6924,-1.433,VALD3,,6.24,-6.19,-7.82,0.931,True,1,
Fe,I,3789.3066,2.2786,-3.971,VALD3,,8.17,-5.75,-7.78,0.605,True,1,
Fe,I,3789.3266,3.6416,-3.971,VALD3,,8.29,-6.21,-7.73,0.054,True,1,
Co,I,3789.3303,3.6224,-0.786,VALD3,,8.04,-4.74,-7.46,0.209,True,3,
Cr,I,3789.4719,2.5446,-1.739,VALD3,,7.39,-5.76,-7.77,0.556,True,3,
Cr,I,3789.5109,2.5446,-1.626,VALD3,,7.39,-5.76,-7.77,0.608,True,3,
Fe,I,3789.5738,2.6085,-2.915,VALD3,,7.5,-6.14,-7.81,0.787,True,1,
Fe,I,3789.719,4.1034,-2.64,VALD3,,8.37,-3.8,-7.14,0.275,True,1,
Cr,I,3789.7243,0.9684,-2.839,VALD3,,6.03,-6.19,-7.79,0.8,True,3,
Ti,I,3789.7278,2.6954,-1.764,VALD3,,7.84,-4.19,-7.29,0.032,True,3,
Fe,I,3789.7351,4.1544,-3.233,VALD3,,8.37,-4.0,-7.17,0.081,True,1,
Fe,I,3789.8161,3.3683,-1.23,VALD3,,8.06,-4.45,-7.2,0.878,True,1,
Fe,I,3789.9048,3.9841,-2.899,VALD3,,8.13,-5.19,-7.35,0.222,True,1,
Fe,I,3790.0927,0.9901,-1.761,VALD3,,6.74,-6.13,-7.652,0.978,True,1,
Cr,I,3790.1008,2.7079,-1.718,VALD3,,7.74,-4.74,-7.54,0.475,True,3,
Cr,I,3790.1123,4.0964,-1.51,VALD3,,8.5,-6.15,-7.61,0.046,True,3,
Ca,I,3790.1469,4.4506,-2.24,VALD3,,7.7,-3.02,-6.45,0.014,True,2,
Fe,I,3790.1511,4.1909,-3.384,VALD3,,8.4,-3.43,-7.1,0.054,True,1,
Mn,I,3790.209,2.1142,-0.915,VALD3,,7.76,-6.14,-7.679,0.902,True,3,
Cr,I,3790.2222,3.0111,-0.923,VALD3,,8.26,-4.46,-7.36,0.668,True,3,
Fe,I,3790.2379,2.5592,-4.623,VALD3,,8.2,-5.85,-7.75,0.157,True,1,
V,I,3790.318,2.5749,-0.647,VALD3,,8.22,-5.84,-7.7,0.053,True,3,
V,I,3790.3237,0.2753,-0.83,VALD3,,7.66,-6.1,-7.746,0.872,True,3,
Fe,I,3790.41,3.8835,-3.098,VALD3,,8.15,-4.87,-7.32,0.188,True,1,
Cr,I,3790.4491,3.0111,-0.463,VALD3,,8.31,-5.84,-7.68,0.77,True,3,
V,I,3790.4603,1.3763,-0.41,VALD3,,8.18,-5.92,-7.698,0.657,True,3,
Cr,I,3790.4899,4.1055,-1.964,VALD3,,7.84,-5.14,-7.75,0.017,True,3,
Fe,I,3790.4951,3.3965,-1.923,VALD3,,8.05,-4.94,-7.51,0.789,True,1,
Cr,I,3790.5069,3.4348,-1.217,VALD3,,7.8,-6.19,-7.78,0.323,True,3,
Fe,I,3790.6536,3.0385,-1.545,VALD3,,8.14,-5.17,-7.55,0.889,True,1,
Fe,I,3790.7428,2.4844,-4.478,VALD3,,8.47,-6.08,-7.8,0.239,True,1,
Fe,I,3790.754,2.1759,-1.837,VALD3,,8.19,-5.79,-7.76,0.947,True,1,
Fe,I,3790.8934,4.1544,-2.239,VALD3,,8.38,-3.57,-7.12,0.436,False,1,
Mn,I,3791.0842,4.8273,-1.33,VALD3,,7.57,-6.19,-7.79,0.027,True,3,
Fe,I,3791.109,3.4149,-2.184,VALD3,,7.81,-4.17,-7.53,0.74,True,1,
Cr,I,3791.1105,2.7088,-3.495,VALD3,,7.74,-4.74,-7.54,0.016,True,3,
Sc,I,3791.1848,1.9958,-0.882,VALD3,,7.72,-5.07,-7.63,0.024,True,3,
Cr,I,3791.2205,2.7099,-1.395,VALD3,,7.6,-5.87,-7.79,0.625,True,3,
V,I,3791.3171,0.017,-2.76,VALD3,,8.14,-5.98,-7.621,0.233,True,3,
Cr,I,3791.3746,3.0111,-0.36,VALD3,,8.26,-4.44,-7.35,0.787,True,3,
Fe,I,3791.4604,4.1034,-2.935,VALD3,,8.38,-3.64,-7.12,0.164,True,1,
Fe,I,3791.5053,2.5592,-1.976,VALD3,,7.55,-5.75,-7.691,0.906,True,1,
Ti,I,3791.5497,2.6954,-1.376,VALD3,,7.85,-4.18,-7.29,0.074,True,3,
Fe,I,3791.7417,3.417,-1.39,VALD3,,8.06,-4.04,-7.17,0.853,True,1,
Cr,I,3791.8228,3.3694,-2.194,VALD3,,7.72,-4.65,-7.49,0.057,True,3,
Cr,I,3792.1344,3.0128,-0.29,VALD3,,8.26,-4.46,-7.36,0.797,True,3,
Cr,I,3792.1538,3.1044,-3.214,VALD3,,6.56,-6.14,-7.8,0.011,True,3,
Fe,I,3792.1538,2.7275,-1.427,VALD3,,7.0,-6.16,-7.809,0.928,True,1,
Cr,I,3792.2357,2.7088,-2.378,VALD3,,7.88,-5.02,-7.65,0.17,True,3,
Ni,I,3792.3309,0.2748,-5.273,VALD3,,5.94,-6.28,-7.82,0.51,True,2,
Ni,I,3792.334,0.2748,-4.679,VALD3,,5.94,-6.28,-7.82,0.769,True,2,
Ni,I,3792.3354,0.2748,-5.183,VALD3,,5.94,-6.28,-7.82,0.561,True,2,
Ni,I,3792.3366,0.2748,-3.821,VALD3,,5.94,-6.28,-7.82,0.905,True,2,
Ni,I,3792.3396,0.2748,-3.407,VALD3,,5.94,-6.28,-7.82,0.939,True,2,
Cr,I,3792.3863,2.5438,-1.318,VALD3,,7.9,-5.85,-7.75,0.711,True,3,
Cr,I,3792.4184,2.7099,-1.363,VALD3,,7.74,-4.74,-7.54,0.637,True,3,
Y,II,3792.4349,3.5454,-0.24,VALD3,,8.78,-5.56,-7.62,0.013,True,3,
Co,I,3792.4834,0.9227,-4.129,VALD3,,4.13,-6.25,-7.82,0.094,True,3,
Fe,I,3792.8266,2.2227,-2.496,VALD3,,7.65,-6.16,-7.798,0.9,True,1,
V,I,3792.8792,2.2424,-1.294,VALD3,,7.92,-4.93,-7.45,0.029,True,3,
Cr,I,3792.8872,2.5443,-1.63,VALD3,,7.9,-5.85,-7.75,0.606,True,3,
Cr,I,3793.0879,4.099,-0.943,VALD3,,8.5,-6.15,-7.61,0.149,False,3,
Cr,I,3793.2795,2.5446,-2.523,VALD3,,7.9,-5.85,-7.75,0.181,True,3,
Fe,I,3793.2838,3.0385,-3.159,VALD3,,8.25,-5.38,-7.54,0.582,True,1,
Cr,I,3793.288,3.0128,-0.259,VALD3,,8.26,-4.44,-7.35,0.801,True,3,
Mn,I,3793.2995,4.3537,-2.225,VALD3,,7.92,-6.07,-7.77,0.011,True,3,
Fe,I,3793.3542,3.0385,-1.052,VALD3,,8.35,-5.28,-7.54,0.925,True,1,
V,I,3793.3902,2.3315,-1.362,VALD3,,8.12,-5.91,-7.71,0.02,True,3,
Fe,I,3793.4552,3.8816,-2.795,VALD3,,8.06,-5.12,-7.29,0.313,True,1,
Fe,I,3793.4801,2.998,-0.922,VALD3,,8.27,-5.78,-7.54,0.936,True,1,
Cr,I,3793.5443,2.7099,-1.938,VALD3,,7.88,-5.02,-7.65,0.358,True,3,
Ni,I,3793.5491,3.6785,-2.444,VALD3,,7.59,-4.19,-7.15,0.119,True,2,
Ni,I,3793.581,0.2748,-4.983,VALD3,,8.1,-6.14,-7.81,0.663,True,2,
Fe,I,3793.5846,3.3965,-1.328,VALD3,,8.05,-4.38,-7.51,0.863,True,1,
Ni,I,3793.591,0.2748,-4.389,VALD3,,8.1,-6.14,-7.81,0.831,True,2,
Ni,I,3793.596,0.2748,-4.893,VALD3,,8.1,-6.14,-7.81,0.7,True,2,
Ni,I,3793.601,0.2748,-3.531,VALD3,,8.1,-6.14,-7.81,0.931,True,2,
V,I,3793.6099,0.0,-1.99,VALD3,,8.02,-5.96,-7.624,0.668,True,3,
Ni,I,3793.611,0.2748,-3.117,VALD3,,8.1,-6.14,-7.81,0.953,True,2,
Ti,I,3793.6746,2.3341,-1.264,VALD3,,8.61,-5.4,-7.61,0.204,True,3,
V,I,3793.7054,1.7112,-1.295,VALD3,,7.99,-5.45,-7.73,0.1,True,3,
Fe,I,3793.8711,2.845,-1.401,VALD3,,7.49,-6.14,-7.737,0.919,True,1,
Cr,I,3793.8726,3.0133,-0.267,VALD3,,8.26,-4.44,-7.35,0.8,True,3,
Ni,I,3793.8857,3.6988,-2.559,VALD3,,7.93,-3.82,-7.27,0.09,True,2,
Ti,I,3794.057,1.8732,-2.561,VALD3,,8.03,-5.59,-7.7,0.04,False,3,
Fe,I,3794.2966,3.9841,-3.482,VALD3,,8.56,-4.97,-7.41,0.07,True,1,
Fe,I,3794.3391,2.4534,-1.006,VALD3,,6.76,-6.19,-7.707,0.96,True,1,
V,II,3794.3565,2.5222,-1.14,VALD3,,8.26,-6.46,-7.87,0.214,True,3,
Mn,I,3794.4873,5.1119,-1.004,VALD3,,7.92,-6.08,-7.77,0.028,True,3,
Cr,I,3794.5043,4.2039,-1.606,VALD3,,8.09,-5.17,-7.56,0.03,True,3,
Fe,I,3794.5825,3.9597,-2.604,VALD3,,8.14,-5.45,-7.34,0.363,True,1,
Cr,I,3794.6086,3.0106,-0.383,VALD3,,8.32,-5.32,-7.64,0.783,True,3,
Ti,I,3794.742,1.0666,-2.35,VALD3,,7.75,-6.1,-7.73,0.351,False,3,
