element,ion,wavelength_air_A,excitation_potential_eV,log_gf,loggf_source,nist_grade,damping_rad,damping_stark,damping_vdW,central_depth,vald_proximity_flag,blend_flag,priority,notes
CO,I,1674.17254,1.5656,-1.684,VALD3,,8.05,0.0,0.0,0.056,1.0,False,0,
CO,I,1674.17394,1.4933,-1.469,VALD3,,8.05,0.0,0.0,0.106,1.0,False,0,
CO,I,1674.17534,1.4933,-1.793,VALD3,,8.05,0.0,0.0,0.054,1.0,False,0,
CO,I,1674.22804,0.9151,-2.187,VALD3,,8.05,0.0,0.0,0.104,1.0,False,0,
Fe,II,1674.25694,0.3013,-1.344,VALD3,,8.52,-6.62,-7.81,0.965,1.0,False,1,
CO,I,1674.31522,1.1435,0.1,VALD3,,8.05,0.0,0.0,0.895,1.0,False,0,
CO,I,1674.34157,1.1435,-0.214,VALD3,,8.05,0.0,0.0,0.833,1.0,False,0,
Fe,II,1674.44118,0.3013,-2.45,VALD3,,8.51,-6.62,-7.812,0.93,1.0,False,1,
CO,I,1674.47306,0.9885,-0.948,VALD3,,8.05,0.0,0.0,0.623,1.0,False,0,
CO,I,1674.52241,0.9151,-1.097,VALD3,,8.05,0.0,0.0,0.593,1.0,False,0,
CO,I,1674.5297,0.9151,-0.784,VALD3,,8.05,0.0,0.0,0.743,1.0,False,0,
CO,I,1674.57316,1.7187,-0.322,VALD3,,8.05,0.0,0.0,0.464,1.0,False,0,
P,I,1674.595,0.0,-0.05,VALD3,,0.0,0.0,0.0,0.967,1.0,False,1,
CO,I,1674.62925,1.2936,-0.142,VALD3,,8.05,0.0,0.0,0.798,1.0,False,0,
Fe,II,1674.63046,1.6706,-3.239,VALD3,,8.52,-6.61,-7.793,0.097,1.0,False,1,
Fe,II,1674.63219,0.2322,-2.869,VALD3,,8.49,-6.6,-7.808,0.894,1.0,False,1,
Fe,II,1674.71695,0.3865,-1.115,VALD3,,8.62,-6.58,-7.794,0.966,1.0,False,1,
CO,I,1674.72404,1.5068,-1.455,VALD3,,8.05,0.0,0.0,0.105,1.0,False,0,
CO,I,1674.72545,1.5068,-1.778,VALD3,,8.05,0.0,0.0,0.053,1.0,False,0,
CO,I,1674.73835,1.5814,-1.672,VALD3,,8.05,0.0,0.0,0.055,1.0,False,0,
CO,I,1674.87832,1.0023,-0.934,VALD3,,8.05,0.0,0.0,0.62,1.0,False,0,
CO,I,1674.90412,0.9262,-0.749,VALD3,,8.05,0.0,0.0,0.751,1.0,False,0,
CO,I,1674.91703,0.9262,-1.077,VALD3,,8.05,0.0,0.0,0.595,1.0,False,0,
CO,I,1675.17123,1.1674,0.109,VALD3,,8.05,0.0,0.0,0.891,1.0,False,0,
Si,I,1675.205,0.0277,-0.87,VALD3,,7.85,-4.29,-7.18,0.968,1.0,False,1,
CO,I,1675.29275,1.5209,-1.441,VALD3,,8.05,0.0,0.0,0.104,1.0,False,0,
CO,I,1675.29499,1.5209,-1.763,VALD3,,8.05,0.0,0.0,0.052,1.0,False,0,
CO,I,1675.2992,1.0166,-0.921,VALD3,,8.05,0.0,0.0,0.618,1.0,False,0,
CO,I,1675.30706,1.1674,-0.205,VALD3,,8.05,0.0,0.0,0.827,1.0,False,0,
CO,I,1675.32194,1.5976,-1.66,VALD3,,8.05,0.0,0.0,0.053,1.0,False,0,
CO,I,1675.32699,0.9377,-0.732,VALD3,,8.05,0.0,0.0,0.752,1.0,False,0,
CO,I,1675.33709,0.9377,-1.059,VALD3,,8.05,0.0,0.0,0.597,1.0,False,0,
CO,I,1675.3705,1.3201,-0.134,VALD3,,8.05,0.0,0.0,0.789,1.0,False,0,
V,II,1675.57739,0.323,-1.225,VALD3,,7.94,-6.43,-7.87,0.15,1.0,False,2,
Fe,I,1675.61259,0.0516,-4.749,VALD3,,8.62,-4.78,-7.46,0.072,1.0,False,1,
CO,I,1675.61501,1.7435,-0.314,VALD3,,8.05,0.0,0.0,0.452,1.0,False,0,
Fe,I,1675.6247,0.0,-2.655,VALD3,,7.44,-4.3,-7.29,0.878,1.0,False,1,
CO,I,1675.65684,0.9497,-1.041,VALD3,,8.05,0.0,0.0,0.599,1.0,False,0,
CO,I,1675.73182,0.9497,-0.715,VALD3,,8.05,0.0,0.0,0.753,1.0,False,0,
CO,I,1675.73856,1.0313,-0.908,VALD3,,8.05,0.0,0.0,0.615,1.0,False,0,
Fe,I,1675.7966,0.0,-4.194,VALD3,,7.15,-4.35,-7.23,0.238,1.0,False,1,
Fe,I,1675.82893,0.0,-3.72,VALD3,,7.28,-4.06,-7.24,0.474,1.0,False,1,
Fe,I,1675.83788,0.0873,-3.152,VALD3,,8.52,-4.33,-7.37,0.702,1.0,False,1,
Fe,I,1675.83909,0.0,-4.925,VALD3,,7.11,-4.17,-7.19,0.055,1.0,False,1,
Fe,I,1675.84283,0.0,-4.241,VALD3,,7.29,-4.61,-7.28,0.219,1.0,False,1,
CO,I,1675.88094,1.5353,-1.427,VALD3,,8.05,0.0,0.0,0.103,1.0,False,0,
CO,I,1675.88487,1.5353,-1.749,VALD3,,8.05,0.0,0.0,0.051,1.0,False,0,
Fe,II,1675.91495,1.6706,-2.81,VALD3,,8.67,-6.54,-7.795,0.216,1.0,False,1,
CO,I,1675.92504,1.6143,-1.649,VALD3,,8.05,0.0,0.0,0.051,1.0,False,0,
CO,I,1675.98936,1.1918,-0.36,VALD3,,8.05,0.0,0.0,0.769,1.0,False,0,
CO,I,1676.04891,1.1918,0.117,VALD3,,8.05,0.0,0.0,0.887,1.0,False,0,
CO,I,1676.16943,0.9622,-1.259,VALD3,,8.05,0.0,0.0,0.468,1.0,False,0,
CO,I,1676.18095,0.9622,-0.699,VALD3,,8.05,0.0,0.0,0.753,1.0,False,0,
CO,I,1676.19359,1.0465,-0.895,VALD3,,8.05,0.0,0.0,0.611,1.0,False,0,
Fe,II,1676.36216,0.3013,-2.255,VALD3,,8.45,-6.65,-7.803,0.943,0.635607,False,1,
CO,I,1676.48865,1.5502,-1.414,VALD3,,8.05,0.0,0.0,0.105,1.0,False,0,
CO,I,1676.49793,1.5502,-1.735,VALD3,,8.05,0.0,0.0,0.054,1.0,False,0,
CO,I,1676.54937,1.6314,-1.638,VALD3,,8.05,0.0,0.0,0.053,1.0,False,0,
Ti,II,1676.5499,1.2369,-1.432,VALD3,,9.0,-5.77,-7.67,0.064,1.0,False,1,
CO,I,1676.6351,0.9751,-1.014,VALD3,,8.05,0.0,0.0,0.596,1.0,False,0,
CO,I,1676.64297,0.9751,-0.683,VALD3,,8.05,0.0,0.0,0.753,1.0,False,0,
CO,I,1676.6663,1.0622,-0.883,VALD3,,8.05,0.0,0.0,0.607,1.0,False,0,
Fe,II,1676.72619,0.2322,-3.294,VALD3,,8.49,-6.6,-7.808,0.805,1.0,False,1,
Fe,I,1676.72711,0.0516,-3.306,VALD3,,7.21,-4.07,-7.07,0.654,1.0,False,1,
Si,I,1676.82074,0.0,-2.416,VALD3,,7.76,-4.38,-7.19,0.962,1.0,False,1,
CO,I,1676.82234,0.9622,-1.403,VALD3,,8.05,0.0,0.0,0.387,1.0,False,0,
Fe,II,1676.85662,0.3013,-1.639,VALD3,,8.49,-6.63,-7.812,0.962,1.0,False,1,
V,II,1676.85974,0.3482,-1.658,VALD3,,7.72,-6.42,-7.87,0.056,1.0,False,2,
CO,I,1676.89686,1.2166,-0.188,VALD3,,8.05,0.0,0.0,0.814,1.0,False,0,
Fe,I,1676.94767,0.0873,-2.757,VALD3,,7.42,-4.13,-7.07,0.833,1.0,False,1,
CO,I,1676.9531,1.2166,0.125,VALD3,,8.05,0.0,0.0,0.883,1.0,False,0,
CO,I,1677.04225,0.9885,-1.154,VALD3,,8.05,0.0,0.0,0.948,1.0,False,0,
CO,I,1677.05997,1.5656,-1.722,VALD3,,8.05,0.0,0.0,0.544,1.0,False,0,
CO,I,1677.06025,1.5656,-1.401,VALD3,,8.05,0.0,0.0,0.73,1.0,False,0,
CO,I,1677.11228,0.9885,-0.992,VALD3,,8.05,0.0,0.0,0.963,1.0,False,0,
CO,I,1677.15644,1.0783,-0.871,VALD3,,8.05,0.0,0.0,0.963,1.0,False,0,
CO,I,1677.15785,0.9885,-0.84,VALD3,,8.05,0.0,0.0,0.972,1.0,False,0,
CO,I,1677.20961,1.649,-1.627,VALD3,,8.05,0.0,0.0,0.547,1.0,False,0,
CO,I,1677.21214,2.2982,-2.024,VALD3,,8.05,0.0,0.0,0.08,1.0,False,0,
CO,I,1677.21495,2.32,-2.188,VALD3,,8.05,0.0,0.0,0.054,1.0,False,0,
CO,I,1677.28275,1.2418,-0.545,VALD3,,8.05,0.0,0.0,0.971,1.0,False,0,
Fe,II,1677.32031,0.3013,-4.757,VALD3,,8.46,-6.51,-7.842,0.794,1.0,False,1,
CO,I,1677.40936,2.3266,-2.161,VALD3,,8.05,0.0,0.0,0.055,1.0,False,0,
Fe,II,1677.43732,3.3866,-3.93,VALD3,,8.62,-6.52,-7.77,0.057,1.0,False,1,
CO,I,1677.45972,2.303,-1.984,VALD3,,8.05,0.0,0.0,0.084,1.0,False,0,
Cr,II,1677.52973,3.8707,-2.008,VALD3,,8.41,-6.27,-7.75,0.122,1.0,False,2,
P,I,1677.549,2.3245,-2.1,VALD3,,0.0,0.0,0.0,0.567,1.0,False,1,
CO,I,1677.60465,1.0023,-0.654,VALD3,,8.05,0.0,0.0,0.98,1.0,False,0,
CO,I,1677.60634,1.0023,-0.977,VALD3,,8.05,0.0,0.0,0.962,1.0,False,0,
CO,I,1677.66375,1.0948,-0.859,VALD3,,8.05,0.0,0.0,0.963,1.0,False,0,
Cr,II,1677.6991,4.7448,-1.432,VALD3,,8.0,-6.43,-7.901,0.09,1.0,False,2,
CO,I,1677.71667,2.3336,-2.136,VALD3,,8.05,0.0,0.0,0.058,1.0,False,0,
CO,I,1677.73074,2.3082,-1.948,VALD3,,8.05,0.0,0.0,0.09,1.0,False,0,
CO,I,1677.75101,1.5814,-1.709,VALD3,,8.05,0.0,0.0,0.54,1.0,False,0,
CO,I,1677.76565,1.5814,-1.389,VALD3,,8.05,0.0,0.0,0.727,1.0,False,0,
CO,I,1677.80787,1.2418,-0.18,VALD3,,8.05,0.0,0.0,0.985,1.0,False,0,
CO,I,1677.83152,1.667,-1.617,VALD3,,8.05,0.0,0.0,0.54,1.0,False,0,
Fe,II,1677.8419,2.3417,-1.059,VALD3,,8.61,-6.6,-7.791,0.969,1.0,False,1,
V,II,1677.88923,0.3332,-1.833,VALD3,,7.94,-6.43,-7.87,0.596,1.0,False,2,
Ti,II,1677.92276,1.2429,-2.468,VALD3,,9.0,-5.77,-7.67,0.29,1.0,False,1,
Fe,I,1677.92732,0.0516,-2.357,VALD3,,8.0,-3.41,-7.26,0.994,1.0,False,1,
CO,I,1677.96215,1.2418,0.03,VALD3,,8.05,0.0,0.0,0.99,1.0,False,0,
Fe,II,1677.97096,5.5107,-2.195,VALD3,,8.89,-5.47,-7.59,0.053,1.0,False,1,
Fe,I,1677.98974,0.0,-4.035,VALD3,,6.88,-4.11,-7.1,0.902,1.0,False,1,
CO,I,1678.02325,2.3139,-1.915,VALD3,,8.05,0.0,0.0,0.096,1.0,False,0,
CO,I,1678.03113,2.341,-2.067,VALD3,,8.05,0.0,0.0,0.067,1.0,False,0,
P,I,1678.082,2.3245,-2.13,VALD3,,0.0,0.0,0.0,0.558,1.0,False,1,
CO,I,1678.11674,1.0166,-0.962,VALD3,,8.05,0.0,0.0,0.962,1.0,False,0,
CO,I,1678.11758,1.0166,-0.64,VALD3,,8.05,0.0,0.0,0.98,1.0,False,0,
CO,I,1678.18968,1.1118,-0.848,VALD3,,8.05,0.0,0.0,0.962,1.0,False,0,
Fe,II,1678.20804,3.9034,-2.671,VALD3,,8.04,-5.83,-7.62,0.244,1.0,False,1,
Fe,II,1678.31189,5.2216,-1.66,VALD3,,8.77,-5.18,-7.48,0.201,1.0,False,1,
CO,I,1678.34121,2.32,-1.884,VALD3,,8.05,0.0,0.0,0.099,1.0,False,0,
Fe,II,1678.3589,5.4841,-1.877,VALD3,,8.84,-5.39,-7.59,0.102,1.0,False,1,
CO,I,1678.36881,2.3489,-2.045,VALD3,,8.05,0.0,0.0,0.067,1.0,False,0,
Fe,II,1678.40245,1.6706,-2.943,VALD3,,8.55,-6.57,-7.792,0.849,1.0,False,1,
CO,I,1678.42008,1.5976,-1.696,VALD3,,8.05,0.0,0.0,0.537,1.0,False,0,
CO,I,1678.44121,1.5976,-1.377,VALD3,,8.05,0.0,0.0,0.724,1.0,False,0,
CO,I,1678.51953,1.6854,-1.607,VALD3,,8.05,0.0,0.0,0.534,1.0,False,0,
Fe,II,1678.6301,0.3865,-3.7,VALD3,,8.62,-6.59,-7.793,0.958,1.0,False,1,
CO,I,1678.64238,1.0313,-0.948,VALD3,,8.05,0.0,0.0,0.962,1.0,False,0,
CO,I,1678.64266,1.2675,0.14,VALD3,,8.05,0.0,0.0,0.991,1.0,False,0,
Mn,II,1678.64294,1.1745,-2.638,VALD3,,8.49,-6.46,-7.88,0.726,1.0,False,3,
CO,I,1678.64745,1.0313,-0.626,VALD3,,8.05,0.0,0.0,0.98,1.0,False,0,
CO,I,1678.68099,2.3266,-1.855,VALD3,,8.05,0.0,0.0,0.105,1.0,False,0,
CO,I,1678.70353,2.3266,-2.2,VALD3,,8.05,0.0,0.0,0.051,1.0,False,0,
CO,I,1678.73228,1.1293,-0.837,VALD3,,8.05,0.0,0.0,0.961,1.0,False,0,
CO,I,1678.73848,1.2675,-0.172,VALD3,,8.05,0.0,0.0,0.985,1.0,False,0,
CO,I,1678.74608,2.3572,-2.024,VALD3,,8.05,0.0,0.0,0.07,1.0,False,0,
Si,I,1678.99181,0.0096,-3.71,VALD3,,7.76,-4.38,-7.19,0.989,1.0,False,1,
CO,I,1679.00681,1.6143,-1.365,VALD3,,8.05,0.0,0.0,0.721,1.0,False,0,
Co,II,1679.02304,0.4995,-5.044,VALD3,,8.6,-6.56,-7.89,0.508,1.0,False,2,
Co,II,1679.02328,0.4995,-4.567,VALD3,,8.6,-6.56,-7.89,0.508,1.0,False,2,
Co,II,1679.0239,0.4995,-4.935,VALD3,,8.6,-6.56,-7.89,0.508,1.0,False,2,
Co,II,1679.02429,0.4995,-4.384,VALD3,,8.6,-6.56,-7.89,0.508,1.0,False,2,
Co,II,1679.02453,0.4995,-4.713,VALD3,,8.6,-6.56,-7.89,0.508,1.0,False,2,
Co,II,1679.02542,0.4995,-4.956,VALD3,,8.6,-6.56,-7.89,0.508,1.0,False,2,
Co,II,1679.02598,0.4995,-4.262,VALD3,,8.6,-6.56,-7.89,0.508,1.0,False,2,
Co,II,1679.02637,0.4995,-4.371,VALD3,,8.6,-6.56,-7.89,0.508,1.0,False,2,
Co,II,1679.02762,0.4995,-5.066,VALD3,,8.6,-6.56,-7.89,0.508,1.0,False,2,
Co,II,1679.02833,0.4995,-4.201,VALD3,,8.6,-6.56,-7.89,0.508,1.0,False,2,
Co,II,1679.02889,0.4995,-4.137,VALD3,,8.6,-6.56,-7.89,0.508,1.0,False,2,
Co,II,1679.0305,0.4995,-5.278,VALD3,,8.6,-6.56,-7.89,0.508,1.0,False,2,
Co,II,1679.03137,0.4995,-4.197,VALD3,,8.6,-6.56,-7.89,0.508,1.0,False,2,
Co,II,1679.03208,0.4995,-3.952,VALD3,,8.6,-6.56,-7.89,0.508,1.0,False,2,
Co,II,1679.03405,0.4995,-5.681,VALD3,,8.6,-6.56,-7.89,0.508,1.0,False,2,
Co,II,1679.03507,0.4995,-4.263,VALD3,,8.6,-6.56,-7.89,0.508,1.0,False,2,
Co,II,1679.03594,0.4995,-3.796,VALD3,,8.6,-6.56,-7.89,0.508,1.0,False,2,
Co,II,1679.03945,0.4996,-4.468,VALD3,,8.6,-6.56,-7.89,0.508,1.0,False,2,
Co,II,1679.04048,0.4996,-3.66,VALD3,,8.6,-6.56,-7.89,0.508,1.0,False,2,
Co,II,1679.04569,0.4996,-3.539,VALD3,,8.6,-6.56,-7.89,0.508,1.0,False,2,
CO,I,1679.04797,2.3336,-1.827,VALD3,,8.05,0.0,0.0,0.104,1.0,False,0,
CO,I,1679.10717,1.6143,-1.684,VALD3,,8.05,0.0,0.0,0.533,1.0,False,0,
CO,I,1679.1193,2.3659,-2.004,VALD3,,8.05,0.0,0.0,0.072,1.0,False,0,
CO,I,1679.18668,1.0465,-0.934,VALD3,,8.05,0.0,0.0,0.961,1.0,False,0,
CO,I,1679.19542,1.0465,-0.613,VALD3,,8.05,0.0,0.0,0.979,1.0,False,0,
CO,I,1679.22306,1.7043,-1.597,VALD3,,8.05,0.0,0.0,0.527,1.0,False,0,
Co,II,1679.22975,1.6854,-1.782,VALD3,,8.76,-6.54,-7.89,0.581,1.0,False,2,
Co,II,1679.23217,1.6854,-1.879,VALD3,,8.76,-6.54,-7.89,0.581,1.0,False,2,
Co,II,1679.23404,1.6854,-2.004,VALD3,,8.76,-6.54,-7.89,0.581,1.0,False,2,
CO,I,1679.29186,1.1472,-0.826,VALD3,,8.05,0.0,0.0,0.96,1.0,False,0,
Fe,II,1679.38324,2.0295,-0.321,VALD3,,8.74,-6.54,-7.775,0.994,1.0,False,1,
CO,I,1679.44529,2.341,-1.802,VALD3,,8.05,0.0,0.0,0.111,1.0,False,0,
CO,I,1679.45008,2.375,-1.984,VALD3,,8.05,0.0,0.0,0.072,1.0,False,0,
Fe,II,1679.49417,1.6706,-1.482,VALD3,,8.61,-6.49,-7.795,0.984,1.0,False,1,
Fe,II,1679.55103,0.107,-6.496,VALD3,,8.49,-6.54,-7.9,0.148,1.0,False,1,
Mn,II,1679.55783,3.7058,-0.512,VALD3,,8.69,-6.48,-7.87,0.52,1.0,False,3,
Cr,I,1679.57137,0.0,-3.313,VALD3,,6.79,-4.29,-7.26,0.29,1.0,False,2,
Fe,II,1679.57696,5.4841,-2.156,VALD3,,8.97,-6.33,-7.569,0.062,1.0,False,1,
Fe,I,1679.63908,0.0516,-5.97,VALD3,,7.13,-3.92,-7.18,0.111,1.0,False,1,
CO,I,1679.6419,2.3489,-1.824,VALD3,,8.05,0.0,0.0,0.106,1.0,False,0,
CO,I,1679.65601,1.2936,0.148,VALD3,,8.05,0.0,0.0,0.991,1.0,False,0,
Co,II,1679.66837,1.4037,-2.964,VALD3,,8.77,-6.54,-7.89,0.492,1.0,False,2,
Co,II,1679.66982,1.4037,-3.235,VALD3,,8.77,-6.54,-7.89,0.492,1.0,False,2,
Co,II,1679.67211,1.4037,-3.675,VALD3,,8.77,-6.54,-7.89,0.492,1.0,False,2,
Co,II,1679.67211,1.4037,-2.98,VALD3,,8.77,-6.54,-7.89,0.492,1.0,False,2,
Co,II,1679.67506,1.4037,-2.86,VALD3,,8.77,-6.54,-7.89,0.492,1.0,False,2,
Co,II,1679.67735,1.4037,-3.235,VALD3,,8.77,-6.54,-7.89,0.492,1.0,False,2,
Co,II,1679.67884,1.4037,-2.976,VALD3,,8.77,-6.54,-7.89,0.492,1.0,False,2,
Co,II,1679.68178,1.4037,-2.78,VALD3,,8.77,-6.54,-7.89,0.492,1.0,False,2,
Co,II,1679.68706,1.4038,-2.487,VALD3,,8.77,-6.54,-7.89,0.492,1.0,False,2,
P,I,1679.697,0.0,0.12,VALD3,,0.0,0.0,0.0,0.998,1.0,False,1,
Fe,II,1679.7005,3.8887,-2.824,VALD3,,8.07,-5.78,-7.509,0.2,1.0,False,1,
CO,I,1679.70679,1.2936,-0.164,VALD3,,8.05,0.0,0.0,0.984,1.0,False,0,
Fe,I,1679.71799,0.0873,-2.006,VALD3,,7.53,-3.9,-7.06,0.996,1.0,False,1,
CO,I,1679.74686,1.0622,-0.921,VALD3,,8.05,0.0,0.0,0.961,1.0,False,0,
CO,I,1679.77338,1.0622,-0.6,VALD3,,8.05,0.0,0.0,0.979,1.0,False,0,
Fe,I,1679.77358,0.0516,-2.945,VALD3,,7.45,-3.89,-7.19,0.984,1.0,False,1,
Fe,I,1679.78605,0.0516,-4.964,VALD3,,7.31,-4.18,-7.32,0.588,1.0,False,1,
CO,I,1679.79398,1.6314,-1.354,VALD3,,8.05,0.0,0.0,0.718,1.0,False,0,
Fe,I,1679.79454,0.0516,-5.209,VALD3,,7.26,-4.41,-7.33,0.434,1.0,False,1,
Fe,II,1679.81331,3.8892,-3.398,VALD3,,8.07,-5.78,-7.509,0.069,1.0,False,1,
CO,I,1679.81345,1.6314,-1.672,VALD3,,8.05,0.0,0.0,0.528,1.0,False,0,
CO,I,1679.81824,2.3489,-2.161,VALD3,,8.05,0.0,0.0,0.052,1.0,False,0,
CO,I,1679.86057,1.1656,-0.816,VALD3,,8.05,0.0,0.0,0.959,1.0,False,0,
Fe,II,1679.86108,5.5848,-1.605,VALD3,,9.01,-5.84,-7.535,0.142,1.0,False,1,
CO,I,1679.89359,2.3846,-1.966,VALD3,,8.05,0.0,0.0,0.073,1.0,False,0,
CO,I,1679.94693,1.7237,-1.587,VALD3,,8.05,0.0,0.0,0.519,1.0,False,0,
Fe,II,1679.96544,5.5848,-1.541,VALD3,,9.0,-5.83,-7.518,0.155,1.0,False,1,
Ca,II,1680.05079,3.151,-1.29,VALD3,,8.3,-4.25,-7.15,0.863,1.0,False,1,
Ca,II,1680.1287,3.151,-2.244,VALD3,,8.3,-4.25,-7.15,0.627,1.0,False,1,
Mn,II,1680.19673,3.9256,-1.9,VALD3,,8.53,-6.51,-7.88,0.085,1.0,False,3,
CO,I,1680.19927,2.3572,-1.755,VALD3,,8.05,0.0,0.0,0.125,1.0,False,0,
Fe,II,1680.22301,1.6953,-3.041,VALD3,,8.52,-6.61,-7.793,0.821,1.0,False,1,
CO,I,1680.25545,2.3572,-2.091,VALD3,,8.05,0.0,0.0,0.061,1.0,False,0,
Fe,II,1680.27372,1.6953,-3.489,VALD3,,8.52,-6.61,-7.795,0.694,1.0,False,1,
CO,I,1680.27747,1.0783,-0.649,VALD3,,8.05,0.0,0.0,0.976,1.0,False,0,
Fe,II,1680.30088,3.8916,-2.689,VALD3,,8.03,-5.82,-7.63,0.24,1.0,False,1,
CO,I,1680.32463,1.0783,-0.908,VALD3,,8.05,0.0,0.0,0.96,1.0,False,0,
CO,I,1680.3427,2.3947,-1.948,VALD3,,8.05,0.0,0.0,0.075,1.0,False,0,
Fe,II,1680.36447,3.8916,-2.925,VALD3,,8.07,-5.78,-7.509,0.168,1.0,False,1,
Mn,II,1680.40199,3.7095,-0.773,VALD3,,8.69,-6.48,-7.87,0.446,1.0,False,3,
CO,I,1680.46186,1.1844,-0.806,VALD3,,8.05,0.0,0.0,0.958,1.0,False,0,
CO,I,1680.52653,1.649,-1.343,VALD3,,8.05,0.0,0.0,0.713,1.0,False,0,
CO,I,1680.54121,1.649,-1.66,VALD3,,8.05,0.0,0.0,0.523,1.0,False,0,
Fe,I,1680.57624,0.0,-1.615,VALD3,,8.15,-3.43,-7.17,0.997,1.0,False,1,
CO,I,1680.5977,1.3201,0.156,VALD3,,8.05,0.0,0.0,0.99,1.0,False,0,
CO,I,1680.62905,1.0783,-1.471,VALD3,,8.05,0.0,0.0,0.88,1.0,False,0,
CO,I,1680.65786,1.3201,-0.157,VALD3,,8.05,0.0,0.0,0.983,1.0,False,0,
CO,I,1680.67622,2.3659,-1.733,VALD3,,8.05,0.0,0.0,0.127,1.0,False,0,
CO,I,1680.69741,1.7434,-1.577,VALD3,,8.05,0.0,0.0,0.512,1.0,False,0,
CO,I,1680.73272,2.3659,-2.067,VALD3,,8.05,0.0,0.0,0.063,1.0,False,0,
Fe,I,1680.76775,0.0,-1.614,VALD3,,7.42,-3.41,-7.08,0.997,1.0,False,1,
CO,I,1680.81719,2.4051,-1.931,VALD3,,8.05,0.0,0.0,0.076,1.0,False,0,
Cu,I,1680.88762,1.6422,-1.521,VALD3,,7.89,-5.27,-7.47,0.524,1.0,False,2,
CO,I,1680.90449,1.0948,-0.582,VALD3,,8.05,0.0,0.0,0.978,1.0,False,0,
CO,I,1680.92003,1.0948,-0.895,VALD3,,8.05,0.0,0.0,0.959,1.0,False,0,
V,II,1681.01073,2.2756,-1.336,VALD3,,8.42,-6.59,-7.85,0.068,1.0,False,2,
Fe,I,1681.02492,0.1101,-2.791,VALD3,,8.52,-4.33,-7.37,0.986,1.0,False,1,
CO,I,1681.07629,1.2036,-0.796,VALD3,,8.05,0.0,0.0,0.958,1.0,False,0,
Fe,II,1681.11122,0.3519,-1.659,VALD3,,8.47,-6.65,-7.801,0.997,1.0,False,1,
CO,I,1681.16079,2.375,-1.713,VALD3,,8.05,0.0,0.0,0.133,1.0,False,0,
CO,I,1681.20573,2.375,-2.045,VALD3,,8.05,0.0,0.0,0.065,1.0,False,0,
V,II,1681.23569,0.323,-1.789,VALD3,,8.37,-6.46,-7.87,0.624,1.0,False,2,
CO,I,1681.27357,1.667,-1.332,VALD3,,8.05,0.0,0.0,0.715,1.0,False,0,
Co,II,1681.30372,1.3276,-4.282,VALD3,,8.63,-6.54,-7.9,0.117,1.0,False,2,
Co,II,1681.30377,1.3277,-4.097,VALD3,,8.63,-6.54,-7.9,0.117,1.0,False,2,
Co,II,1681.3038,1.3276,-4.516,VALD3,,8.63,-6.54,-7.9,0.117,1.0,False,2,
Co,II,1681.30393,1.3277,-3.941,VALD3,,8.63,-6.54,-7.9,0.117,1.0,False,2,
Co,II,1681.304,1.3276,-4.858,VALD3,,8.63,-6.54,-7.9,0.117,1.0,False,2,
Co,II,1681.30421,1.3277,-3.805,VALD3,,8.63,-6.54,-7.9,0.117,1.0,False,2,
Co,II,1681.30456,1.3276,-4.712,VALD3,,8.63,-6.54,-7.9,0.117,1.0,False,2,
Co,II,1681.30461,1.3277,-3.684,VALD3,,8.63,-6.54,-7.9,0.117,1.0,False,2,
Co,II,1681.30473,1.3276,-4.529,VALD3,,8.63,-6.54,-7.9,0.117,1.0,False,2,
Co,II,1681.30503,1.3276,-4.407,VALD3,,8.63,-6.54,-7.9,0.117,1.0,False,2,
CO,I,1681.30523,1.667,-1.649,VALD3,,8.05,0.0,0.0,0.524,1.0,False,0,
Co,II,1681.30529,1.3276,-5.189,VALD3,,8.63,-6.54,-7.9,0.117,1.0,False,2,
Co,II,1681.30545,1.3277,-4.346,VALD3,,8.63,-6.54,-7.9,0.117,1.0,False,2,
Co,II,1681.30596,1.3276,-5.08,VALD3,,8.63,-6.54,-7.9,0.117,1.0,False,2,
Co,II,1681.30598,1.3277,-4.342,VALD3,,8.63,-6.54,-7.9,0.117,1.0,False,2,
Co,II,1681.30663,1.3277,-4.408,VALD3,,8.63,-6.54,-7.9,0.117,1.0,False,2,
Co,II,1681.30675,1.3277,-5.101,VALD3,,8.63,-6.54,-7.9,0.117,1.0,False,2,
Co,II,1681.3074,1.3277,-4.613,VALD3,,8.63,-6.54,-7.9,0.117,1.0,False,2,
Co,II,1681.30766,1.3277,-5.211,VALD3,,8.63,-6.54,-7.9,0.117,1.0,False,2,
Co,II,1681.30868,1.3277,-5.423,VALD3,,8.63,-6.54,-7.9,0.117,1.0,False,2,
Co,II,1681.30983,1.3277,-5.826,VALD3,,8.63,-6.54,-7.9,0.117,1.0,False,2,
CO,I,1681.31258,2.416,-1.915,VALD3,,8.05,0.0,0.0,0.083,1.0,False,0,
V,II,1681.32276,0.3482,-3.048,VALD3,,7.94,-6.43,-7.87,0.085,1.0,False,2,
Ti,II,1681.33647,1.2214,-1.765,VALD3,,9.0,-5.75,-7.67,0.605,1.0,False,1,
CO,I,1681.35414,1.7636,-1.568,VALD3,,8.05,0.0,0.0,0.505,1.0,False,0,
V,II,1681.35527,0.368,-3.121,VALD3,,7.72,-6.42,-7.87,0.077,1.0,False,2,
Fe,II,1681.3778,3.8887,-2.67,VALD3,,8.07,-5.75,-7.542,0.254,1.0,False,1,
